monopterus_albus ENSMALG00000001470
mastacembelus_armatus ENSMAMG00000010023
anabas_testudineus ENSATEG00000016054
scophthalmus_maximus ENSSMAG00000013377
cynoglossus_semilaevis ENSCSEG00000011792
seriola_dumerili ENSSDUG00000001691
seriola_lalandi_dorsalis ENSSLDG00000012933
xiphophorus_maculatus ENSXMAG00000019009
gambusia_affinis ENSGAFG00000015991
poecilia_latipinna ENSPLAG00000018626
poecilia_mexicana ENSPMEG00000016798
poecilia_formosa ENSPFOG00000015995
xiphophorus_couchianus ENSXCOG00000002550
poecilia_reticulata ENSPREG00000018441
fundulus_heteroclitus ENSFHEG00000001847
cyprinodon_variegatus ENSCVAG00000001694
kryptolebias_marmoratus ENSKMAG00000012765
oryzias_latipes ENSORLG00020011439
oryzias_latipes_asm223469v1 ENSORLG00015009829
oryzias_latipes ENSORLG00000022303
oryzias_melastigma ENSOMEG00000016446
maylandia_zebra ENSMZEG00005004728
maylandia_zebra ENSMZEG00005015235
astatotilapia_calliptera ENSACLG00000011502
haplochromis_burtoni ENSHBUG00000005483
pundamilia_nyererei ENSPNYG00000019409
neolamprologus_brichardi ENSNBRG00000023048
oreochromis_niloticus ENSONIG00000020003
amphilophus_citrinellus ENSACIG00000022632
amphiprion_ocellaris ENSAOCG00000021032
amphiprion_percula ENSAPEG00000007313
acanthochromis_polyacanthus ENSAPOG00000021014
stegastes_partitus ENSSPAG00000020531
tetraodon_nigroviridis ENSTNIG00000012818
takifugu_rubripes ENSTRUG00000015211
mola_mola ENSMMOG00000002130
labrus_bergylta ENSLBEG00000014794
hippocampus_comes ENSHCOG00000004044
periophthalmus_magnuspinnatus ENSPMGG00000004843
esox_lucius ENSELUG00000009445
pygocentrus_nattereri ENSPNAG00000002526
astyanax_mexicanus ENSAMXG00000007149
ictalurus_punctatus ENSIPUG00000000373
danio_rerio ENSDARG00000092499
scleropages_formosus ENSSFOG00015018660
paramormyrops_kingsleyae ENSPKIG00000006421
lepisosteus_oculatus ENSLOCG00000003333
salvator_merianae ENSSMRG00000016735
pogona_vitticeps ENSPVIG00000018887
sphenodon_punctatus ENSSPUG00000016600
sphenodon_punctatus ENSSPUG00000016626
calidris_pugnax ENSCPUG00000010951
calidris_pygmaea ENSCPGG00000017001
gallus_gallus ENSGALG00000045671
meleagris_gallopavo ENSMGAG00000010029
numida_meleagris ENSNMEG00000021712
anser_brachyrhynchus ENSABRG00000004041
anas_platyrhynchos_platyrhynchos ENSAPLG00000006042
apteryx_haastii ENSAHAG00000011126
apteryx_owenii ENSAOWG00000013648
apteryx_rowi ENSARWG00000016798
dromaius_novaehollandiae ENSDNVG00000006261
crocodylus_porosus ENSCPRG00005000750
chrysemys_picta_bellii ENSCPBG00000000249
gopherus_agassizii ENSGAGG00000006333
pelodiscus_sinensis ENSPSIG00000006039
xenopus_tropicalis ENSXETG00000032294
latimeria_chalumnae ENSLACG00000009828
latimeria_chalumnae ENSLACG00000014970
