mandrillus_leucophaeus ENSMLEG00000043820
macaca_nemestrina ENSMNEG00000040054
cercocebus_atys ENSCATG00000018176
colobus_angolensis_palliatus ENSCANG00000014033
macaca_fascicularis ENSMFAG00000043803
macaca_mulatta ENSMMUG00000037544
papio_anubis ENSPANG00000033440
nomascus_leucogenys ENSNLEG00000011212
pan_paniscus ENSPPAG00000018534
rhinopithecus_roxellana ENSRROG00000004447
rhinopithecus_bieti ENSRBIG00000041861
theropithecus_gelada ENSTGEG00000023718
saimiri_boliviensis_boliviensis ENSSBOG00000028703
