poecilia_reticulata ENSPREG00000001447
poecilia_latipinna ENSPLAG00000023024
gambusia_affinis ENSGAFG00000003733
poecilia_latipinna ENSPLAG00000019353
cyprinodon_variegatus ENSCVAG00000020906
mola_mola ENSMMOG00000014960
monopterus_albus ENSMALG00000004822
maylandia_zebra ENSMZEG00005010439
neolamprologus_brichardi ENSNBRG00000007760
seriola_dumerili ENSSDUG00000014157
mastacembelus_armatus ENSMAMG00000000434
labrus_bergylta ENSLBEG00000027633
periophthalmus_magnuspinnatus ENSPMGG00000018292
periophthalmus_magnuspinnatus ENSPMGG00000006513
