rhinopithecus_bieti ENSRBIG00000021847
rhinopithecus_roxellana ENSRROG00000005710
piliocolobus_tephrosceles ENSPTEG00000000970
colobus_angolensis_palliatus ENSCANG00000011626
macaca_mulatta ENSMMUG00000042150
macaca_fascicularis ENSMFAG00000030324
macaca_nemestrina ENSMNEG00000014934
theropithecus_gelada ENSTGEG00000001159
mandrillus_leucophaeus ENSMLEG00000006336
papio_anubis ENSPANG00000034452
homo_sapiens ENSG00000227877
carlito_syrichta ENSTSYG00000034259
prolemur_simus ENSPSMG00000023698
propithecus_coquereli ENSPCOG00000013835
peromyscus_maniculatus_bairdii ENSPEMG00000028945
cricetulus_griseus_crigri-picr ENSCGRG00015018890
mus_spicilegus ENSMSIG00000028634
mus_musculus ENSMUSG00000019933
castor_canadensis ENSCCNG00000002033
urocitellus_parryii ENSUPAG00010004648
spermophilus_dauricus ENSSDAG00000006770
marmota_marmota_marmota ENSMMMG00000002537
bos_mutus ENSBMUG00000021603
bos_taurus ENSBTAG00000050076
bison_bison_bison ENSBBBG00000002014
sus_scrofa ENSSSCG00000032953
neovison_vison ENSNVIG00000011045
mustela_putorius_furo ENSMPUG00000011021
felis_catus ENSFCAG00000043794
equus_caballus ENSECAG00000030837
