homo_sapiens ENSG00000204683
pan_paniscus ENSPPAG00000027289
gorilla_gorilla ENSGGOG00000026389
rhinopithecus_bieti ENSRBIG00000038023
rhinopithecus_roxellana ENSRROG00000030789
colobus_angolensis ENSCANG00000042378
papio_anubis ENSPANG00000023137
theropithecus_gelada ENSTGEG00000005192
chlorocebus_sabaeus ENSCSAG00000012531
macaca_mulatta ENSMMUG00000038216
macaca_nemestrina ENSMNEG00000015199
macaca_fascicularis ENSMFAG00000038593
cercocebus_atys ENSCATG00000038577
mandrillus_leucophaeus ENSMLEG00000028133
cebus_capucinus ENSCCAG00000030460
saimiri_boliviensis ENSSBOG00000026757
aotus_nancymaae ENSANAG00000036176
carlito_syrichta ENSTSYG00000009743
tupaia_belangeri ENSTBEG00000001048
tursiops_truncatus ENSTTRG00000009331
vicugna_pacos ENSVPAG00000000170
panthera_tigris ENSPTIG00000005930
panthera_pardus ENSPPRG00000011944
pteropus_vampyrus ENSPVAG00000009336
sorex_araneus ENSSARG00000012420
procavia_capensis ENSPCAG00000016028
echinops_telfairi ENSETEG00000018367
