echinops_telfairi ENSETEG00000006636
sarcophilus_harrisii ENSSHAG00000001012
cricetulus_griseus_crigri ENSCGRG00000000333
nannospalax_galili ENSNGAG00000011996
octodon_degus ENSODEG00000004180
capra_hircus ENSCHIG00000023586
ovis_aries ENSOARG00000019372
bos_taurus ENSBTAG00000016414
bos_mutus ENSBMUG00000001652
bison_bison_bison ENSBBBG00000014238
choloepus_hoffmanni ENSCHOG00000008514
microcebus_murinus ENSMICG00000009017
propithecus_coquereli ENSPCOG00000018013
prolemur_simus ENSPSMG00000007475
otolemur_garnettii ENSOGAG00000005480
pan_troglodytes ENSPTRG00000042814
pan_paniscus ENSPPAG00000037181
homo_sapiens ENSG00000111424
gorilla_gorilla ENSGGOG00000016473
pongo_abelii ENSPPYG00000004448
nomascus_leucogenys ENSNLEG00000017900
rhinopithecus_bieti ENSRBIG00000032268
rhinopithecus_roxellana ENSRROG00000038196
piliocolobus_tephrosceles ENSPTEG00000013963
colobus_angolensis_palliatus ENSCANG00000012344
papio_anubis ENSPANG00000011327
theropithecus_gelada ENSTGEG00000024286
cercocebus_atys ENSCATG00000028364
mandrillus_leucophaeus ENSMLEG00000039437
macaca_fascicularis ENSMFAG00000040856
macaca_nemestrina ENSMNEG00000029469
macaca_mulatta ENSMMUG00000006727
chlorocebus_sabaeus ENSCSAG00000006576
cebus_capucinus ENSCCAG00000037149
saimiri_boliviensis_boliviensis ENSSBOG00000021289
callithrix_jacchus ENSCJAG00000015018
aotus_nancymaae ENSANAG00000028434
ursus_maritimus ENSUMAG00000000988
ursus_americanus ENSUAMG00000026772
ailuropoda_melanoleuca ENSAMEG00000013706
mustela_putorius_furo ENSMPUG00000000419
neovison_vison ENSNVIG00000005199
canis_lupus_dingo ENSCAFG00020011290
canis_lupus_familiaris ENSCAFG00000009103
vulpes_vulpes ENSVVUG00000018048
panthera_pardus ENSPPRG00000007108
panthera_tigris_altaica ENSPTIG00000016424
felis_catus ENSFCAG00000024594
myotis_lucifugus ENSMLUG00000000912
pteropus_vampyrus ENSPVAG00000011085
sus_scrofa ENSSSCG00000020864
tursiops_truncatus ENSTTRG00000012578
vicugna_pacos ENSVPAG00000007916
ochotona_princeps ENSOPRG00000014613
oryctolagus_cuniculus ENSOCUG00000027507
microtus_ochrogaster ENSMOCG00000013472
carlito_syrichta ENSTSYG00000033614
equus_caballus ENSECAG00000015822
equus_asinus_asinus ENSEASG00005023515
erinaceus_europaeus ENSEEUG00000011116
