poecilia_latipinna ENSPLAG00000012469
poecilia_mexicana ENSPMEG00000012212
poecilia_formosa ENSPFOG00000003336
poecilia_reticulata ENSPREG00000010616
xiphophorus_couchianus ENSXCOG00000005118
xiphophorus_maculatus ENSXMAG00000002687
gambusia_affinis ENSGAFG00000015032
fundulus_heteroclitus ENSFHEG00000014639
cyprinodon_variegatus ENSCVAG00000016581
cyprinodon_variegatus ENSCVAG00000006277
kryptolebias_marmoratus ENSKMAG00000012140
oryzias_latipes ENSORLG00000012223
oryzias_latipes ENSORLG00020004235
oryzias_latipes_asm223469v1 ENSORLG00015002598
oryzias_melastigma ENSOMEG00000013177
tetraodon_nigroviridis ENSTNIG00000012335
takifugu_rubripes ENSTRUG00000003061
gasterosteus_aculeatus ENSGACG00000005873
scophthalmus_maximus ENSSMAG00000018606
amphiprion_percula ENSAPEG00000016311
amphiprion_ocellaris ENSAOCG00000011793
acanthochromis_polyacanthus ENSAPOG00000022630
pundamilia_nyererei ENSPNYG00000000452
maylandia_zebra ENSMZEG00005015746
haplochromis_burtoni ENSHBUG00000003945
astatotilapia_calliptera ENSACLG00000025312
oreochromis_niloticus ENSONIG00000010947
amphilophus_citrinellus ENSACIG00000010064
cynoglossus_semilaevis ENSCSEG00000001831
labrus_bergylta ENSLBEG00000003827
seriola_dumerili ENSSDUG00000021299
seriola_lalandi_dorsalis ENSSLDG00000017890
hippocampus_comes ENSHCOG00000008172
monopterus_albus ENSMALG00000022114
monopterus_albus ENSMALG00000008543
mastacembelus_armatus ENSMAMG00000013113
anabas_testudineus ENSATEG00000001047
mola_mola ENSMMOG00000018602
stegastes_partitus ENSSPAG00000004058
periophthalmus_magnuspinnatus ENSPMGG00000008760
gadus_morhua ENSGMOG00000013203
esox_lucius ENSELUG00000003270
danio_rerio ENSDARG00000100944
pygocentrus_nattereri ENSPNAG00000008456
scleropages_formosus ENSSFOG00015002662
lepisosteus_oculatus ENSLOCG00000007393
propithecus_coquereli ENSPCOG00000023293
tupaia_belangeri ENSTBEG00000011216
mesocricetus_auratus ENSMAUG00000020175
cricetulus_griseus_crigri-picr ENSCGRG00015020830
peromyscus_maniculatus_bairdii ENSPEMG00000018784
microtus_ochrogaster ENSMOCG00000015754
microtus_ochrogaster ENSMOCG00000014693
mus_musculus ENSMUSG00000018196
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015482
mus_spicilegus ENSMSIG00000006662
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014675
meriones_unguiculatus ENSMUGG00000024808
castor_canadensis ENSCCNG00000000984
marmota_marmota_marmota ENSMMMG00000013150
ictidomys_tridecemlineatus ENSSTOG00000000777
spermophilus_dauricus ENSSDAG00000010712
spermophilus_dauricus ENSSDAG00000010707
urocitellus_parryii ENSUPAG00010018053
capra_hircus ENSCHIG00000010625
ovis_aries ENSOARG00000009363
bos_taurus ENSBTAG00000015972
bos_mutus ENSBMUG00000020946
bison_bison_bison ENSBBBG00000006901
tursiops_truncatus ENSTTRG00000009295
equus_asinus_asinus ENSEASG00005003384
equus_caballus ENSECAG00000015376
loxodonta_africana ENSLAFG00000014814
