seriola_lalandi_dorsalis ENSSLDG00000002895
seriola_dumerili ENSSDUG00000021988
cynoglossus_semilaevis ENSCSEG00000016449
hippocampus_comes ENSHCOG00000010180
labrus_bergylta ENSLBEG00000009489
mola_mola ENSMMOG00000014732
gasterosteus_aculeatus ENSGACG00000020770
xiphophorus_maculatus ENSXMAG00000008835
xiphophorus_couchianus ENSXCOG00000018613
gambusia_affinis ENSGAFG00000010270
poecilia_latipinna ENSPLAG00000014758
poecilia_mexicana ENSPMEG00000015874
poecilia_formosa ENSPFOG00000016513
poecilia_reticulata ENSPREG00000015349
fundulus_heteroclitus ENSFHEG00000021751
cyprinodon_variegatus ENSCVAG00000007099
kryptolebias_marmoratus ENSKMAG00000017587
oryzias_latipes_asm223469v1 ENSORLG00015016769
oryzias_latipes ENSORLG00020010157
oryzias_latipes ENSORLG00000014631
oryzias_melastigma ENSOMEG00000002452
stegastes_partitus ENSSPAG00000018768
monopterus_albus ENSMALG00000012969
mastacembelus_armatus ENSMAMG00000002560
anabas_testudineus ENSATEG00000001062
haplochromis_burtoni ENSHBUG00000012136
oreochromis_niloticus ENSONIG00000009491
neolamprologus_brichardi ENSNBRG00000011137
maylandia_zebra ENSMZEG00005010453
astatotilapia_calliptera ENSACLG00000021894
pundamilia_nyererei ENSPNYG00000010596
amphilophus_citrinellus ENSACIG00000012447
amphiprion_ocellaris ENSAOCG00000021261
amphiprion_percula ENSAPEG00000001010
acanthochromis_polyacanthus ENSAPOG00000000476
tetraodon_nigroviridis ENSTNIG00000007161
takifugu_rubripes ENSTRUG00000013117
periophthalmus_magnuspinnatus ENSPMGG00000008448
gadus_morhua ENSGMOG00000012790
scophthalmus_maximus ENSSMAG00000016426
esox_lucius ENSELUG00000014735
pygocentrus_nattereri ENSPNAG00000014749
astyanax_mexicanus ENSAMXG00000005840
ictalurus_punctatus ENSIPUG00000000773
danio_rerio ENSDARG00000089212
paramormyrops_kingsleyae ENSPKIG00000008817
scleropages_formosus ENSSFOG00015010407
paramormyrops_kingsleyae ENSPKIG00000004803
scleropages_formosus ENSSFOG00015002661
lepisosteus_oculatus ENSLOCG00000004605
latimeria_chalumnae ENSLACG00000018602
xenopus_tropicalis ENSXETG00000031115
pogona_vitticeps ENSPVIG00000008994
anolis_carolinensis ENSACAG00000009214
notechis_scutatus ENSNSUG00000004173
salvator_merianae ENSSMRG00000021388
sphenodon_punctatus ENSSPUG00000009348
anas_platyrhynchos_platyrhynchos ENSAPLG00000002673
anser_brachyrhynchus ENSABRG00000013821
meleagris_gallopavo ENSMGAG00000002933
gallus_gallus ENSGALG00000007004
coturnix_japonica ENSCJPG00005010913
numida_meleagris ENSNMEG00000012365
lonchura_striata_domestica ENSLSDG00000007182
taeniopygia_guttata ENSTGUG00000000107
ficedula_albicollis ENSFALG00000010017
cyanistes_caeruleus ENSCCEG00000000689
parus_major ENSPMJG00000007637
zonotrichia_albicollis ENSZALG00000012143
junco_hyemalis ENSJHYG00000009474
serinus_canaria ENSSCAG00000017197
lepidothrix_coronata ENSLCOG00000003969
manacus_vitellinus ENSMVIG00005000159
melopsittacus_undulatus ENSMUNG00000005622
calidris_pygmaea ENSCPGG00000002188
calidris_pugnax ENSCPUG00000018004
apteryx_owenii ENSAOWG00000010004
apteryx_haastii ENSAHAG00000003221
apteryx_rowi ENSARWG00000002514
dromaius_novaehollandiae ENSDNVG00000010596
crocodylus_porosus ENSCPRG00005011091
chrysemys_picta_bellii ENSCPBG00000009380
chrysemys_picta_bellii ENSCPBG00000009382
gopherus_agassizii ENSGAGG00000014172
chelonoidis_abingdonii ENSCABG00000008771
pelodiscus_sinensis ENSPSIG00000007231
dasypus_novemcinctus ENSDNOG00000012807
choloepus_hoffmanni ENSCHOG00000007673
loxodonta_africana ENSLAFG00000007587
procavia_capensis ENSPCAG00000009029
echinops_telfairi ENSETEG00000013077
tursiops_truncatus ENSTTRG00000012068
sus_scrofa ENSSSCG00000024497
capra_hircus ENSCHIG00000025459
ovis_aries ENSOARG00000000632
bos_mutus ENSBMUG00000008266
bos_taurus ENSBTAG00000010791
bison_bison_bison ENSBBBG00000001979
