lonchura_striata ENSLSDG00000008992
taeniopygia_guttata ENSTGUG00000000401
serinus_canaria ENSSCAG00000013666
zonotrichia_albicollis ENSZALG00000000552
ficedula_albicollis ENSFALG00000004790
parus_major ENSPMJG00000002780
cyanistes_caeruleus ENSCCEG00000009786
manacus_vitellinus ENSMVIG00005019953
lepidothrix_coronata ENSLCOG00000002986
calidris_pygmaea ENSCPGG00000010069
calidris_pugnax ENSCPUG00000006035
melopsittacus_undulatus ENSMUNG00000011933
anser_brachyrhynchus ENSABRG00000001377
anas_platyrhynchos ENSAPLG00000005976
gallus_gallus ENSGALG00000013493
coturnix_japonica ENSCJPG00005009580
meleagris_gallopavo ENSMGAG00000006652
numida_meleagris ENSNMEG00000000507
nothoprocta_perdicaria ENSNPEG00000001463
nothoprocta_perdicaria ENSNPEG00000001456
apteryx_rowi ENSARWG00000012980
apteryx_haastii ENSAHAG00000000689
apteryx_owenii ENSAOWG00000007396
dromaius_novaehollandiae ENSDNVG00000010335
crocodylus_porosus ENSCPRG00005010430
gopherus_agassizii ENSGAGG00000011231
chelonoidis_abingdonii ENSCABG00000003185
chrysemys_picta ENSCPBG00000020329
pelodiscus_sinensis ENSPSIG00000006650
pogona_vitticeps ENSPVIG00000021998
anolis_carolinensis ENSACAG00000001052
notechis_scutatus ENSNSUG00000013817
salvator_merianae ENSSMRG00000019280
sphenodon_punctatus ENSSPUG00000012266
vombatus_ursinus ENSVURG00010006835
phascolarctos_cinereus ENSPCIG00000037332
sarcophilus_harrisii ENSSHAG00000001579
monodelphis_domestica ENSMODG00000019222
mus_spretus MGP_SPRETEiJ_G0019407
mus_spicilegus ENSMSIG00000007451
mus_musculus ENSMUSG00000021468
mus_caroli MGP_CAROLIEiJ_G0018527
mus_pahari MGP_PahariEiJ_G0019593
rattus_norvegicus ENSRNOG00000010882
meriones_unguiculatus ENSMUGG00000023766
microtus_ochrogaster ENSMOCG00000015960
peromyscus_maniculatus ENSPEMG00000008860
cricetulus_griseus ENSCGRG00000017700
cricetulus_griseus ENSCGRG00015019207
cricetulus_griseus ENSCGRG00001000731
mesocricetus_auratus ENSMAUG00000014497
nannospalax_galili ENSNGAG00000017674
jaculus_jaculus ENSJJAG00000000044
dipodomys_ordii ENSDORG00000002325
chinchilla_lanigera ENSCLAG00000001603
octodon_degus ENSODEG00000001326
cavia_porcellus ENSCPOG00000015106
cavia_aperea ENSCAPG00000007703
heterocephalus_glaber ENSHGLG00100001366
heterocephalus_glaber ENSHGLG00000002889
heterocephalus_glaber ENSHGLG00000013878
heterocephalus_glaber ENSHGLG00100007023
fukomys_damarensis ENSFDAG00000009024
marmota_marmota ENSMMMG00000021923
marmota_marmota ENSMMMG00000021916
spermophilus_dauricus ENSSDAG00000007368
urocitellus_parryii ENSUPAG00010006028
ictidomys_tridecemlineatus ENSSTOG00000012500
ochotona_princeps ENSOPRG00000002175
oryctolagus_cuniculus ENSOCUG00000008078
tupaia_belangeri ENSTBEG00000009841
microcebus_murinus ENSMICG00000004405
propithecus_coquereli ENSPCOG00000018626
prolemur_simus ENSPSMG00000025367
otolemur_garnettii ENSOGAG00000014493
carlito_syrichta ENSTSYG00000014637
pan_troglodytes ENSPTRG00000021103
pan_paniscus ENSPPAG00000042642
homo_sapiens ENSG00000090054
gorilla_gorilla ENSGGOG00000001662
pongo_abelii ENSPPYG00000019371
piliocolobus_tephrosceles ENSPTEG00000005860
colobus_angolensis ENSCANG00000038738
rhinopithecus_bieti ENSRBIG00000043436
rhinopithecus_roxellana ENSRROG00000034810
macaca_mulatta ENSMMUG00000003006
mandrillus_leucophaeus ENSMLEG00000040328
theropithecus_gelada ENSTGEG00000002081
chlorocebus_sabaeus ENSCSAG00000007251
aotus_nancymaae ENSANAG00000020039
saimiri_boliviensis ENSSBOG00000003505
callithrix_jacchus ENSCJAG00000001785
saimiri_boliviensis ENSSBOG00000027154
aotus_nancymaae ENSANAG00000034040
macaca_fascicularis ENSMFAG00000029180
macaca_nemestrina ENSMNEG00000021594
papio_anubis ENSPANG00000024808
cercocebus_atys ENSCATG00000030234
nomascus_leucogenys ENSNLEG00000000466
marmota_marmota ENSMMMG00000016828
castor_canadensis ENSCCNG00000026761
cebus_capucinus ENSCCAG00000032562
canis_lupus ENSCAFG00000002160
canis_lupus ENSCAFG00020006555
vulpes_vulpes ENSVVUG00000022353
ursus_maritimus ENSUMAG00000016651
ursus_americanus ENSUAMG00000022507
ailuropoda_melanoleuca ENSAMEG00000017352
neovison_vison ENSNVIG00000015119
neovison_vison ENSNVIG00000004289
mustela_putorius ENSMPUG00000006749
mustela_putorius ENSMPUG00000018212
panthera_tigris ENSPTIG00000009183
panthera_pardus ENSPPRG00000023598
felis_catus ENSFCAG00000004693
sorex_araneus ENSSARG00000013294
equus_asinus ENSEASG00005014002
equus_caballus ENSECAG00000020998
pteropus_vampyrus ENSPVAG00000004521
erinaceus_europaeus ENSEEUG00000012294
myotis_lucifugus ENSMLUG00000003984
bos_indicus ENSBIXG00000023812
bos_indicus ENSBIXG00005015581
bos_mutus ENSBMUG00000009880
bos_taurus ENSBTAG00000002220
bison_bison ENSBBBG00000011892
capra_hircus ENSCHIG00000016668
ovis_aries ENSOARG00000007870
tursiops_truncatus ENSTTRG00000008595
sus_scrofa ENSSSCG00000009594
vicugna_pacos ENSVPAG00000012571
choloepus_hoffmanni ENSCHOG00000012643
dasypus_novemcinctus ENSDNOG00000032531
procavia_capensis ENSPCAG00000010935
loxodonta_africana ENSLAFG00000011897
echinops_telfairi ENSETEG00000015990
xenopus_tropicalis ENSXETG00000012680
latimeria_chalumnae ENSLACG00000006949
scleropages_formosus ENSSFOG00015007692
paramormyrops_kingsleyae ENSPKIG00000021034
denticeps_clupeoides ENSDCDG00000003597
clupea_harengus ENSCHAG00000000610
electrophorus_electricus ENSEEEG00000019588
ictalurus_punctatus ENSIPUG00000024961
astyanax_mexicanus ENSAMXG00000011763
astyanax_mexicanus ENSAMXG00005014607
pygocentrus_nattereri ENSPNAG00000020033
danio_rerio ENSDARG00000042995
hucho_hucho ENSHHUG00000024307
esox_lucius ENSELUG00000016744
takifugu_rubripes ENSTRUG00000012471
tetraodon_nigroviridis ENSTNIG00000004899
mola_mola ENSMMOG00000018865
larimichthys_crocea ENSLCRG00005022713
tetraodon_nigroviridis ENSTNIG00000005919
seriola_dumerili ENSSDUG00000018250
periophthalmus_magnuspinnatus ENSPMGG00000005776
poecilia_mexicana ENSPMEG00000011027
poecilia_mexicana ENSPMEG00000011050
poecilia_formosa ENSPFOG00000014719
poecilia_latipinna ENSPLAG00000003843
poecilia_latipinna ENSPLAG00000003856
xiphophorus_maculatus ENSXMAG00000016125
xiphophorus_couchianus ENSXCOG00000016194
gambusia_affinis ENSGAFG00000019825
poecilia_reticulata ENSPREG00000004486
gambusia_affinis ENSGAFG00000019827
fundulus_heteroclitus ENSFHEG00000018083
fundulus_heteroclitus ENSFHEG00000007968
cyprinodon_variegatus ENSCVAG00000014555
oryzias_latipes ENSORLG00015016565
oryzias_latipes ENSORLG00020003339
oryzias_latipes ENSORLG00000014633
oryzias_melastigma ENSOMEG00000000161
monopterus_albus ENSMALG00000013469
cottoperca_gobio ENSCGOG00000019817
cynoglossus_semilaevis ENSCSEG00000009841
gouania_willdenowi ENSGWIG00000024661
seriola_dumerili ENSSDUG00000018182
seriola_lalandi ENSSLDG00000017078
scophthalmus_maximus ENSSMAG00000007339
lates_calcarifer ENSLCAG00010011757
anabas_testudineus ENSATEG00000010496
betta_splendens ENSBSLG00000003798
mastacembelus_armatus ENSMAMG00000022776
hippocampus_comes ENSHCOG00000014091
amphiprion_ocellaris ENSAOCG00000022648
amphiprion_percula ENSAPEG00000013308
acanthochromis_polyacanthus ENSAPOG00000012152
stegastes_partitus ENSSPAG00000007316
kryptolebias_marmoratus ENSKMAG00000012014
maylandia_zebra ENSMZEG00005011081
astatotilapia_calliptera ENSACLG00000012367
haplochromis_burtoni ENSHBUG00000006377
pundamilia_nyererei ENSPNYG00000023581
neolamprologus_brichardi ENSNBRG00000006666
oreochromis_niloticus ENSONIG00000011229
amphilophus_citrinellus ENSACIG00000010363
parambassis_ranga ENSPRNG00000021345
labrus_bergylta ENSLBEG00000024348
gasterosteus_aculeatus ENSGACG00000018667
gadus_morhua ENSGMOG00000013388
lepisosteus_oculatus ENSLOCG00000008246
erpetoichthys_calabaricus ENSECRG00000014817
callorhinchus_milii ENSCMIG00000012327
petromyzon_marinus ENSPMAG00000004051
eptatretus_burgeri ENSEBUG00000013530
ciona_intestinalis ENSCING00000012271
ciona_savignyi ENSCSAVG00000009980
ciona_intestinalis ENSCING00000004115
ciona_savignyi ENSCSAVG00000009955
drosophila_melanogaster FBgn0086532
caenorhabditis_elegans WBGene00016020
saccharomyces_cerevisiae YMR296C
