lonchura_striata_domestica ENSLSDG00000011286
taeniopygia_guttata ENSTGUG00000004564
junco_hyemalis ENSJHYG00000014112
zonotrichia_albicollis ENSZALG00000016039
serinus_canaria ENSSCAG00000015919
ficedula_albicollis ENSFALG00000009745
cyanistes_caeruleus ENSCCEG00000003386
parus_major ENSPMJG00000007322
manacus_vitellinus ENSMVIG00005017181
lepidothrix_coronata ENSLCOG00000015238
melopsittacus_undulatus ENSMUNG00000000957
calidris_pugnax ENSCPUG00000002939
calidris_pygmaea ENSCPGG00000003639
anser_brachyrhynchus ENSABRG00000017044
anas_platyrhynchos_platyrhynchos ENSAPLG00000003525
meleagris_gallopavo ENSMGAG00000001387
coturnix_japonica ENSCJPG00005001127
gallus_gallus ENSGALG00000002150
numida_meleagris ENSNMEG00000009170
apteryx_owenii ENSAOWG00000002154
apteryx_haastii ENSAHAG00000013448
apteryx_rowi ENSARWG00000013812
dromaius_novaehollandiae ENSDNVG00000017606
nothoprocta_perdicaria ENSNPEG00000006566
crocodylus_porosus ENSCPRG00005005487
chelonoidis_abingdonii ENSCABG00000021531
gopherus_agassizii ENSGAGG00000017085
chrysemys_picta_bellii ENSCPBG00000006202
pelodiscus_sinensis ENSPSIG00000016717
pogona_vitticeps ENSPVIG00000009201
anolis_carolinensis ENSACAG00000026968
notechis_scutatus ENSNSUG00000019483
salvator_merianae ENSSMRG00000022320
sphenodon_punctatus ENSSPUG00000006288
phascolarctos_cinereus ENSPCIG00000000159
notamacropus_eugenii ENSMEUG00000016516
sarcophilus_harrisii ENSSHAG00000013722
monodelphis_domestica ENSMODG00000002000
heterocephalus_glaber_male ENSHGLG00100008194
heterocephalus_glaber_female ENSHGLG00000018972
heterocephalus_glaber_female ENSHGLG00000007319
heterocephalus_glaber_male ENSHGLG00100005360
heterocephalus_glaber_male ENSHGLG00100011146
heterocephalus_glaber_male ENSHGLG00100002656
heterocephalus_glaber_female ENSHGLG00000009146
fukomys_damarensis ENSFDAG00000001015
cavia_porcellus ENSCPOG00000026940
cavia_aperea ENSCAPG00000010725
chinchilla_lanigera ENSCLAG00000009612
octodon_degus ENSODEG00000015245
octodon_degus ENSODEG00000015788
octodon_degus ENSODEG00000000657
urocitellus_parryii ENSUPAG00010014390
ictidomys_tridecemlineatus ENSSTOG00000022704
marmota_marmota_marmota ENSMMMG00000019080
spermophilus_dauricus ENSSDAG00000004434
mus_musculus ENSMUSG00000025586
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031021
mus_spicilegus ENSMSIG00000001686
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029919
mus_pahari MGP_PahariEiJ_G0013141
rattus_norvegicus ENSRNOG00000019161
meriones_unguiculatus ENSMUGG00000009942
cricetulus_griseus_crigri-picr ENSCGRG00015003660
cricetulus_griseus_crigri ENSCGRG00000002837
cricetulus_griseus_chok1gshd ENSCGRG00001000358
mesocricetus_auratus ENSMAUG00000017763
peromyscus_maniculatus_bairdii ENSPEMG00000006743
microtus_ochrogaster ENSMOCG00000006902
nannospalax_galili ENSNGAG00000011985
jaculus_jaculus ENSJJAG00000015049
castor_canadensis ENSCCNG00000011457
oryctolagus_cuniculus ENSOCUG00000026694
ochotona_princeps ENSOPRG00000018614
microcebus_murinus ENSMICG00000026395
prolemur_simus ENSPSMG00000001795
otolemur_garnettii ENSOGAG00000027823
carlito_syrichta ENSTSYG00000010177
gorilla_gorilla ENSGGOG00000003268
homo_sapiens ENSG00000260836
cebus_capucinus ENSCCAG00000037365
saimiri_boliviensis_boliviensis ENSSBOG00000024786
callithrix_jacchus ENSCJAG00000016048
aotus_nancymaae ENSANAG00000027594
colobus_angolensis_palliatus ENSCANG00000031537
piliocolobus_tephrosceles ENSPTEG00000007447
rhinopithecus_roxellana ENSRROG00000036020
rhinopithecus_bieti ENSRBIG00000007666
cercocebus_atys ENSCATG00000026532
theropithecus_gelada ENSTGEG00000004447
mandrillus_leucophaeus ENSMLEG00000043483
macaca_fascicularis ENSMFAG00000029641
macaca_nemestrina ENSMNEG00000035259
macaca_mulatta ENSMMUG00000011328
pan_troglodytes ENSPTRG00000034062
pan_paniscus ENSPPAG00000006926
homo_sapiens ENSG00000214575
nomascus_leucogenys ENSNLEG00000011018
