equus_asinus ENSEASG00005020465
bos_mutus ENSBMUG00000016698
erinaceus_europaeus ENSEEUG00000008583
pteropus_vampyrus ENSPVAG00000004617
sorex_araneus ENSSARG00000007682
equus_caballus ENSECAG00000013849
bos_taurus ENSBTAG00000002055
bos_indicus ENSBIXG00000018252
bos_indicus ENSBIXG00005024945
bos_mutus ENSBMUG00000016625
capra_hircus ENSCHIG00000024843
ovis_aries ENSOARG00000003373
tursiops_truncatus ENSTTRG00000008772
sus_scrofa ENSSSCG00000027774
mustela_putorius ENSMPUG00000006646
neovison_vison ENSNVIG00000012856
ursus_americanus ENSUAMG00000025243
ursus_maritimus ENSUMAG00000024764
canis_lupus ENSCAFG00020015141
vulpes_vulpes ENSVVUG00000006552
canis_lupus ENSCAFG00000024289
panthera_pardus ENSPPRG00000010670
panthera_tigris ENSPTIG00000012418
felis_catus ENSFCAG00000034356
mus_musculus ENSMUSG00000062861
mus_spretus MGP_SPRETEiJ_G0030222
mus_spicilegus ENSMSIG00000000606
mus_caroli MGP_CAROLIEiJ_G0029161
mus_pahari MGP_PahariEiJ_G0021030
rattus_norvegicus ENSRNOG00000042777
meriones_unguiculatus ENSMUGG00000004272
cricetulus_griseus ENSCGRG00015005288
cricetulus_griseus ENSCGRG00001020157
mesocricetus_auratus ENSMAUG00000016975
peromyscus_maniculatus ENSPEMG00000000472
microtus_ochrogaster ENSMOCG00000014357
nannospalax_galili ENSNGAG00000004441
jaculus_jaculus ENSJJAG00000010256
heterocephalus_glaber ENSHGLG00000007330
heterocephalus_glaber ENSHGLG00100018173
fukomys_damarensis ENSFDAG00000010275
chinchilla_lanigera ENSCLAG00000000617
octodon_degus ENSODEG00000010444
cavia_porcellus ENSCPOG00000013819
cavia_aperea ENSCAPG00000009260
castor_canadensis ENSCCNG00000005855
ictidomys_tridecemlineatus ENSSTOG00000022134
urocitellus_parryii ENSUPAG00010003033
oryctolagus_cuniculus ENSOCUG00000011245
ochotona_princeps ENSOPRG00000014306
pan_troglodytes ENSPTRG00000023421
pan_paniscus ENSPPAG00000040191
gorilla_gorilla ENSGGOG00000011352
homo_sapiens ENSG00000196867
pongo_abelii ENSPPYG00000010451
nomascus_leucogenys ENSNLEG00000031529
cercocebus_atys ENSCATG00000044000
mandrillus_leucophaeus ENSMLEG00000041554
papio_anubis ENSPANG00000008416
macaca_mulatta ENSMMUG00000021673
macaca_fascicularis ENSMFAG00000038897
macaca_nemestrina ENSMNEG00000044816
theropithecus_gelada ENSTGEG00000014250
chlorocebus_sabaeus ENSCSAG00000001666
piliocolobus_tephrosceles ENSPTEG00000001069
colobus_angolensis ENSCANG00000042642
rhinopithecus_roxellana ENSRROG00000004731
rhinopithecus_bieti ENSRBIG00000029187
cebus_capucinus ENSCCAG00000029628
saimiri_boliviensis ENSSBOG00000035243
callithrix_jacchus ENSCJAG00000020297
aotus_nancymaae ENSANAG00000031427
carlito_syrichta ENSTSYG00000027205
prolemur_simus ENSPSMG00000017280
propithecus_coquereli ENSPCOG00000016282
microcebus_murinus ENSMICG00000008783
otolemur_garnettii ENSOGAG00000004896
dasypus_novemcinctus ENSDNOG00000007010
dasypus_novemcinctus ENSDNOG00000031776
dasypus_novemcinctus ENSDNOG00000048014
cricetulus_griseus ENSCGRG00015020906
loxodonta_africana ENSLAFG00000010041
echinops_telfairi ENSETEG00000002303
