bos_taurus ENSBTAG00000047474
capra_hircus ENSCHIG00000020030
sus_scrofa ENSSSCG00000032305
myotis_lucifugus ENSMLUG00000025180
mus_spicilegus ENSMSIG00000026566
mus_spretus MGP_SPRETEiJ_G0031745
mus_musculus ENSMUSG00000045733
mus_caroli MGP_CAROLIEiJ_G0030634
mus_pahari MGP_PahariEiJ_G0013839
rattus_norvegicus ENSRNOG00000018927
meriones_unguiculatus ENSMUGG00000026117
microtus_ochrogaster ENSMOCG00000021970
peromyscus_maniculatus ENSPEMG00000028994
cricetulus_griseus ENSCGRG00015027731
cricetulus_griseus ENSCGRG00001000836
mesocricetus_auratus ENSMAUG00000021048
nannospalax_galili ENSNGAG00000010481
jaculus_jaculus ENSJJAG00000012466
castor_canadensis ENSCCNG00000003288
ictidomys_tridecemlineatus ENSSTOG00000027747
urocitellus_parryii ENSUPAG00010018480
spermophilus_dauricus ENSSDAG00000001252
marmota_marmota ENSMMMG00000004370
heterocephalus_glaber ENSHGLG00100006142
heterocephalus_glaber ENSHGLG00000009527
fukomys_damarensis ENSFDAG00000017365
chinchilla_lanigera ENSCLAG00000003426
cavia_porcellus ENSCPOG00000031161
canis_lupus ENSCAFG00020020463
canis_lupus ENSCAFG00000029927
neovison_vison ENSNVIG00000009889
panthera_pardus ENSPPRG00000011748
felis_catus ENSFCAG00000045458
equus_asinus ENSEASG00005015109
equus_caballus ENSECAG00000028030
callithrix_jacchus ENSCJAG00000043692
aotus_nancymaae ENSANAG00000025455
pan_troglodytes ENSPTRG00000032553
homo_sapiens ENSG00000203772
macaca_fascicularis ENSMFAG00000029744
macaca_nemestrina ENSMNEG00000028044
macaca_mulatta ENSMMUG00000048898
cercocebus_atys ENSCATG00000016396
theropithecus_gelada ENSTGEG00000000064
papio_anubis ENSPANG00000020063
chlorocebus_sabaeus ENSCSAG00000019759
piliocolobus_tephrosceles ENSPTEG00000024383
rhinopithecus_roxellana ENSRROG00000020473
prolemur_simus ENSPSMG00000016925
microcebus_murinus ENSMICG00000046377
otolemur_garnettii ENSOGAG00000032920
oryctolagus_cuniculus ENSOCUG00000023927
dasypus_novemcinctus ENSDNOG00000037760
sphenodon_punctatus ENSSPUG00000009451
