macaca_fascicularis ENSMFAG00000044261
macaca_mulatta ENSMMUG00000045008
macaca_nemestrina ENSMNEG00000033147
papio_anubis ENSPANG00000000943
cercocebus_atys ENSCATG00000039707
rhinopithecus_bieti ENSRBIG00000033037
homo_sapiens ENSG00000159450
gorilla_gorilla ENSGGOG00000027117
callithrix_jacchus ENSCJAG00000043805
tupaia_belangeri ENSTBEG00000010580
sorex_araneus ENSSARG00000013318
myotis_lucifugus ENSMLUG00000013906
mustela_putorius_furo ENSMPUG00000003496
ovis_aries ENSOARG00000021083
capra_hircus ENSCHIG00000005102
bos_taurus ENSBTAG00000053103
mus_musculus ENSMUSG00000052415
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026243
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025301
mus_pahari MGP_PahariEiJ_G0026744
microtus_ochrogaster ENSMOCG00000007199
procavia_capensis ENSPCAG00000003872
taeniopygia_guttata ENSTGUG00000004329
