poecilia_mexicana ENSPMEG00000023441
xiphophorus_maculatus ENSXMAG00000002020
fundulus_heteroclitus ENSFHEG00000004441
cyprinodon_variegatus ENSCVAG00000008032
kryptolebias_marmoratus ENSKMAG00000009819
oryzias_latipes ENSORLG00020009884
oryzias_latipes ENSORLG00000008233
oryzias_latipes_asm223469v1 ENSORLG00015005280
oryzias_melastigma ENSOMEG00000008446
pundamilia_nyererei ENSPNYG00000001309
amphiprion_ocellaris ENSAOCG00000006946
amphiprion_percula ENSAPEG00000001694
acanthochromis_polyacanthus ENSAPOG00000009488
stegastes_partitus ENSSPAG00000001092
gasterosteus_aculeatus ENSGACG00000009200
scophthalmus_maximus ENSSMAG00000010402
cynoglossus_semilaevis ENSCSEG00000005684
seriola_dumerili ENSSDUG00000022139
seriola_lalandi_dorsalis ENSSLDG00000013748
anabas_testudineus ENSATEG00000018410
tetraodon_nigroviridis ENSTNIG00000006682
astatotilapia_calliptera ENSACLG00000015278
maylandia_zebra ENSMZEG00005012472
pundamilia_nyererei ENSPNYG00000001452
haplochromis_burtoni ENSHBUG00000011119
oreochromis_niloticus ENSONIG00000020363
haplochromis_burtoni ENSHBUG00000019073
amphilophus_citrinellus ENSACIG00000004365
xiphophorus_couchianus ENSXCOG00000010594
seriola_dumerili ENSSDUG00000022155
seriola_lalandi_dorsalis ENSSLDG00000014433
labrus_bergylta ENSLBEG00000025564
labrus_bergylta ENSLBEG00000025489
anabas_testudineus ENSATEG00000018869
esox_lucius ENSELUG00000007988
ictalurus_punctatus ENSIPUG00000001848
ictalurus_punctatus ENSIPUG00000001872
ictalurus_punctatus ENSIPUG00000001832
ictalurus_punctatus ENSIPUG00000004815
ictalurus_punctatus ENSIPUG00000017075
ictalurus_punctatus ENSIPUG00000017098
ictalurus_punctatus ENSIPUG00000001780
pygocentrus_nattereri ENSPNAG00000027889
paramormyrops_kingsleyae ENSPKIG00000011430
paramormyrops_kingsleyae ENSPKIG00000018253
paramormyrops_kingsleyae ENSPKIG00000011367
scleropages_formosus ENSSFOG00015011797
lepisosteus_oculatus ENSLOCG00000006389
oryzias_latipes ENSORLG00000023387
oryzias_latipes_asm223469v1 ENSORLG00015005165
takifugu_rubripes ENSTRUG00000023408
labrus_bergylta ENSLBEG00000015082
neolamprologus_brichardi ENSNBRG00000011059
pundamilia_nyererei ENSPNYG00000002563
monopterus_albus ENSMALG00000006865
ictalurus_punctatus ENSIPUG00000017114
ictalurus_punctatus ENSIPUG00000017049
paramormyrops_kingsleyae ENSPKIG00000011460
vulpes_vulpes ENSVVUG00000016487
calidris_pugnax ENSCPUG00000012289
calidris_pygmaea ENSCPGG00000010565
melopsittacus_undulatus ENSMUNG00000008850
lepidothrix_coronata ENSLCOG00000001572
manacus_vitellinus ENSMVIG00005006644
cyanistes_caeruleus ENSCCEG00000017159
parus_major ENSPMJG00000010501
ficedula_albicollis ENSFALG00000002094
zonotrichia_albicollis ENSZALG00000002370
junco_hyemalis ENSJHYG00000014361
serinus_canaria ENSSCAG00000010924
lonchura_striata_domestica ENSLSDG00000009790
taeniopygia_guttata ENSTGUG00000005326
anas_platyrhynchos_platyrhynchos ENSAPLG00000015976
numida_meleagris ENSNMEG00000012978
apteryx_owenii ENSAOWG00000015601
apteryx_rowi ENSARWG00000014260
apteryx_haastii ENSAHAG00000013563
dromaius_novaehollandiae ENSDNVG00000008769
crocodylus_porosus ENSCPRG00005016133
chelonoidis_abingdonii ENSCABG00000016822
gopherus_agassizii ENSGAGG00000009359
chrysemys_picta_bellii ENSCPBG00000012892
gopherus_agassizii ENSGAGG00000009392
chelonoidis_abingdonii ENSCABG00000016699
chrysemys_picta_bellii ENSCPBG00000012852
pelodiscus_sinensis ENSPSIG00000015810
pogona_vitticeps ENSPVIG00000023972
anolis_carolinensis ENSACAG00000005450
salvator_merianae ENSSMRG00000022937
crocodylus_porosus ENSCPRG00005016141
sphenodon_punctatus ENSSPUG00000003093
sphenodon_punctatus ENSSPUG00000003071
pogona_vitticeps ENSPVIG00000023971
anolis_carolinensis ENSACAG00000023592
notechis_scutatus ENSNSUG00000007203
salvator_merianae ENSSMRG00000022938
chelonoidis_abingdonii ENSCABG00000016695
gopherus_agassizii ENSGAGG00000009429
chrysemys_picta_bellii ENSCPBG00000012848
pelodiscus_sinensis ENSPSIG00000011129
crocodylus_porosus ENSCPRG00005016122
paramormyrops_kingsleyae ENSPKIG00000007971
ictalurus_punctatus ENSIPUG00000013540
sphenodon_punctatus ENSSPUG00000013146
amphilophus_citrinellus ENSACIG00000009557
periophthalmus_magnuspinnatus ENSPMGG00000018110
ornithorhynchus_anatinus ENSOANG00000006435
ornithorhynchus_anatinus ENSOANG00000006437
choloepus_hoffmanni ENSCHOG00000008929
dasypus_novemcinctus ENSDNOG00000008080
loxodonta_africana ENSLAFG00000016541
loxodonta_africana ENSLAFG00000029694
procavia_capensis ENSPCAG00000012854
echinops_telfairi ENSETEG00000017851
echinops_telfairi ENSETEG00000006446
bos_mutus ENSBMUG00000018928
bos_taurus ENSBTAG00000030913
bison_bison_bison ENSBBBG00000013880
ovis_aries ENSOARG00000010283
capra_hircus ENSCHIG00000001865
tursiops_truncatus ENSTTRG00000000683
sus_scrofa ENSSSCG00000012077
vicugna_pacos ENSVPAG00000010377
myotis_lucifugus ENSMLUG00000011447
pteropus_vampyrus ENSPVAG00000005440
equus_asinus_asinus ENSEASG00005003911
equus_caballus ENSECAG00000011776
ursus_americanus ENSUAMG00000026734
ursus_maritimus ENSUMAG00000025632
ailuropoda_melanoleuca ENSAMEG00000010494
neovison_vison ENSNVIG00000005239
mustela_putorius_furo ENSMPUG00000008778
canis_lupus_dingo ENSCAFG00020016550
canis_lupus_familiaris ENSCAFG00000010172
vulpes_vulpes ENSVVUG00000016470
panthera_pardus ENSPPRG00000003339
panthera_tigris_altaica ENSPTIG00000017829
felis_catus ENSFCAG00000008068
pan_paniscus ENSPPAG00000034486
homo_sapiens ENSG00000157601
gorilla_gorilla ENSGGOG00000001560
pongo_abelii ENSPPYG00000011437
nomascus_leucogenys ENSNLEG00000008634
papio_anubis ENSPANG00000023901
theropithecus_gelada ENSTGEG00000023179
mandrillus_leucophaeus ENSMLEG00000032199
cercocebus_atys ENSCATG00000036673
macaca_mulatta ENSMMUG00000015329
macaca_fascicularis ENSMFAG00000044214
macaca_nemestrina ENSMNEG00000032698
chlorocebus_sabaeus ENSCSAG00000008237
rhinopithecus_roxellana ENSRROG00000033539
rhinopithecus_bieti ENSRBIG00000044394
colobus_angolensis_palliatus ENSCANG00000000785
piliocolobus_tephrosceles ENSPTEG00000038450
callithrix_jacchus ENSCJAG00000011261
cebus_capucinus ENSCCAG00000025192
aotus_nancymaae ENSANAG00000032841
carlito_syrichta ENSTSYG00000013089
propithecus_coquereli ENSPCOG00000027202
prolemur_simus ENSPSMG00000023244
microcebus_murinus ENSMICG00000017322
otolemur_garnettii ENSOGAG00000009515
tupaia_belangeri ENSTBEG00000007291
castor_canadensis ENSCCNG00000014784
castor_canadensis ENSCCNG00000007635
castor_canadensis ENSCCNG00000007441
castor_canadensis ENSCCNG00000014807
dipodomys_ordii ENSDORG00000003337
dipodomys_ordii ENSDORG00000027605
peromyscus_maniculatus_bairdii ENSPEMG00000030351
peromyscus_maniculatus_bairdii ENSPEMG00000027181
peromyscus_maniculatus_bairdii ENSPEMG00000014739
peromyscus_maniculatus_bairdii ENSPEMG00000024660
peromyscus_maniculatus_bairdii ENSPEMG00000027256
microtus_ochrogaster ENSMOCG00000015763
cricetulus_griseus_crigri-picr ENSCGRG00015016982
cricetulus_griseus_crigri ENSCGRG00000010120
cricetulus_griseus_chok1gshd ENSCGRG00001004304
mesocricetus_auratus ENSMAUG00000016913
mus_musculus ENSMUSG00000023341
mus_spicilegus ENSMSIG00000020383
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008949
mus_pahari MGP_PahariEiJ_G0008412
rattus_norvegicus ENSRNOG00000001963
meriones_unguiculatus ENSMUGG00000020541
cricetulus_griseus_chok1gshd ENSCGRG00001009938
cricetulus_griseus_crigri-picr ENSCGRG00015016814
cricetulus_griseus_crigri ENSCGRG00000010675
mesocricetus_auratus ENSMAUG00000000088
peromyscus_maniculatus_bairdii ENSPEMG00000015989
microtus_ochrogaster ENSMOCG00000015113
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021915
mus_spicilegus ENSMSIG00000020084
mus_musculus ENSMUSG00000000386
