erpetoichthys_calabaricus ENSECRG00000004024
paramormyrops_kingsleyae ENSPKIG00000015558
ornithorhynchus_anatinus ENSOANG00000003289
ornithorhynchus_anatinus ENSOANG00000031957
ornithorhynchus_anatinus ENSOANG00000031365
ornithorhynchus_anatinus ENSOANG00000003288
vombatus_ursinus ENSVURG00010013794
phascolarctos_cinereus ENSPCIG00000032327
monodelphis_domestica ENSMODG00000028578
sarcophilus_harrisii ENSSHAG00000013719
loxodonta_africana ENSLAFG00000026929
loxodonta_africana ENSLAFG00000031744
dasypus_novemcinctus ENSDNOG00000041248
dasypus_novemcinctus ENSDNOG00000035345
peromyscus_maniculatus ENSPEMG00000024391
peromyscus_maniculatus ENSPEMG00000026923
peromyscus_maniculatus ENSPEMG00000029121
peromyscus_maniculatus ENSPEMG00000030396
peromyscus_maniculatus ENSPEMG00000025711
peromyscus_maniculatus ENSPEMG00000009763
peromyscus_maniculatus ENSPEMG00000017666
microtus_ochrogaster ENSMOCG00000011510
cricetulus_griseus ENSCGRG00001018598
cricetulus_griseus ENSCGRG00000011424
cricetulus_griseus ENSCGRG00015010345
cricetulus_griseus ENSCGRG00001024453
cricetulus_griseus ENSCGRG00000011778
cricetulus_griseus ENSCGRG00015010487
mesocricetus_auratus ENSMAUG00000005676
mus_spicilegus ENSMSIG00000028539
mus_musculus ENSMUSG00000044811
mus_spretus MGP_SPRETEiJ_G0018228
mus_caroli MGP_CAROLIEiJ_G0017380
mus_spicilegus ENSMSIG00000028551
mus_musculus ENSMUSG00000058728
mus_caroli MGP_CAROLIEiJ_G0017382
mus_pahari MGP_PahariEiJ_G0018511
mus_pahari MGP_PahariEiJ_G0018512
rattus_norvegicus ENSRNOG00000045888
rattus_norvegicus ENSRNOG00000046121
rattus_norvegicus ENSRNOG00000057734
rattus_norvegicus ENSRNOG00000050974
rattus_norvegicus ENSRNOG00000046216
rattus_norvegicus ENSRNOG00000048771
meriones_unguiculatus ENSMUGG00000022276
nannospalax_galili ENSNGAG00000022778
heterocephalus_glaber ENSHGLG00000004186
fukomys_damarensis ENSFDAG00000016711
cavia_porcellus ENSCPOG00000009617
castor_canadensis ENSCCNG00000005212
castor_canadensis ENSCCNG00000005262
dipodomys_ordii ENSDORG00000004327
dipodomys_ordii ENSDORG00000026736
spermophilus_dauricus ENSSDAG00000022984
spermophilus_dauricus ENSSDAG00000024054
spermophilus_dauricus ENSSDAG00000020993
urocitellus_parryii ENSUPAG00010006679
oryctolagus_cuniculus ENSOCUG00000023392
oryctolagus_cuniculus ENSOCUG00000023065
pan_troglodytes ENSPTRG00000009611
pan_paniscus ENSPPAG00000030050
homo_sapiens ENSG00000167850
gorilla_gorilla ENSGGOG00000009026
pongo_abelii ENSPPYG00000008600
colobus_angolensis ENSCANG00000034727
piliocolobus_tephrosceles ENSPTEG00000000789
rhinopithecus_roxellana ENSRROG00000027660
rhinopithecus_bieti ENSRBIG00000044743
mandrillus_leucophaeus ENSMLEG00000039668
cercocebus_atys ENSCATG00000021569
theropithecus_gelada ENSTGEG00000027088
macaca_fascicularis ENSMFAG00000039038
macaca_nemestrina ENSMNEG00000030570
macaca_mulatta ENSMMUG00000039401
chlorocebus_sabaeus ENSCSAG00000004574
cebus_capucinus ENSCCAG00000022126
saimiri_boliviensis ENSSBOG00000025855
callithrix_jacchus ENSCJAG00000014867
aotus_nancymaae ENSANAG00000032831
microcebus_murinus ENSMICG00000043041
otolemur_garnettii ENSOGAG00000025944
tupaia_belangeri ENSTBEG00000001605
bos_indicus ENSBIXG00000017775
bos_indicus ENSBIXG00005030868
bos_taurus ENSBTAG00000008328
bos_mutus ENSBMUG00000022518
bison_bison ENSBBBG00000008622
bos_mutus ENSBMUG00000022554
bison_bison ENSBBBG00000006011
bos_indicus ENSBIXG00005030873
capra_hircus ENSCHIG00000003197
bos_indicus ENSBIXG00000017778
bos_indicus ENSBIXG00005030871
bison_bison ENSBBBG00000005999
ovis_aries ENSOARG00000012547
vicugna_pacos ENSVPAG00000005910
sus_scrofa ENSSSCG00000017236
myotis_lucifugus ENSMLUG00000013717
myotis_lucifugus ENSMLUG00000022644
equus_caballus ENSECAG00000009798
equus_caballus ENSECAG00000043506
equus_asinus ENSEASG00005019013
neovison_vison ENSNVIG00000009727
mustela_putorius ENSMPUG00000014209
mustela_putorius ENSMPUG00000014211
mustela_putorius ENSMPUG00000014206
ursus_maritimus ENSUMAG00000008100
ursus_americanus ENSUAMG00000013602
vulpes_vulpes ENSVVUG00000010015
canis_lupus ENSCAFG00000024792
felis_catus ENSFCAG00000050735
panthera_tigris ENSPTIG00000012536
erinaceus_europaeus ENSEEUG00000011460
sorex_araneus ENSSARG00000006348
ornithorhynchus_anatinus ENSOANG00000003290
calidris_pygmaea ENSCPGG00000011241
calidris_pygmaea ENSCPGG00000017663
calidris_pygmaea ENSCPGG00000007364
calidris_pugnax ENSCPUG00000002410
melopsittacus_undulatus ENSMUNG00000010779
cyanistes_caeruleus ENSCCEG00000014051
ficedula_albicollis ENSFALG00000001299
serinus_canaria ENSSCAG00000000410
lonchura_striata ENSLSDG00000014716
manacus_vitellinus ENSMVIG00005002293
lepidothrix_coronata ENSLCOG00000002024
manacus_vitellinus ENSMVIG00005002273
meleagris_gallopavo ENSMGAG00000009168
meleagris_gallopavo ENSMGAG00000009172
coturnix_japonica ENSCJPG00005021534
gallus_gallus ENSGALG00000007713
numida_meleagris ENSNMEG00000011286
anser_brachyrhynchus ENSABRG00000015592
anas_platyrhynchos ENSAPLG00000005749
anser_brachyrhynchus ENSABRG00000015589
anas_platyrhynchos ENSAPLG00000026341
apteryx_haastii ENSAHAG00000006718
apteryx_owenii ENSAOWG00000000003
apteryx_rowi ENSARWG00000007607
dromaius_novaehollandiae ENSDNVG00000010398
nothoprocta_perdicaria ENSNPEG00000004898
apteryx_rowi ENSARWG00000007605
sphenodon_punctatus ENSSPUG00000010103
chrysemys_picta ENSCPBG00000028175
chrysemys_picta ENSCPBG00000006356
chelonoidis_abingdonii ENSCABG00000011904
chelonoidis_abingdonii ENSCABG00000011907
chelonoidis_abingdonii ENSCABG00000011900
gopherus_agassizii ENSGAGG00000017799
chelonoidis_abingdonii ENSCABG00000011889
gopherus_agassizii ENSGAGG00000017795
chrysemys_picta ENSCPBG00000028168
chrysemys_picta ENSCPBG00000028173
gopherus_agassizii ENSGAGG00000017802
chelonoidis_abingdonii ENSCABG00000011893
chrysemys_picta ENSCPBG00000028169
pelodiscus_sinensis ENSPSIG00000013904
apteryx_owenii ENSAOWG00000013569
apteryx_rowi ENSARWG00000007604
apteryx_haastii ENSAHAG00000006705
nothoprocta_perdicaria ENSNPEG00000004903
manacus_vitellinus ENSMVIG00005002285
lepidothrix_coronata ENSLCOG00000002026
taeniopygia_guttata ENSTGUG00000008914
lonchura_striata ENSLSDG00000014715
ficedula_albicollis ENSFALG00000001297
cyanistes_caeruleus ENSCCEG00000005077
melopsittacus_undulatus ENSMUNG00000010777
calidris_pugnax ENSCPUG00000002426
calidris_pygmaea ENSCPGG00000001577
