gambusia_affinis ENSGAFG00000017008
xiphophorus_couchianus ENSXCOG00000002320
poecilia_latipinna ENSPLAG00000014732
acanthochromis_polyacanthus ENSAPOG00000008996
periophthalmus_magnuspinnatus ENSPMGG00000001654
fundulus_heteroclitus ENSFHEG00000001223
junco_hyemalis ENSJHYG00000004958
lepidothrix_coronata ENSLCOG00000010312
melopsittacus_undulatus ENSMUNG00000004253
calidris_pugnax ENSCPUG00000019198
apteryx_owenii ENSAOWG00000011571
apteryx_rowi ENSARWG00000016602
apteryx_haastii ENSAHAG00000006926
dromaius_novaehollandiae ENSDNVG00000018993
nothoprocta_perdicaria ENSNPEG00000012643
chelonoidis_abingdonii ENSCABG00000018467
sphenodon_punctatus ENSSPUG00000001788
ursus_americanus ENSUAMG00000008340
canis_lupus_dingo ENSCAFG00020005333
sus_scrofa ENSSSCG00000016424
