gadus_morhua ENSGMOG00000016474
periophthalmus_magnuspinnatus ENSPMGG00000016062
latimeria_chalumnae ENSLACG00000003129
phascolarctos_cinereus ENSPCIG00000014695
notamacropus_eugenii ENSMEUG00000015209
sarcophilus_harrisii ENSSHAG00000016194
monodelphis_domestica ENSMODG00000018150
bison_bison_bison ENSBBBG00000020189
bison_bison_bison ENSBBBG00000020181
bison_bison_bison ENSBBBG00000008391
ursus_maritimus ENSUMAG00000021654
ursus_americanus ENSUAMG00000007337
ailuropoda_melanoleuca ENSAMEG00000013161
neovison_vison ENSNVIG00000001205
mustela_putorius_furo ENSMPUG00000009063
canis_lupus_familiaris ENSCAFG00000003332
canis_lupus_dingo ENSCAFG00020016245
vulpes_vulpes ENSVVUG00000014132
panthera_pardus ENSPPRG00000013359
panthera_tigris_altaica ENSPTIG00000005606
felis_catus ENSFCAG00000018481
bos_taurus ENSBTAG00000021420
bos_mutus ENSBMUG00000012864
ovis_aries ENSOARG00000012207
capra_hircus ENSCHIG00000020693
tursiops_truncatus ENSTTRG00000016063
vicugna_pacos ENSVPAG00000011612
sus_scrofa ENSSSCG00000004336
pteropus_vampyrus ENSPVAG00000010689
myotis_lucifugus ENSMLUG00000005373
equus_asinus_asinus ENSEASG00005006051
equus_asinus_asinus ENSEASG00005006049
equus_caballus ENSECAG00000021315
oryctolagus_cuniculus ENSOCUG00000000672
ochotona_princeps ENSOPRG00000003617
spermophilus_dauricus ENSSDAG00000008577
ictidomys_tridecemlineatus ENSSTOG00000004161
marmota_marmota_marmota ENSMMMG00000010889
urocitellus_parryii ENSUPAG00010001281
tupaia_belangeri ENSTBEG00000017438
colobus_angolensis_palliatus ENSCANG00000041540
piliocolobus_tephrosceles ENSPTEG00000023908
rhinopithecus_roxellana ENSRROG00000031830
rhinopithecus_bieti ENSRBIG00000040036
papio_anubis ENSPANG00000020691
theropithecus_gelada ENSTGEG00000021081
mandrillus_leucophaeus ENSMLEG00000043017
cercocebus_atys ENSCATG00000017708
macaca_fascicularis ENSMFAG00000033589
macaca_nemestrina ENSMNEG00000034930
macaca_mulatta ENSMMUG00000014867
chlorocebus_sabaeus ENSCSAG00000017268
pan_troglodytes ENSPTRG00000018428
pan_paniscus ENSPPAG00000029754
homo_sapiens ENSG00000135333
gorilla_gorilla ENSGGOG00000006503
pongo_abelii ENSPPYG00000016851
nomascus_leucogenys ENSNLEG00000013448
callithrix_jacchus ENSCJAG00000001086
cebus_capucinus ENSCCAG00000022456
saimiri_boliviensis_boliviensis ENSSBOG00000031938
aotus_nancymaae ENSANAG00000025851
carlito_syrichta ENSTSYG00000005245
prolemur_simus ENSPSMG00000015710
microcebus_murinus ENSMICG00000016493
propithecus_coquereli ENSPCOG00000016114
otolemur_garnettii ENSOGAG00000001945
heterocephalus_glaber_male ENSHGLG00100000684
heterocephalus_glaber_female ENSHGLG00000011705
fukomys_damarensis ENSFDAG00000015895
chinchilla_lanigera ENSCLAG00000011201
octodon_degus ENSODEG00000006903
cavia_aperea ENSCAPG00000013710
cavia_porcellus ENSCPOG00000003600
castor_canadensis ENSCCNG00000016619
dipodomys_ordii ENSDORG00000013841
cricetulus_griseus_chok1gshd ENSCGRG00001024038
cricetulus_griseus_crigri-picr ENSCGRG00015008933
cricetulus_griseus_crigri ENSCGRG00000005658
mesocricetus_auratus ENSMAUG00000000040
peromyscus_maniculatus_bairdii ENSPEMG00000020928
microtus_ochrogaster ENSMOCG00000020214
mus_spicilegus ENSMSIG00000016840
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026808
mus_musculus ENSMUSG00000028289
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025860
mus_pahari MGP_PahariEiJ_G0023983
rattus_norvegicus ENSRNOG00000007030
meriones_unguiculatus ENSMUGG00000026733
nannospalax_galili ENSNGAG00000005109
jaculus_jaculus ENSJJAG00000016879
sorex_araneus ENSSARG00000002765
erinaceus_europaeus ENSEEUG00000014352
choloepus_hoffmanni ENSCHOG00000001663
dasypus_novemcinctus ENSDNOG00000049025
loxodonta_africana ENSLAFG00000018084
procavia_capensis ENSPCAG00000008157
echinops_telfairi ENSETEG00000006381
lepisosteus_oculatus ENSLOCG00000016956
poecilia_mexicana ENSPMEG00000003505
xenopus_tropicalis ENSXETG00000018746
chelonoidis_abingdonii ENSCABG00000011115
gopherus_agassizii ENSGAGG00000015454
chrysemys_picta_bellii ENSCPBG00000002925
pelodiscus_sinensis ENSPSIG00000008391
crocodylus_porosus ENSCPRG00005017313
anser_brachyrhynchus ENSABRG00000003215
anser_brachyrhynchus ENSABRG00000003181
numida_meleagris ENSNMEG00000009013
coturnix_japonica ENSCJPG00005002255
calidris_pygmaea ENSCPGG00000005558
calidris_pugnax ENSCPUG00000009630
zonotrichia_albicollis ENSZALG00000006035
junco_hyemalis ENSJHYG00000001084
lonchura_striata_domestica ENSLSDG00000013241
parus_major ENSPMJG00000001305
cyanistes_caeruleus ENSCCEG00000016066
dromaius_novaehollandiae ENSDNVG00000004533
pelodiscus_sinensis ENSPSIG00000002375
anas_platyrhynchos_platyrhynchos ENSAPLG00000002816
anser_brachyrhynchus ENSABRG00000003224
gallus_gallus ENSGALG00000015593
meleagris_gallopavo ENSMGAG00000013613
taeniopygia_guttata ENSTGUG00000012333
serinus_canaria ENSSCAG00000001775
ficedula_albicollis ENSFALG00000003212
manacus_vitellinus ENSMVIG00005001994
lepidothrix_coronata ENSLCOG00000010823
melopsittacus_undulatus ENSMUNG00000005587
apteryx_haastii ENSAHAG00000015844
apteryx_owenii ENSAOWG00000002573
apteryx_rowi ENSARWG00000005376
nothoprocta_perdicaria ENSNPEG00000013183
sphenodon_punctatus ENSSPUG00000012855
sphenodon_punctatus ENSSPUG00000012866
sphenodon_punctatus ENSSPUG00000012873
pogona_vitticeps ENSPVIG00000002936
anolis_carolinensis ENSACAG00000003318
notechis_scutatus ENSNSUG00000017867
salvator_merianae ENSSMRG00000013374
ornithorhynchus_anatinus ENSOANG00000008930
