octodon_degus ENSODEG00000002532
chinchilla_lanigera ENSCLAG00000016203
cavia_porcellus ENSCPOG00000024043
cavia_aperea ENSCAPG00000017768
heterocephalus_glaber ENSHGLG00000006854
heterocephalus_glaber ENSHGLG00100001023
fukomys_damarensis ENSFDAG00000010976
marmota_marmota ENSMMMG00000006907
urocitellus_parryii ENSUPAG00010020056
spermophilus_dauricus ENSSDAG00000007672
ictidomys_tridecemlineatus ENSSTOG00000024281
mus_spicilegus ENSMSIG00000003317
mus_spicilegus ENSMSIG00000031814
mus_spretus MGP_SPRETEiJ_G0023172
mus_musculus ENSMUSG00000073568
mus_pahari MGP_PahariEiJ_G0018993
rattus_norvegicus ENSRNOG00000025590
meriones_unguiculatus ENSMUGG00000025897
microtus_ochrogaster ENSMOCG00000019279
peromyscus_maniculatus ENSPEMG00000016519
cricetulus_griseus ENSCGRG00001000319
cricetulus_griseus ENSCGRG00000007091
cricetulus_griseus ENSCGRG00015005460
mesocricetus_auratus ENSMAUG00000004419
nannospalax_galili ENSNGAG00000020789
jaculus_jaculus ENSJJAG00000014960
castor_canadensis ENSCCNG00000005395
pan_troglodytes ENSPTRG00000044189
pan_paniscus ENSPPAG00000027194
homo_sapiens ENSG00000268223
gorilla_gorilla ENSGGOG00000022597
nomascus_leucogenys ENSNLEG00000035776
macaca_nemestrina ENSMNEG00000044534
macaca_mulatta ENSMMUG00000056563
macaca_fascicularis ENSMFAG00000035699
theropithecus_gelada ENSTGEG00000011702
cercocebus_atys ENSCATG00000036338
chlorocebus_sabaeus ENSCSAG00000014770
papio_anubis ENSPANG00000006470
mandrillus_leucophaeus ENSMLEG00000035222
rhinopithecus_roxellana ENSRROG00000006516
rhinopithecus_bieti ENSRBIG00000021578
colobus_angolensis ENSCANG00000035529
piliocolobus_tephrosceles ENSPTEG00000036980
saimiri_boliviensis ENSSBOG00000002436
callithrix_jacchus ENSCJAG00000031693
cebus_capucinus ENSCCAG00000021544
aotus_nancymaae ENSANAG00000023687
carlito_syrichta ENSTSYG00000032012
propithecus_coquereli ENSPCOG00000017647
microcebus_murinus ENSMICG00000033608
prolemur_simus ENSPSMG00000007323
bos_indicus ENSBIXG00005019517
bos_mutus ENSBMUG00000014716
bos_indicus ENSBIXG00000013815
bos_taurus ENSBTAG00000039618
bison_bison ENSBBBG00000005593
ovis_aries ENSOARG00000016507
capra_hircus ENSCHIG00000017755
bos_indicus ENSBIXG00005003325
bos_indicus ENSBIXG00005026541
bos_taurus ENSBTAG00000038660
bos_mutus ENSBMUG00000022865
bison_bison ENSBBBG00000015225
bos_indicus ENSBIXG00005026535
bos_taurus ENSBTAG00000037550
bos_indicus ENSBIXG00005003332
bison_bison ENSBBBG00000025399
bos_indicus ENSBIXG00005019385
bos_indicus ENSBIXG00000012138
bos_indicus ENSBIXG00005005571
bos_mutus ENSBMUG00000005079
bison_bison ENSBBBG00000024319
bos_taurus ENSBTAG00000051616
bos_indicus ENSBIXG00005003321
bison_bison ENSBBBG00000004603
capra_hircus ENSCHIG00000007839
capra_hircus ENSCHIG00000019028
capra_hircus ENSCHIG00000006366
capra_hircus ENSCHIG00000018679
capra_hircus ENSCHIG00000007883
capra_hircus ENSCHIG00000019123
capra_hircus ENSCHIG00000019669
capra_hircus ENSCHIG00000018942
ovis_aries ENSOARG00000018136
ovis_aries ENSOARG00000017602
sus_scrofa ENSSSCG00000014222
equus_asinus ENSEASG00005015003
equus_caballus ENSECAG00000035490
ursus_americanus ENSUAMG00000011926
ursus_maritimus ENSUMAG00000023673
ailuropoda_melanoleuca ENSAMEG00000017008
mustela_putorius ENSMPUG00000000795
neovison_vison ENSNVIG00000014839
canis_lupus ENSCAFG00000000198
canis_lupus ENSCAFG00020004094
vulpes_vulpes ENSVVUG00000019464
panthera_tigris ENSPTIG00000002228
panthera_pardus ENSPPRG00000009493
felis_catus ENSFCAG00000030457
myotis_lucifugus ENSMLUG00000027907
dipodomys_ordii ENSDORG00000024420
dasypus_novemcinctus ENSDNOG00000038611
loxodonta_africana ENSLAFG00000032735
vombatus_ursinus ENSVURG00010010501
phascolarctos_cinereus ENSPCIG00000028579
sarcophilus_harrisii ENSSHAG00000002874
monodelphis_domestica ENSMODG00000025398
sarcophilus_harrisii ENSSHAG00000011080
sarcophilus_harrisii ENSSHAG00000006892
phascolarctos_cinereus ENSPCIG00000030954
phascolarctos_cinereus ENSPCIG00000036680
phascolarctos_cinereus ENSPCIG00000031493
phascolarctos_cinereus ENSPCIG00000035146
phascolarctos_cinereus ENSPCIG00000034077
monodelphis_domestica ENSMODG00000038740
phascolarctos_cinereus ENSPCIG00000007963
phascolarctos_cinereus ENSPCIG00000035756
phascolarctos_cinereus ENSPCIG00000034526
monodelphis_domestica ENSMODG00000029170
dromaius_novaehollandiae ENSDNVG00000014058
nothoprocta_perdicaria ENSNPEG00000009210
apteryx_owenii ENSAOWG00000014111
apteryx_rowi ENSARWG00000017131
apteryx_haastii ENSAHAG00000007532
gallus_gallus ENSGALG00000053928
coturnix_japonica ENSCJPG00005005918
meleagris_gallopavo ENSMGAG00000008941
numida_meleagris ENSNMEG00000014292
anas_platyrhynchos ENSAPLG00000025988
melopsittacus_undulatus ENSMUNG00000002700
calidris_pygmaea ENSCPGG00000011363
calidris_pugnax ENSCPUG00000004848
anser_brachyrhynchus ENSABRG00000013742
lepidothrix_coronata ENSLCOG00000005239
manacus_vitellinus ENSMVIG00005019637
taeniopygia_guttata ENSTGUG00000017544
lonchura_striata ENSLSDG00000011898
serinus_canaria ENSSCAG00000005386
zonotrichia_albicollis ENSZALG00000006326
ficedula_albicollis ENSFALG00000001872
parus_major ENSPMJG00000005460
cyanistes_caeruleus ENSCCEG00000011959
crocodylus_porosus ENSCPRG00005015521
chelonoidis_abingdonii ENSCABG00000015561
