canis_lupus_familiaris ENSCAFG00000013970
neovison_vison ENSNVIG00000017757
panthera_pardus ENSPPRG00000024547
panthera_tigris_altaica ENSPTIG00000007644
felis_catus ENSFCAG00000045639
bos_mutus ENSBMUG00000003399
bos_taurus ENSBTAG00000054077
bison_bison_bison ENSBBBG00000005063
ovis_aries ENSOARG00000012197
urocitellus_parryii ENSUPAG00010010293
spermophilus_dauricus ENSSDAG00000007291
ictidomys_tridecemlineatus ENSSTOG00000003280
marmota_marmota_marmota ENSMMMG00000009605
heterocephalus_glaber_male ENSHGLG00100013300
heterocephalus_glaber_female ENSHGLG00000009658
fukomys_damarensis ENSFDAG00000002506
chinchilla_lanigera ENSCLAG00000016449
cavia_aperea ENSCAPG00000015961
cavia_porcellus ENSCPOG00000036467
octodon_degus ENSODEG00000014602
rhinopithecus_bieti ENSRBIG00000031571
rhinopithecus_roxellana ENSRROG00000033490
colobus_angolensis_palliatus ENSCANG00000042349
piliocolobus_tephrosceles ENSPTEG00000023194
papio_anubis ENSPANG00000004748
theropithecus_gelada ENSTGEG00000009969
mandrillus_leucophaeus ENSMLEG00000043707
cercocebus_atys ENSCATG00000042096
chlorocebus_sabaeus ENSCSAG00000007612
macaca_fascicularis ENSMFAG00000031527
macaca_mulatta ENSMMUG00000038756
macaca_nemestrina ENSMNEG00000037050
pan_paniscus ENSPPAG00000041718
pan_troglodytes ENSPTRG00000050805
homo_sapiens ENSG00000187066
gorilla_gorilla ENSGGOG00000041966
nomascus_leucogenys ENSNLEG00000005488
cebus_capucinus ENSCCAG00000029097
saimiri_boliviensis_boliviensis ENSSBOG00000026875
callithrix_jacchus ENSCJAG00000002495
aotus_nancymaae ENSANAG00000019411
carlito_syrichta ENSTSYG00000037369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023502
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022591
mus_spicilegus ENSMSIG00000030241
mus_musculus ENSMUSG00000047733
mus_pahari MGP_PahariEiJ_G0014085
rattus_norvegicus ENSRNOG00000047431
meriones_unguiculatus ENSMUGG00000020282
cricetulus_griseus_crigri-picr ENSCGRG00015014190
cricetulus_griseus_chok1gshd ENSCGRG00001014365
cricetulus_griseus_crigri ENSCGRG00000005255
mesocricetus_auratus ENSMAUG00000015608
microtus_ochrogaster ENSMOCG00000007979
peromyscus_maniculatus_bairdii ENSPEMG00000025405
nannospalax_galili ENSNGAG00000017495
castor_canadensis ENSCCNG00000024937
dipodomys_ordii ENSDORG00000025472
prolemur_simus ENSPSMG00000000802
microcebus_murinus ENSMICG00000037167
propithecus_coquereli ENSPCOG00000014068
dasypus_novemcinctus ENSDNOG00000019037
phascolarctos_cinereus ENSPCIG00000035173
sarcophilus_harrisii ENSSHAG00000001969
