poecilia_mexicana ENSPMEG00000013270
poecilia_latipinna ENSPLAG00000013300
poecilia_reticulata ENSPREG00000013634
gambusia_affinis ENSGAFG00000018729
xiphophorus_maculatus ENSXMAG00000029921
xiphophorus_couchianus ENSXCOG00000020542
cyprinodon_variegatus ENSCVAG00000010931
oryzias_latipes ENSORLG00020020808
oryzias_latipes ENSORLG00000023301
oryzias_latipes_asm223469v1 ENSORLG00015019420
oryzias_melastigma ENSOMEG00000002584
amphiprion_percula ENSAPEG00000007419
astatotilapia_calliptera ENSACLG00000025870
maylandia_zebra ENSMZEG00005018072
amphilophus_citrinellus ENSACIG00000019656
mola_mola ENSMMOG00000004530
seriola_dumerili ENSSDUG00000008931
anabas_testudineus ENSATEG00000008044
mastacembelus_armatus ENSMAMG00000020896
scophthalmus_maximus ENSSMAG00000000801
esox_lucius ENSELUG00000000951
astyanax_mexicanus ENSAMXG00000039973
pygocentrus_nattereri ENSPNAG00000018495
pygocentrus_nattereri ENSPNAG00000022788
ictalurus_punctatus ENSIPUG00000018662
