mastacembelus_armatus ENSMAMG00000020944
monopterus_albus ENSMALG00000000475
anabas_testudineus ENSATEG00000002382
seriola_dumerili ENSSDUG00000018860
seriola_lalandi_dorsalis ENSSLDG00000018212
scophthalmus_maximus ENSSMAG00000000611
amphiprion_ocellaris ENSAOCG00000004902
amphiprion_percula ENSAPEG00000013526
acanthochromis_polyacanthus ENSAPOG00000022425
stegastes_partitus ENSSPAG00000017418
pundamilia_nyererei ENSPNYG00000014677
haplochromis_burtoni ENSHBUG00000000440
astatotilapia_calliptera ENSACLG00000004194
maylandia_zebra ENSMZEG00005013185
neolamprologus_brichardi ENSNBRG00000009376
oreochromis_niloticus ENSONIG00000005739
amphilophus_citrinellus ENSACIG00000002723
mola_mola ENSMMOG00000016247
gasterosteus_aculeatus ENSGACG00000015858
fundulus_heteroclitus ENSFHEG00000011368
cyprinodon_variegatus ENSCVAG00000009582
xiphophorus_maculatus ENSXMAG00000014232
xiphophorus_couchianus ENSXCOG00000011473
gambusia_affinis ENSGAFG00000017461
poecilia_latipinna ENSPLAG00000016329
poecilia_mexicana ENSPMEG00000022299
poecilia_formosa ENSPFOG00000001687
poecilia_reticulata ENSPREG00000001042
kryptolebias_marmoratus ENSKMAG00000008624
oryzias_latipes_asm223469v1 ENSORLG00015005432
oryzias_latipes ENSORLG00000008746
oryzias_latipes ENSORLG00020007789
oryzias_melastigma ENSOMEG00000002338
cynoglossus_semilaevis ENSCSEG00000018841
labrus_bergylta ENSLBEG00000024633
takifugu_rubripes ENSTRUG00000017935
tetraodon_nigroviridis ENSTNIG00000009316
periophthalmus_magnuspinnatus ENSPMGG00000002700
hippocampus_comes ENSHCOG00000004273
gadus_morhua ENSGMOG00000002753
esox_lucius ENSELUG00000011786
pygocentrus_nattereri ENSPNAG00000000967
astyanax_mexicanus ENSAMXG00000031569
ictalurus_punctatus ENSIPUG00000005197
danio_rerio ENSDARG00000036056
scleropages_formosus ENSSFOG00015011085
paramormyrops_kingsleyae ENSPKIG00000020774
lepisosteus_oculatus ENSLOCG00000006929
anser_brachyrhynchus ENSABRG00000001911
anas_platyrhynchos_platyrhynchos ENSAPLG00000008922
gallus_gallus ENSGALG00000035029
coturnix_japonica ENSCJPG00005018460
numida_meleagris ENSNMEG00000021728
meleagris_gallopavo ENSMGAG00000010151
cyanistes_caeruleus ENSCCEG00000005010
parus_major ENSPMJG00000008266
zonotrichia_albicollis ENSZALG00000000820
lonchura_striata_domestica ENSLSDG00000001268
taeniopygia_guttata ENSTGUG00000003328
serinus_canaria ENSSCAG00000013220
junco_hyemalis ENSJHYG00000017942
ficedula_albicollis ENSFALG00000004776
lepidothrix_coronata ENSLCOG00000007458
manacus_vitellinus ENSMVIG00005009344
melopsittacus_undulatus ENSMUNG00000004902
calidris_pygmaea ENSCPGG00000017662
calidris_pugnax ENSCPUG00000010939
apteryx_haastii ENSAHAG00000011049
nothoprocta_perdicaria ENSNPEG00000000932
crocodylus_porosus ENSCPRG00005000919
gopherus_agassizii ENSGAGG00000006226
chelonoidis_abingdonii ENSCABG00000011426
chrysemys_picta_bellii ENSCPBG00000000679
pelodiscus_sinensis ENSPSIG00000011784
anolis_carolinensis ENSACAG00000015284
pogona_vitticeps ENSPVIG00000008007
notechis_scutatus ENSNSUG00000000426
salvator_merianae ENSSMRG00000016624
sphenodon_punctatus ENSSPUG00000002501
choloepus_hoffmanni ENSCHOG00000003091
dasypus_novemcinctus ENSDNOG00000033706
loxodonta_africana ENSLAFG00000001146
procavia_capensis ENSPCAG00000000415
echinops_telfairi ENSETEG00000019073
pteropus_vampyrus ENSPVAG00000016914
myotis_lucifugus ENSMLUG00000012631
equus_caballus ENSECAG00000020568
equus_asinus_asinus ENSEASG00005008283
bos_taurus ENSBTAG00000005367
bos_mutus ENSBMUG00000005187
bison_bison_bison ENSBBBG00000009862
ovis_aries ENSOARG00000013708
capra_hircus ENSCHIG00000017552
sus_scrofa ENSSSCG00000003204
tursiops_truncatus ENSTTRG00000001127
vicugna_pacos ENSVPAG00000008237
ursus_maritimus ENSUMAG00000007311
ursus_americanus ENSUAMG00000028166
ailuropoda_melanoleuca ENSAMEG00000013521
neovison_vison ENSNVIG00000015072
mustela_putorius_furo ENSMPUG00000002289
canis_lupus_dingo ENSCAFG00020022253
canis_lupus_familiaris ENSCAFG00000003420
vulpes_vulpes ENSVVUG00000020352
panthera_tigris_altaica ENSPTIG00000021041
panthera_pardus ENSPPRG00000015169
felis_catus ENSFCAG00000007968
erinaceus_europaeus ENSEEUG00000001832
castor_canadensis ENSCCNG00000029633
dipodomys_ordii ENSDORG00000002810
mus_spicilegus ENSMSIG00000029505
mus_spicilegus ENSMSIG00000029531
mus_musculus ENSMUSG00000002205
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030772
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029674
mus_pahari MGP_PahariEiJ_G0012899
rattus_norvegicus ENSRNOG00000026517
