caenorhabditis_elegans_strain_n2 WBGene00017742
drosophila_melanogaster FBgn0029905
anser_brachyrhynchus ENSABRG00000020515
anas_platyrhynchos_platyrhynchos ENSAPLG00000002519
coturnix_japonica ENSCJPG00005017275
gallus_gallus ENSGALG00000003189
meleagris_gallopavo ENSMGAG00000001064
numida_meleagris ENSNMEG00000007055
lepidothrix_coronata ENSLCOG00000009170
manacus_vitellinus ENSMVIG00005012088
parus_major ENSPMJG00000006280
cyanistes_caeruleus ENSCCEG00000018762
junco_hyemalis ENSJHYG00000006609
taeniopygia_guttata ENSTGUG00000017336
ficedula_albicollis ENSFALG00000000660
calidris_pygmaea ENSCPGG00000014755
calidris_pugnax ENSCPUG00000018383
apteryx_owenii ENSAOWG00000009410
apteryx_haastii ENSAHAG00000017937
apteryx_rowi ENSARWG00000009526
dromaius_novaehollandiae ENSDNVG00000012719
nothoprocta_perdicaria ENSNPEG00000008571
chelonoidis_abingdonii ENSCABG00000008660
gopherus_agassizii ENSGAGG00000012444
chrysemys_picta_bellii ENSCPBG00000018957
pelodiscus_sinensis ENSPSIG00000010059
crocodylus_porosus ENSCPRG00005001412
sphenodon_punctatus ENSSPUG00000016450
pan_paniscus ENSPPAG00000032067
pan_troglodytes ENSPTRG00000000596
gorilla_gorilla ENSGGOG00000007360
homo_sapiens ENSG00000066136
pongo_abelii ENSPPYG00000001483
nomascus_leucogenys ENSNLEG00000012195
mandrillus_leucophaeus ENSMLEG00000038570
papio_anubis ENSPANG00000026473
theropithecus_gelada ENSTGEG00000024302
cercocebus_atys ENSCATG00000032882
macaca_fascicularis ENSMFAG00000033858
macaca_mulatta ENSMMUG00000014970
macaca_nemestrina ENSMNEG00000027645
chlorocebus_sabaeus ENSCSAG00000001152
rhinopithecus_bieti ENSRBIG00000042960
rhinopithecus_roxellana ENSRROG00000044562
colobus_angolensis_palliatus ENSCANG00000039002
piliocolobus_tephrosceles ENSPTEG00000030180
pan_paniscus ENSPPAG00000006348
gorilla_gorilla ENSGGOG00000043464
pan_troglodytes ENSPTRG00000044565
macaca_nemestrina ENSMNEG00000043846
macaca_fascicularis ENSMFAG00000002862
macaca_mulatta ENSMMUG00000048253
cercocebus_atys ENSCATG00000042393
papio_anubis ENSPANG00000029724
saimiri_boliviensis_boliviensis ENSSBOG00000023269
cebus_capucinus ENSCCAG00000023851
callithrix_jacchus ENSCJAG00000002987
aotus_nancymaae ENSANAG00000020951
carlito_syrichta ENSTSYG00000013921
propithecus_coquereli ENSPCOG00000021083
microcebus_murinus ENSMICG00000004285
prolemur_simus ENSPSMG00000016618
tupaia_belangeri ENSTBEG00000000366
oryctolagus_cuniculus ENSOCUG00000025540
ochotona_princeps ENSOPRG00000013034
otolemur_garnettii ENSOGAG00000012614
dasypus_novemcinctus ENSDNOG00000045603
loxodonta_africana ENSLAFG00000001223
procavia_capensis ENSPCAG00000007726
pteropus_vampyrus ENSPVAG00000010529
myotis_lucifugus ENSMLUG00000007242
tursiops_truncatus ENSTTRG00000010558
erinaceus_europaeus ENSEEUG00000015341
sorex_araneus ENSSARG00000014193
equus_asinus_asinus ENSEASG00005001046
equus_caballus ENSECAG00000000678
bos_taurus ENSBTAG00000021943
bos_mutus ENSBMUG00000025058
bison_bison_bison ENSBBBG00000007388
capra_hircus ENSCHIG00000021122
ovis_aries ENSOARG00000020294
mustela_putorius_furo ENSMPUG00000014111
neovison_vison ENSNVIG00000015556
ursus_americanus ENSUAMG00000004728
ailuropoda_melanoleuca ENSAMEG00000011899
canis_lupus_familiaris ENSCAFG00000002827
canis_lupus_dingo ENSCAFG00020003362
panthera_pardus ENSPPRG00000024994
panthera_tigris_altaica ENSPTIG00000018001
vulpes_vulpes ENSVVUG00000005043
ursus_maritimus ENSUMAG00000000987
felis_catus ENSFCAG00000002915
sus_scrofa ENSSSCG00000003976
echinops_telfairi ENSETEG00000018666
vicugna_pacos ENSVPAG00000003034
choloepus_hoffmanni ENSCHOG00000013909
mus_spicilegus ENSMSIG00000010169
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027392
mus_musculus ENSMUSG00000032897
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026415
mus_pahari MGP_PahariEiJ_G0028744
rattus_norvegicus ENSRNOG00000010735
meriones_unguiculatus ENSMUGG00000007200
cricetulus_griseus_chok1gshd ENSCGRG00001012554
cricetulus_griseus_crigri-picr ENSCGRG00015003396
cricetulus_griseus_crigri ENSCGRG00000005256
mesocricetus_auratus ENSMAUG00000018833
peromyscus_maniculatus_bairdii ENSPEMG00000008178
microtus_ochrogaster ENSMOCG00000018240
nannospalax_galili ENSNGAG00000016750
nannospalax_galili ENSNGAG00000019910
jaculus_jaculus ENSJJAG00000019128
castor_canadensis ENSCCNG00000019294
dipodomys_ordii ENSDORG00000009863
ictidomys_tridecemlineatus ENSSTOG00000001900
marmota_marmota_marmota ENSMMMG00000002381
spermophilus_dauricus ENSSDAG00000004261
urocitellus_parryii ENSUPAG00010013678
chinchilla_lanigera ENSCLAG00000002100
octodon_degus ENSODEG00000002120
cavia_aperea ENSCAPG00000005333
cavia_porcellus ENSCPOG00000004966
heterocephalus_glaber_male ENSHGLG00100013040
heterocephalus_glaber_female ENSHGLG00000003915
fukomys_damarensis ENSFDAG00000005809
phascolarctos_cinereus ENSPCIG00000020649
notamacropus_eugenii ENSMEUG00000004480
sarcophilus_harrisii ENSSHAG00000009190
monodelphis_domestica ENSMODG00000017585
ornithorhynchus_anatinus ENSOANG00000012367
anolis_carolinensis ENSACAG00000012591
anolis_carolinensis ENSACAG00000002660
pogona_vitticeps ENSPVIG00000007953
notechis_scutatus ENSNSUG00000011858
salvator_merianae ENSSMRG00000011832
gasterosteus_aculeatus ENSGACG00000004846
labrus_bergylta ENSLBEG00000001936
mola_mola ENSMMOG00000019380
mastacembelus_armatus ENSMAMG00000012295
monopterus_albus ENSMALG00000015363
anabas_testudineus ENSATEG00000015095
seriola_lalandi_dorsalis ENSSLDG00000010606
seriola_dumerili ENSSDUG00000009492
scophthalmus_maximus ENSSMAG00000009905
tetraodon_nigroviridis ENSTNIG00000016968
takifugu_rubripes ENSTRUG00000014244
cynoglossus_semilaevis ENSCSEG00000017202
poecilia_formosa ENSPFOG00000009785
poecilia_latipinna ENSPLAG00000003840
poecilia_mexicana ENSPMEG00000005715
poecilia_reticulata ENSPREG00000005805
xiphophorus_maculatus ENSXMAG00000003179
xiphophorus_couchianus ENSXCOG00000020130
gambusia_affinis ENSGAFG00000015432
fundulus_heteroclitus ENSFHEG00000014493
cyprinodon_variegatus ENSCVAG00000007788
kryptolebias_marmoratus ENSKMAG00000004636
oryzias_latipes_asm223469v1 ENSORLG00015012485
oryzias_latipes ENSORLG00020020669
oryzias_latipes ENSORLG00000012000
oryzias_melastigma ENSOMEG00000010270
maylandia_zebra ENSMZEG00005005451
astatotilapia_calliptera ENSACLG00000018486
pundamilia_nyererei ENSPNYG00000010254
haplochromis_burtoni ENSHBUG00000004235
neolamprologus_brichardi ENSNBRG00000011317
oreochromis_niloticus ENSONIG00000002373
amphilophus_citrinellus ENSACIG00000019950
amphiprion_percula ENSAPEG00000013755
amphiprion_ocellaris ENSAOCG00000003630
acanthochromis_polyacanthus ENSAPOG00000017567
acanthochromis_polyacanthus ENSAPOG00000012977
acanthochromis_polyacanthus ENSAPOG00000020994
stegastes_partitus ENSSPAG00000000753
periophthalmus_magnuspinnatus ENSPMGG00000001934
hippocampus_comes ENSHCOG00000013215
gadus_morhua ENSGMOG00000000118
pygocentrus_nattereri ENSPNAG00000028476
astyanax_mexicanus ENSAMXG00000020470
ictalurus_punctatus ENSIPUG00000021342
danio_rerio ENSDARG00000070151
paramormyrops_kingsleyae ENSPKIG00000023464
esox_lucius ENSELUG00000006791
scleropages_formosus ENSSFOG00015008658
lepisosteus_oculatus ENSLOCG00000001376
xenopus_tropicalis ENSXETG00000025363
melopsittacus_undulatus ENSMUNG00000007386
serinus_canaria ENSSCAG00000015681
latimeria_chalumnae ENSLACG00000014668
eptatretus_burgeri ENSEBUG00000000711
zonotrichia_albicollis ENSZALG00000009242
ciona_intestinalis ENSCING00000007727
saccharomyces_cerevisiae YOR358W
