oryzias_melastigma ENSOMEG00000000064
gambusia_affinis ENSGAFG00000001150
scophthalmus_maximus ENSSMAG00000018675
poecilia_reticulata ENSPREG00000005503
xiphophorus_couchianus ENSXCOG00000013254
oryzias_latipes ENSORLG00020015213
maylandia_zebra ENSMZEG00005001842
astatotilapia_calliptera ENSACLG00000012418
maylandia_zebra ENSMZEG00005001860
pundamilia_nyererei ENSPNYG00000002596
astatotilapia_calliptera ENSACLG00000012260
maylandia_zebra ENSMZEG00005001852
astatotilapia_calliptera ENSACLG00000012266
neolamprologus_brichardi ENSNBRG00000006465
amphilophus_citrinellus ENSACIG00000012833
amphiprion_percula ENSAPEG00000013711
amphiprion_percula ENSAPEG00000013687
acanthochromis_polyacanthus ENSAPOG00000017068
mola_mola ENSMMOG00000003720
seriola_dumerili ENSSDUG00000023770
monopterus_albus ENSMALG00000015346
scleropages_formosus ENSSFOG00015003674
