chrysemys_picta_bellii ENSCPBG00000022180
chelonoidis_abingdonii ENSCABG00000000173
pogona_vitticeps ENSPVIG00000015408
anolis_carolinensis ENSACAG00000016974
notechis_scutatus ENSNSUG00000004186
salvator_merianae ENSSMRG00000003969
numida_meleagris ENSNMEG00000002756
gallus_gallus ENSGALG00000053583
coturnix_japonica ENSCJPG00005004969
notamacropus_eugenii ENSMEUG00000011084
phascolarctos_cinereus ENSPCIG00000013079
sarcophilus_harrisii ENSSHAG00000005963
capra_hircus ENSCHIG00000009854
ovis_aries ENSOARG00000001469
bison_bison_bison ENSBBBG00000021223
bos_mutus ENSBMUG00000006757
tursiops_truncatus ENSTTRG00000000574
sus_scrofa ENSSSCG00000035829
equus_asinus_asinus ENSEASG00005020797
equus_caballus ENSECAG00000013820
canis_lupus_dingo ENSCAFG00020015504
canis_lupus_familiaris ENSCAFG00000002594
vulpes_vulpes ENSVVUG00000007162
mustela_putorius_furo ENSMPUG00000007564
ailuropoda_melanoleuca ENSAMEG00000003722
ursus_americanus ENSUAMG00000017643
felis_catus ENSFCAG00000029015
panthera_pardus ENSPPRG00000012356
pteropus_vampyrus ENSPVAG00000007305
neovison_vison ENSNVIG00000012195
bos_taurus ENSBTAG00000014087
pan_troglodytes ENSPTRG00000011498
pan_paniscus ENSPPAG00000043573
homo_sapiens ENSG00000133247
gorilla_gorilla ENSGGOG00000005847
pongo_abelii ENSPPYG00000010412
nomascus_leucogenys ENSNLEG00000010479
papio_anubis ENSPANG00000010090
theropithecus_gelada ENSTGEG00000012544
mandrillus_leucophaeus ENSMLEG00000043572
cercocebus_atys ENSCATG00000039909
macaca_nemestrina ENSMNEG00000002570
macaca_fascicularis ENSMFAG00000040317
chlorocebus_sabaeus ENSCSAG00000001744
rhinopithecus_bieti ENSRBIG00000036676
rhinopithecus_roxellana ENSRROG00000040048
colobus_angolensis_palliatus ENSCANG00000039919
piliocolobus_tephrosceles ENSPTEG00000039709
saimiri_boliviensis_boliviensis ENSSBOG00000029609
callithrix_jacchus ENSCJAG00000000843
cebus_capucinus ENSCCAG00000024702
aotus_nancymaae ENSANAG00000023018
carlito_syrichta ENSTSYG00000034961
prolemur_simus ENSPSMG00000007640
propithecus_coquereli ENSPCOG00000015129
microcebus_murinus ENSMICG00000044871
otolemur_garnettii ENSOGAG00000003914
chinchilla_lanigera ENSCLAG00000000904
octodon_degus ENSODEG00000010521
cavia_aperea ENSCAPG00000008646
cavia_porcellus ENSCPOG00000009102
heterocephalus_glaber_female ENSHGLG00000014771
heterocephalus_glaber_male ENSHGLG00100005412
fukomys_damarensis ENSFDAG00000021518
urocitellus_parryii ENSUPAG00010002223
ictidomys_tridecemlineatus ENSSTOG00000000678
marmota_marmota_marmota ENSMMMG00000001728
spermophilus_dauricus ENSSDAG00000007607
castor_canadensis ENSCCNG00000021993
dipodomys_ordii ENSDORG00000027615
cricetulus_griseus_chok1gshd ENSCGRG00001006665
cricetulus_griseus_crigri-picr ENSCGRG00015027455
cricetulus_griseus_crigri ENSCGRG00000003322
mesocricetus_auratus ENSMAUG00000017071
peromyscus_maniculatus_bairdii ENSPEMG00000023982
microtus_ochrogaster ENSMOCG00000013978
mus_musculus ENSMUSG00000059851
mus_spicilegus ENSMSIG00000002231
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030177
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029124
mus_pahari MGP_PahariEiJ_G0020993
rattus_norvegicus ENSRNOG00000017508
meriones_unguiculatus ENSMUGG00000016882
nannospalax_galili ENSNGAG00000002716
jaculus_jaculus ENSJJAG00000000222
procavia_capensis ENSPCAG00000012517
loxodonta_africana ENSLAFG00000029208
dasypus_novemcinctus ENSDNOG00000046058
echinops_telfairi ENSETEG00000014686
ornithorhynchus_anatinus ENSOANG00000004068
xenopus_tropicalis ENSXETG00000031687
latimeria_chalumnae ENSLACG00000009701
gasterosteus_aculeatus ENSGACG00000013526
labrus_bergylta ENSLBEG00000003730
tetraodon_nigroviridis ENSTNIG00000014916
mastacembelus_armatus ENSMAMG00000009342
mastacembelus_armatus ENSMAMG00000009382
periophthalmus_magnuspinnatus ENSPMGG00000000551
cyprinodon_variegatus ENSCVAG00000016186
fundulus_heteroclitus ENSFHEG00000005454
