cynoglossus_semilaevis ENSCSEG00000016790
periophthalmus_magnuspinnatus ENSPMGG00000010719
takifugu_rubripes ENSTRUG00000020119
scophthalmus_maximus ENSSMAG00000002759
mola_mola ENSMMOG00000009432
xiphophorus_maculatus ENSXMAG00000020021
xiphophorus_couchianus ENSXCOG00000003048
gambusia_affinis ENSGAFG00000010031
poecilia_formosa ENSPFOG00000019953
poecilia_latipinna ENSPLAG00000004947
poecilia_mexicana ENSPMEG00000012741
poecilia_reticulata ENSPREG00000013943
cyprinodon_variegatus ENSCVAG00000021874
fundulus_heteroclitus ENSFHEG00000019556
kryptolebias_marmoratus ENSKMAG00000009797
oryzias_latipes ENSORLG00000028358
oryzias_latipes ENSORLG00015006103
oryzias_latipes ENSORLG00020018519
oryzias_melastigma ENSOMEG00000003115
amphiprion_ocellaris ENSAOCG00000006948
amphiprion_percula ENSAPEG00000012876
amphiprion_ocellaris ENSAOCG00000020992
acanthochromis_polyacanthus ENSAPOG00000010383
stegastes_partitus ENSSPAG00000004867
astatotilapia_calliptera ENSACLG00000014341
maylandia_zebra ENSMZEG00005018627
haplochromis_burtoni ENSHBUG00000021735
pundamilia_nyererei ENSPNYG00000008044
neolamprologus_brichardi ENSNBRG00000004824
oreochromis_niloticus ENSONIG00000020400
amphilophus_citrinellus ENSACIG00000018793
parambassis_ranga ENSPRNG00000004896
larimichthys_crocea ENSLCRG00005011119
labrus_bergylta ENSLBEG00000018492
cottoperca_gobio ENSCGOG00000012730
anabas_testudineus ENSATEG00000019362
betta_splendens ENSBSLG00000010016
monopterus_albus ENSMALG00000012307
seriola_dumerili ENSSDUG00000005179
seriola_lalandi ENSSLDG00000011179
hippocampus_comes ENSHCOG00000018853
gadus_morhua ENSGMOG00000020499
hucho_hucho ENSHHUG00000020744
esox_lucius ENSELUG00000023445
pygocentrus_nattereri ENSPNAG00000014250
astyanax_mexicanus ENSAMXG00000041226
electrophorus_electricus ENSEEEG00000009623
danio_rerio ENSDARG00000078257
paramormyrops_kingsleyae ENSPKIG00000019519
scleropages_formosus ENSSFOG00015020507
lepisosteus_oculatus ENSLOCG00000017551
