amphiprion_ocellaris ENSAOCG00000007452
stegastes_partitus ENSSPAG00000014451
poecilia_reticulata ENSPREG00000019497
cyprinodon_variegatus ENSCVAG00000003557
fundulus_heteroclitus ENSFHEG00000013984
pundamilia_nyererei ENSPNYG00000015204
neolamprologus_brichardi ENSNBRG00000016018
amphilophus_citrinellus ENSACIG00000020209
mola_mola ENSMMOG00000000556
cynoglossus_semilaevis ENSCSEG00000003896
mastacembelus_armatus ENSMAMG00000010492
takifugu_rubripes ENSTRUG00000021945
periophthalmus_magnuspinnatus ENSPMGG00000008076
