meleagris_gallopavo ENSMGAG00000015778
coturnix_japonica ENSCJPG00005013520
gallus_gallus ENSGALG00000032320
numida_meleagris ENSNMEG00000004868
anas_platyrhynchos_platyrhynchos ENSAPLG00000001178
calidris_pugnax ENSCPUG00000015006
calidris_pygmaea ENSCPGG00000002011
lepidothrix_coronata ENSLCOG00000001259
manacus_vitellinus ENSMVIG00005017379
taeniopygia_guttata ENSTGUG00000007814
lonchura_striata_domestica ENSLSDG00000011386
serinus_canaria ENSSCAG00000010080
parus_major ENSPMJG00000005099
cyanistes_caeruleus ENSCCEG00000016614
zonotrichia_albicollis ENSZALG00000004727
ficedula_albicollis ENSFALG00000015296
apteryx_haastii ENSAHAG00000012519
apteryx_owenii ENSAOWG00000008329
apteryx_rowi ENSARWG00000006645
dromaius_novaehollandiae ENSDNVG00000002959
nothoprocta_perdicaria ENSNPEG00000007931
crocodylus_porosus ENSCPRG00005015134
chelonoidis_abingdonii ENSCABG00000015498
gopherus_agassizii ENSGAGG00000015760
chrysemys_picta_bellii ENSCPBG00000024130
pelodiscus_sinensis ENSPSIG00000008136
pogona_vitticeps ENSPVIG00000022228
anolis_carolinensis ENSACAG00000015264
notechis_scutatus ENSNSUG00000016479
salvator_merianae ENSSMRG00000014130
