phascolarctos_cinereus ENSPCIG00000034646
notamacropus_eugenii ENSMEUG00000003955
monodelphis_domestica ENSMODG00000001292
sarcophilus_harrisii ENSSHAG00000017051
oryctolagus_cuniculus ENSOCUG00000008310
ochotona_princeps ENSOPRG00000003631
heterocephalus_glaber_female ENSHGLG00000018500
heterocephalus_glaber_male ENSHGLG00100012416
fukomys_damarensis ENSFDAG00000018524
chinchilla_lanigera ENSCLAG00000009472
octodon_degus ENSODEG00000012882
cavia_porcellus ENSCPOG00000033730
cavia_aperea ENSCAPG00000006356
echinops_telfairi ENSETEG00000018600
urocitellus_parryii ENSUPAG00010001428
ictidomys_tridecemlineatus ENSSTOG00000023341
marmota_marmota_marmota ENSMMMG00000016936
dipodomys_ordii ENSDORG00000025070
cricetulus_griseus_crigri ENSCGRG00000007022
cricetulus_griseus_chok1gshd ENSCGRG00001016875
cricetulus_griseus_crigri-picr ENSCGRG00015011371
mesocricetus_auratus ENSMAUG00000000361
peromyscus_maniculatus_bairdii ENSPEMG00000026474
microtus_ochrogaster ENSMOCG00000005477
mus_musculus ENSMUSG00000020044
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016511
mus_spicilegus ENSMSIG00000027441
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015693
mus_pahari MGP_PahariEiJ_G0031393
rattus_norvegicus ENSRNOG00000004303
meriones_unguiculatus ENSMUGG00000021721
nannospalax_galili ENSNGAG00000001289
jaculus_jaculus ENSJJAG00000000976
rhinopithecus_roxellana ENSRROG00000031768
rhinopithecus_bieti ENSRBIG00000028287
piliocolobus_tephrosceles ENSPTEG00000023342
colobus_angolensis_palliatus ENSCANG00000034188
macaca_mulatta ENSMMUG00000006734
macaca_nemestrina ENSMNEG00000023364
macaca_fascicularis ENSMFAG00000030203
mandrillus_leucophaeus ENSMLEG00000024244
theropithecus_gelada ENSTGEG00000015943
cercocebus_atys ENSCATG00000042645
chlorocebus_sabaeus ENSCSAG00000008241
papio_anubis ENSPANG00000026318
pan_troglodytes ENSPTRG00000014292
pan_troglodytes ENSPTRG00000046424
pan_paniscus ENSPPAG00000035712
gorilla_gorilla ENSGGOG00000013242
homo_sapiens ENSG00000100234
pongo_abelii ENSPPYG00000011757
nomascus_leucogenys ENSNLEG00000004812
cebus_capucinus ENSCCAG00000027812
callithrix_jacchus ENSCJAG00000044183
saimiri_boliviensis_boliviensis ENSSBOG00000020035
aotus_nancymaae ENSANAG00000023639
carlito_syrichta ENSTSYG00000032506
prolemur_simus ENSPSMG00000010071
microcebus_murinus ENSMICG00000045156
propithecus_coquereli ENSPCOG00000019275
otolemur_garnettii ENSOGAG00000013278
spermophilus_dauricus ENSSDAG00000019586
castor_canadensis ENSCCNG00000023023
myotis_lucifugus ENSMLUG00000027724
tursiops_truncatus ENSTTRG00000006424
sus_scrofa ENSSSCG00000031866
capra_hircus ENSCHIG00000022544
ovis_aries ENSOARG00000018210
bos_taurus ENSBTAG00000020638
