amphiprion_ocellaris ENSAOCG00000007328
amphiprion_percula ENSAPEG00000024149
acanthochromis_polyacanthus ENSAPOG00000001562
stegastes_partitus ENSSPAG00000010348
astatotilapia_calliptera ENSACLG00000024849
astatotilapia_calliptera ENSACLG00000024841
astatotilapia_calliptera ENSACLG00000024935
maylandia_zebra ENSMZEG00005007577
maylandia_zebra ENSMZEG00005007573
maylandia_zebra ENSMZEG00005007592
pundamilia_nyererei ENSPNYG00000022640
haplochromis_burtoni ENSHBUG00000007568
neolamprologus_brichardi ENSNBRG00000002177
neolamprologus_brichardi ENSNBRG00000002128
neolamprologus_brichardi ENSNBRG00000002146
oreochromis_niloticus ENSONIG00000002151
amphilophus_citrinellus ENSACIG00000013758
poecilia_mexicana ENSPMEG00000012603
poecilia_latipinna ENSPLAG00000016380
poecilia_formosa ENSPFOG00000018450
poecilia_reticulata ENSPREG00000010947
xiphophorus_maculatus ENSXMAG00000018250
gambusia_affinis ENSGAFG00000016697
cyprinodon_variegatus ENSCVAG00000002116
kryptolebias_marmoratus ENSKMAG00000000999
oryzias_latipes ENSORLG00000016714
oryzias_latipes ENSORLG00020016336
oryzias_latipes_asm223469v1 ENSORLG00015011930
oryzias_melastigma ENSOMEG00000007339
labrus_bergylta ENSLBEG00000018625
labrus_bergylta ENSLBEG00000018636
cynoglossus_semilaevis ENSCSEG00000000240
cynoglossus_semilaevis ENSCSEG00000000241
seriola_dumerili ENSSDUG00000008020
seriola_lalandi_dorsalis ENSSLDG00000016206
scophthalmus_maximus ENSSMAG00000008136
xiphophorus_maculatus ENSXMAG00000026904
poecilia_reticulata ENSPREG00000010922
gambusia_affinis ENSGAFG00000016702
fundulus_heteroclitus ENSFHEG00000022710
oryzias_latipes ENSORLG00020016375
pundamilia_nyererei ENSPNYG00000022644
scophthalmus_maximus ENSSMAG00000008127
mastacembelus_armatus ENSMAMG00000002087
monopterus_albus ENSMALG00000019225
anabas_testudineus ENSATEG00000004039
hippocampus_comes ENSHCOG00000019184
periophthalmus_magnuspinnatus ENSPMGG00000015920
takifugu_rubripes ENSTRUG00000007568
tetraodon_nigroviridis ENSTNIG00000003210
mola_mola ENSMMOG00000020485
gasterosteus_aculeatus ENSGACG00000011682
gadus_morhua ENSGMOG00000018009
esox_lucius ENSELUG00000011628
astyanax_mexicanus ENSAMXG00000010336
pygocentrus_nattereri ENSPNAG00000008180
pygocentrus_nattereri ENSPNAG00000000735
ictalurus_punctatus ENSIPUG00000023967
danio_rerio ENSDARG00000020354
paramormyrops_kingsleyae ENSPKIG00000007458
scleropages_formosus ENSSFOG00015005589
