anabas_testudineus ENSATEG00000010342
mastacembelus_armatus ENSMAMG00000016318
monopterus_albus ENSMALG00000019633
gasterosteus_aculeatus ENSGACG00000004235
takifugu_rubripes ENSTRUG00000023472
fundulus_heteroclitus ENSFHEG00000010608
cyprinodon_variegatus ENSCVAG00000018621
poecilia_formosa ENSPFOG00000023475
xiphophorus_maculatus ENSXMAG00000023896
gambusia_affinis ENSGAFG00000006331
oryzias_latipes_asm223469v1 ENSORLG00015009441
oryzias_latipes ENSORLG00000028118
astatotilapia_calliptera ENSACLG00000010399
haplochromis_burtoni ENSHBUG00000021381
pundamilia_nyererei ENSPNYG00000009742
maylandia_zebra ENSMZEG00005026609
neolamprologus_brichardi ENSNBRG00000015538
amphilophus_citrinellus ENSACIG00000002899
seriola_dumerili ENSSDUG00000014755
kryptolebias_marmoratus ENSKMAG00000010624
labrus_bergylta ENSLBEG00000025741
scophthalmus_maximus ENSSMAG00000004123
amphiprion_ocellaris ENSAOCG00000014181
acanthochromis_polyacanthus ENSAPOG00000001641
stegastes_partitus ENSSPAG00000019604
