colobus_angolensis_palliatus ENSCANG00000038109
rhinopithecus_roxellana ENSRROG00000026980
macaca_nemestrina ENSMNEG00000016072
macaca_nemestrina ENSMNEG00000039336
macaca_fascicularis ENSMFAG00000026957
papio_anubis ENSPANG00000034133
mandrillus_leucophaeus ENSMLEG00000025020
gorilla_gorilla ENSGGOG00000039039
pan_troglodytes ENSPTRG00000048493
pan_paniscus ENSPPAG00000031990
pan_troglodytes ENSPTRG00000046356
gorilla_gorilla ENSGGOG00000037675
pan_paniscus ENSPPAG00000032043
pan_troglodytes ENSPTRG00000042894
gorilla_gorilla ENSGGOG00000042865
pan_troglodytes ENSPTRG00000052507
pan_paniscus ENSPPAG00000032244
pan_paniscus ENSPPAG00000031878
pan_paniscus ENSPPAG00000032297
pan_troglodytes ENSPTRG00000049060
gorilla_gorilla ENSGGOG00000036701
pan_paniscus ENSPPAG00000031886
pan_troglodytes ENSPTRG00000052287
nomascus_leucogenys ENSNLEG00000034388
nomascus_leucogenys ENSNLEG00000032118
microcebus_murinus ENSMICG00000042378
urocitellus_parryii ENSUPAG00010018686
