calidris_pugnax ENSCPUG00000019775
calidris_pygmaea ENSCPGG00000016359
manacus_vitellinus ENSMVIG00005014322
lepidothrix_coronata ENSLCOG00000009407
lonchura_striata_domestica ENSLSDG00000008866
taeniopygia_guttata ENSTGUG00000007512
serinus_canaria ENSSCAG00000010744
junco_hyemalis ENSJHYG00000000427
parus_major ENSPMJG00000019820
cyanistes_caeruleus ENSCCEG00000014385
ficedula_albicollis ENSFALG00000005587
melopsittacus_undulatus ENSMUNG00000007455
meleagris_gallopavo ENSMGAG00000007238
coturnix_japonica ENSCJPG00005017271
gallus_gallus ENSGALG00000005126
numida_meleagris ENSNMEG00000004022
anser_brachyrhynchus ENSABRG00000007210
anas_platyrhynchos_platyrhynchos ENSAPLG00000013368
apteryx_haastii ENSAHAG00000006485
apteryx_owenii ENSAOWG00000015995
apteryx_rowi ENSARWG00000015675
dromaius_novaehollandiae ENSDNVG00000003994
nothoprocta_perdicaria ENSNPEG00000010676
crocodylus_porosus ENSCPRG00005012036
gopherus_agassizii ENSGAGG00000024012
chelonoidis_abingdonii ENSCABG00000008273
chrysemys_picta_bellii ENSCPBG00000006085
pelodiscus_sinensis ENSPSIG00000010463
pogona_vitticeps ENSPVIG00000019901
anolis_carolinensis ENSACAG00000012418
salvator_merianae ENSSMRG00000015016
sphenodon_punctatus ENSSPUG00000016309
phascolarctos_cinereus ENSPCIG00000021874
notamacropus_eugenii ENSMEUG00000002887
sarcophilus_harrisii ENSSHAG00000016859
monodelphis_domestica ENSMODG00000014468
piliocolobus_tephrosceles ENSPTEG00000038491
colobus_angolensis_palliatus ENSCANG00000038492
cercocebus_atys ENSCATG00000030038
macaca_nemestrina ENSMNEG00000043921
macaca_fascicularis ENSMFAG00000041526
papio_anubis ENSPANG00000022266
theropithecus_gelada ENSTGEG00000021305
mandrillus_leucophaeus ENSMLEG00000043033
chlorocebus_sabaeus ENSCSAG00000005860
gorilla_gorilla ENSGGOG00000042982
pan_paniscus ENSPPAG00000032782
homo_sapiens ENSG00000108406
pongo_abelii ENSPPYG00000008812
cebus_capucinus ENSCCAG00000028712
saimiri_boliviensis_boliviensis ENSSBOG00000024911
callithrix_jacchus ENSCJAG00000001554
aotus_nancymaae ENSANAG00000019888
carlito_syrichta ENSTSYG00000034797
microcebus_murinus ENSMICG00000027647
propithecus_coquereli ENSPCOG00000008219
prolemur_simus ENSPSMG00000013562
otolemur_garnettii ENSOGAG00000007790
tupaia_belangeri ENSTBEG00000014980
castor_canadensis ENSCCNG00000014023
dipodomys_ordii ENSDORG00000006521
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017766
mus_spicilegus ENSMSIG00000009543
mus_musculus ENSMUSG00000018425
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016920
mus_pahari MGP_PahariEiJ_G0018050
rattus_norvegicus ENSRNOG00000004549
meriones_unguiculatus ENSMUGG00000004291
peromyscus_maniculatus_bairdii ENSPEMG00000013338
microtus_ochrogaster ENSMOCG00000022697
cricetulus_griseus_chok1gshd ENSCGRG00001000389
cricetulus_griseus_crigri-picr ENSCGRG00015007639
cricetulus_griseus_crigri ENSCGRG00000009491
mesocricetus_auratus ENSMAUG00000014047
nannospalax_galili ENSNGAG00000014507
jaculus_jaculus ENSJJAG00000010433
chinchilla_lanigera ENSCLAG00000012016
octodon_degus ENSODEG00000013635
cavia_porcellus ENSCPOG00000003432
cavia_aperea ENSCAPG00000016034
heterocephalus_glaber_female ENSHGLG00000006600
heterocephalus_glaber_male ENSHGLG00100009935
heterocephalus_glaber_female ENSHGLG00000006411
heterocephalus_glaber_male ENSHGLG00100009091
fukomys_damarensis ENSFDAG00000017214
urocitellus_parryii ENSUPAG00010004699
ictidomys_tridecemlineatus ENSSTOG00000016219
spermophilus_dauricus ENSSDAG00000019934
marmota_marmota_marmota ENSMMMG00000020149
ochotona_princeps ENSOPRG00000003165
gorilla_gorilla ENSGGOG00000000426
pan_troglodytes ENSPTRG00000009471
echinops_telfairi ENSETEG00000018771
loxodonta_africana ENSLAFG00000000087
procavia_capensis ENSPCAG00000006468
choloepus_hoffmanni ENSCHOG00000004423
dasypus_novemcinctus ENSDNOG00000025497
ursus_americanus ENSUAMG00000009734
ursus_maritimus ENSUMAG00000022721
ailuropoda_melanoleuca ENSAMEG00000011567
mustela_putorius_furo ENSMPUG00000015213
neovison_vison ENSNVIG00000002198
canis_lupus_dingo ENSCAFG00020026016
canis_lupus_familiaris ENSCAFG00000017625
vulpes_vulpes ENSVVUG00000013502
panthera_pardus ENSPPRG00000010073
panthera_tigris_altaica ENSPTIG00000006557
felis_catus ENSFCAG00000001409
equus_caballus ENSECAG00000018606
equus_asinus_asinus ENSEASG00005002476
pteropus_vampyrus ENSPVAG00000001539
myotis_lucifugus ENSMLUG00000003644
bos_taurus ENSBTAG00000017868
bos_mutus ENSBMUG00000004576
bison_bison_bison ENSBBBG00000002446
capra_hircus ENSCHIG00000016173
ovis_aries ENSOARG00000012632
tursiops_truncatus ENSTTRG00000017203
vicugna_pacos ENSVPAG00000009355
sus_scrofa ENSSSCG00000017665
sorex_araneus ENSSARG00000009800
erinaceus_europaeus ENSEEUG00000002531
ornithorhynchus_anatinus ENSOANG00000008516
xenopus_tropicalis ENSXETG00000010939
latimeria_chalumnae ENSLACG00000008892
tetraodon_nigroviridis ENSTNIG00000004503
takifugu_rubripes ENSTRUG00000010369
cynoglossus_semilaevis ENSCSEG00000002696
kryptolebias_marmoratus ENSKMAG00000003505
seriola_lalandi_dorsalis ENSSLDG00000010146
seriola_dumerili ENSSDUG00000012511
scophthalmus_maximus ENSSMAG00000001178
monopterus_albus ENSMALG00000012529
mastacembelus_armatus ENSMAMG00000001985
xiphophorus_couchianus ENSXCOG00000001822
xiphophorus_maculatus ENSXMAG00000012466
gambusia_affinis ENSGAFG00000014480
poecilia_formosa ENSPFOG00000006579
poecilia_mexicana ENSPMEG00000008446
poecilia_latipinna ENSPLAG00000007062
poecilia_reticulata ENSPREG00000005584
