mola_mola ENSMMOG00000005533
takifugu_rubripes ENSTRUG00000020683
labrus_bergylta ENSLBEG00000027730
mastacembelus_armatus ENSMAMG00000008238
monopterus_albus ENSMALG00000014700
anabas_testudineus ENSATEG00000009313
scophthalmus_maximus ENSSMAG00000002725
cynoglossus_semilaevis ENSCSEG00000008350
seriola_dumerili ENSSDUG00000022361
seriola_lalandi_dorsalis ENSSLDG00000020254
haplochromis_burtoni ENSHBUG00000012021
astatotilapia_calliptera ENSACLG00000026425
maylandia_zebra ENSMZEG00005009871
pundamilia_nyererei ENSPNYG00000021112
oreochromis_niloticus ENSONIG00000019251
neolamprologus_brichardi ENSNBRG00000015659
amphilophus_citrinellus ENSACIG00000016570
xiphophorus_maculatus ENSXMAG00000010761
xiphophorus_couchianus ENSXCOG00000004530
gambusia_affinis ENSGAFG00000016669
poecilia_mexicana ENSPMEG00000013627
poecilia_formosa ENSPFOG00000016781
poecilia_latipinna ENSPLAG00000010662
poecilia_reticulata ENSPREG00000014134
fundulus_heteroclitus ENSFHEG00000010919
cyprinodon_variegatus ENSCVAG00000011558
kryptolebias_marmoratus ENSKMAG00000003895
oryzias_latipes ENSORLG00020001545
oryzias_latipes ENSORLG00000021853
oryzias_melastigma ENSOMEG00000001481
amphiprion_ocellaris ENSAOCG00000008409
amphiprion_percula ENSAPEG00000023915
acanthochromis_polyacanthus ENSAPOG00000015114
stegastes_partitus ENSSPAG00000009223
periophthalmus_magnuspinnatus ENSPMGG00000012565
hippocampus_comes ENSHCOG00000008647
esox_lucius ENSELUG00000003064
pygocentrus_nattereri ENSPNAG00000006150
astyanax_mexicanus ENSAMXG00000004838
ictalurus_punctatus ENSIPUG00000010133
lepisosteus_oculatus ENSLOCG00000004762
apteryx_owenii ENSAOWG00000002048
apteryx_haastii ENSAHAG00000006519
apteryx_rowi ENSARWG00000015256
dromaius_novaehollandiae ENSDNVG00000013491
nothoprocta_perdicaria ENSNPEG00000002819
manacus_vitellinus ENSMVIG00005004999
lepidothrix_coronata ENSLCOG00000005066
taeniopygia_guttata ENSTGUG00000006096
taeniopygia_guttata ENSTGUG00000016664
lonchura_striata_domestica ENSLSDG00000011152
serinus_canaria ENSSCAG00000013954
junco_hyemalis ENSJHYG00000002038
zonotrichia_albicollis ENSZALG00000007385
parus_major ENSPMJG00000019395
cyanistes_caeruleus ENSCCEG00000003950
ficedula_albicollis ENSFALG00000001756
melopsittacus_undulatus ENSMUNG00000014043
calidris_pugnax ENSCPUG00000003605
calidris_pygmaea ENSCPGG00000000213
anas_platyrhynchos_platyrhynchos ENSAPLG00000014919
anser_brachyrhynchus ENSABRG00000015364
gallus_gallus ENSGALG00000023490
coturnix_japonica ENSCJPG00005008197
meleagris_gallopavo ENSMGAG00000008280
numida_meleagris ENSNMEG00000020972
crocodylus_porosus ENSCPRG00005016568
gopherus_agassizii ENSGAGG00000015914
chelonoidis_abingdonii ENSCABG00000006025
chrysemys_picta_bellii ENSCPBG00000015738
pelodiscus_sinensis ENSPSIG00000008815
