latimeria_chalumnae ENSLACG00000018708
xenopus_tropicalis ENSXETG00000021854
scleropages_formosus ENSSFOG00015017809
paramormyrops_kingsleyae ENSPKIG00000003910
scleropages_formosus ENSSFOG00015021530
paramormyrops_kingsleyae ENSPKIG00000006132
takifugu_rubripes ENSTRUG00000020708
tetraodon_nigroviridis ENSTNIG00000007085
periophthalmus_magnuspinnatus ENSPMGG00000019943
mola_mola ENSMMOG00000003894
cyprinodon_variegatus ENSCVAG00000004933
mastacembelus_armatus ENSMAMG00000006132
anabas_testudineus ENSATEG00000024441
scophthalmus_maximus ENSSMAG00000005230
seriola_lalandi_dorsalis ENSSLDG00000005350
seriola_dumerili ENSSDUG00000003335
monopterus_albus ENSMALG00000018628
amphiprion_percula ENSAPEG00000008242
amphiprion_ocellaris ENSAOCG00000018298
acanthochromis_polyacanthus ENSAPOG00000009320
stegastes_partitus ENSSPAG00000001646
maylandia_zebra ENSMZEG00005022927
astatotilapia_calliptera ENSACLG00000004766
pundamilia_nyererei ENSPNYG00000019317
haplochromis_burtoni ENSHBUG00000005418
neolamprologus_brichardi ENSNBRG00000011706
oreochromis_niloticus ENSONIG00000019265
labrus_bergylta ENSLBEG00000022416
xiphophorus_maculatus ENSXMAG00000003592
xiphophorus_couchianus ENSXCOG00000010239
gambusia_affinis ENSGAFG00000003963
poecilia_reticulata ENSPREG00000013376
poecilia_reticulata ENSPREG00000013388
poecilia_latipinna ENSPLAG00000006025
poecilia_formosa ENSPFOG00000022060
poecilia_formosa ENSPFOG00000023290
poecilia_latipinna ENSPLAG00000009607
poecilia_mexicana ENSPMEG00000003037
fundulus_heteroclitus ENSFHEG00000006770
kryptolebias_marmoratus ENSKMAG00000015551
oryzias_latipes ENSORLG00020016158
oryzias_latipes ENSORLG00000015564
oryzias_latipes_asm223469v1 ENSORLG00015011413
oryzias_melastigma ENSOMEG00000020597
cynoglossus_semilaevis ENSCSEG00000003907
hippocampus_comes ENSHCOG00000017970
esox_lucius ENSELUG00000022356
pygocentrus_nattereri ENSPNAG00000001190
astyanax_mexicanus ENSAMXG00000039900
ictalurus_punctatus ENSIPUG00000002954
danio_rerio ENSDARG00000105398
lepisosteus_oculatus ENSLOCG00000004370
notechis_scutatus ENSNSUG00000008420
notechis_scutatus ENSNSUG00000008419
pogona_vitticeps ENSPVIG00000017588
anolis_carolinensis ENSACAG00000015368
salvator_merianae ENSSMRG00000005039
sphenodon_punctatus ENSSPUG00000015115
gopherus_agassizii ENSGAGG00000013918
chelonoidis_abingdonii ENSCABG00000007124
chrysemys_picta_bellii ENSCPBG00000012621
pelodiscus_sinensis ENSPSIG00000003016
anas_platyrhynchos_platyrhynchos ENSAPLG00000024538
anser_brachyrhynchus ENSABRG00000017557
gallus_gallus ENSGALG00000037186
coturnix_japonica ENSCJPG00005003557
numida_meleagris ENSNMEG00000013618
anser_brachyrhynchus ENSABRG00000021470
calidris_pygmaea ENSCPGG00000001878
apteryx_haastii ENSAHAG00000000743
apteryx_rowi ENSARWG00000007616
apteryx_owenii ENSAOWG00000006819
phascolarctos_cinereus ENSPCIG00000024661
notamacropus_eugenii ENSMEUG00000014901
sarcophilus_harrisii ENSSHAG00000008797
pteropus_vampyrus ENSPVAG00000017755
myotis_lucifugus ENSMLUG00000003578
erinaceus_europaeus ENSEEUG00000015232
ovis_aries ENSOARG00000011120
capra_hircus ENSCHIG00000024690
bos_mutus ENSBMUG00000017763
bos_taurus ENSBTAG00000020664
bison_bison_bison ENSBBBG00000003231
tursiops_truncatus ENSTTRG00000009748
sus_scrofa ENSSSCG00000000366
ursus_maritimus ENSUMAG00000016217
ursus_americanus ENSUAMG00000014518
ailuropoda_melanoleuca ENSAMEG00000003053
neovison_vison ENSNVIG00000021878
mustela_putorius_furo ENSMPUG00000000922
canis_lupus_dingo ENSCAFG00020026104
canis_lupus_familiaris ENSCAFG00000015277
vulpes_vulpes ENSVVUG00000022759
panthera_pardus ENSPPRG00000015319
panthera_tigris_altaica ENSPTIG00000016222
felis_catus ENSFCAG00000013965
equus_caballus ENSECAG00000009286
equus_asinus_asinus ENSEASG00005002245
castor_canadensis ENSCCNG00000026718
castor_canadensis ENSCCNG00000017624
dipodomys_ordii ENSDORG00000001069
mus_musculus ENSMUSG00000025354
mus_spicilegus ENSMSIG00000000033
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016781
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015956
mus_pahari MGP_PahariEiJ_G0031128
rattus_norvegicus ENSRNOG00000006844
meriones_unguiculatus ENSMUGG00000006770
meriones_unguiculatus ENSMUGG00000006676
cricetulus_griseus_chok1gshd ENSCGRG00001009540
cricetulus_griseus_crigri ENSCGRG00000012629
cricetulus_griseus_crigri-picr ENSCGRG00015028175
cricetulus_griseus_crigri ENSCGRG00000014210
cricetulus_griseus_chok1gshd ENSCGRG00001023699
mesocricetus_auratus ENSMAUG00000000612
peromyscus_maniculatus_bairdii ENSPEMG00000013016
microtus_ochrogaster ENSMOCG00000011666
jaculus_jaculus ENSJJAG00000017184
jaculus_jaculus ENSJJAG00000016519
urocitellus_parryii ENSUPAG00010015023
ictidomys_tridecemlineatus ENSSTOG00000000286
spermophilus_dauricus ENSSDAG00000006732
marmota_marmota_marmota ENSMMMG00000014214
heterocephalus_glaber_female ENSHGLG00000016850
heterocephalus_glaber_male ENSHGLG00100012979
heterocephalus_glaber_male ENSHGLG00100018801
heterocephalus_glaber_male ENSHGLG00100003161
heterocephalus_glaber_female ENSHGLG00000008503
fukomys_damarensis ENSFDAG00000007660
cavia_aperea ENSCAPG00000004439
cavia_porcellus ENSCPOG00000031942
chinchilla_lanigera ENSCLAG00000010977
octodon_degus ENSODEG00000004548
oryctolagus_cuniculus ENSOCUG00000021980
ochotona_princeps ENSOPRG00000007754
cercocebus_atys ENSCATG00000029709
papio_anubis ENSPANG00000003897
macaca_mulatta ENSMMUG00000012640
macaca_fascicularis ENSMFAG00000045289
rhinopithecus_roxellana ENSRROG00000031465
homo_sapiens ENSG00000257390
colobus_angolensis_palliatus ENSCANG00000042199
piliocolobus_tephrosceles ENSPTEG00000033831
rhinopithecus_roxellana ENSRROG00000042123
rhinopithecus_bieti ENSRBIG00000033649
papio_anubis ENSPANG00000022087
theropithecus_gelada ENSTGEG00000012200
cercocebus_atys ENSCATG00000041004
mandrillus_leucophaeus ENSMLEG00000038626
macaca_nemestrina ENSMNEG00000005979
macaca_fascicularis ENSMFAG00000040360
macaca_mulatta ENSMMUG00000006293
pan_troglodytes ENSPTRG00000005064
pan_paniscus ENSPPAG00000025261
homo_sapiens ENSG00000135392
gorilla_gorilla ENSGGOG00000013222
nomascus_leucogenys ENSNLEG00000017594
cebus_capucinus ENSCCAG00000037578
saimiri_boliviensis_boliviensis ENSSBOG00000036114
callithrix_jacchus ENSCJAG00000007817
aotus_nancymaae ENSANAG00000024440
carlito_syrichta ENSTSYG00000032005
prolemur_simus ENSPSMG00000000017
microcebus_murinus ENSMICG00000010928
propithecus_coquereli ENSPCOG00000015835
otolemur_garnettii ENSOGAG00000001696
tupaia_belangeri ENSTBEG00000003829
canis_lupus_familiaris ENSCAFG00000000069
nannospalax_galili ENSNGAG00000002644
nannospalax_galili ENSNGAG00000015035
meriones_unguiculatus ENSMUGG00000003605
heterocephalus_glaber_male ENSHGLG00100018462
heterocephalus_glaber_male ENSHGLG00100018931
heterocephalus_glaber_female ENSHGLG00000003218
fukomys_damarensis ENSFDAG00000015569
cavia_porcellus ENSCPOG00000009114
colobus_angolensis_palliatus ENSCANG00000028110
macaca_nemestrina ENSMNEG00000042299
dasypus_novemcinctus ENSDNOG00000048972
choloepus_hoffmanni ENSCHOG00000009622
loxodonta_africana ENSLAFG00000023257
procavia_capensis ENSPCAG00000009581
echinops_telfairi ENSETEG00000000713
echinops_telfairi ENSETEG00000014722
ornithorhynchus_anatinus ENSOANG00000012191
taeniopygia_guttata ENSTGUG00000015406
ficedula_albicollis ENSFALG00000000676
lepidothrix_coronata ENSLCOG00000007771
amphilophus_citrinellus ENSACIG00000022678
amphilophus_citrinellus ENSACIG00000022683
calidris_pugnax ENSCPUG00000013905
nothoprocta_perdicaria ENSNPEG00000002171
eptatretus_burgeri ENSEBUG00000014729
