neolamprologus_brichardi ENSNBRG00000006878
pundamilia_nyererei ENSPNYG00000004495
amphilophus_citrinellus ENSACIG00000015944
xiphophorus_couchianus ENSXCOG00000001097
labrus_bergylta ENSLBEG00000027747
mola_mola ENSMMOG00000004507
anabas_testudineus ENSATEG00000013589
periophthalmus_magnuspinnatus ENSPMGG00000004618
poecilia_mexicana ENSPMEG00000021071
cynoglossus_semilaevis ENSCSEG00000016816
cynoglossus_semilaevis ENSCSEG00000016819
cynoglossus_semilaevis ENSCSEG00000006885
astyanax_mexicanus ENSAMXG00000031682
mus_spicilegus ENSMSIG00000027606
mus_spicilegus ENSMSIG00000031929
spermophilus_dauricus ENSSDAG00000015387
marmota_marmota_marmota ENSMMMG00000002088
equus_asinus_asinus ENSEASG00005011207
