nothoprocta_perdicaria ENSNPEG00000006401
apteryx_haastii ENSAHAG00000009780
crocodylus_porosus ENSCPRG00005015524
gopherus_agassizii ENSGAGG00000009400
chrysemys_picta_bellii ENSCPBG00000024072
chelonoidis_abingdonii ENSCABG00000005063
chrysemys_picta_bellii ENSCPBG00000024062
notechis_scutatus ENSNSUG00000011553
phascolarctos_cinereus ENSPCIG00000021677
notamacropus_eugenii ENSMEUG00000013703
sarcophilus_harrisii ENSSHAG00000014931
canis_lupus_familiaris ENSCAFG00000002055
ornithorhynchus_anatinus ENSOANG00000022613
amphiprion_percula ENSAPEG00000008488
acanthochromis_polyacanthus ENSAPOG00000015597
stegastes_partitus ENSSPAG00000003206
amphilophus_citrinellus ENSACIG00000019266
seriola_lalandi_dorsalis ENSSLDG00000016842
scophthalmus_maximus ENSSMAG00000020288
labrus_bergylta ENSLBEG00000023341
periophthalmus_magnuspinnatus ENSPMGG00000006657
hippocampus_comes ENSHCOG00000003401
xiphophorus_maculatus ENSXMAG00000003692
gambusia_affinis ENSGAFG00000007959
xiphophorus_couchianus ENSXCOG00000005154
poecilia_mexicana ENSPMEG00000007523
poecilia_latipinna ENSPLAG00000019284
poecilia_formosa ENSPFOG00000022106
poecilia_reticulata ENSPREG00000009672
ciona_savignyi ENSCSAVG00000003735
ciona_intestinalis ENSCING00000012328
ciona_intestinalis ENSCING00000008104
drosophila_melanogaster FBgn0033610
