microcebus_murinus ENSMICG00000005386
prolemur_simus ENSPSMG00000012868
propithecus_coquereli ENSPCOG00000003467
carlito_syrichta ENSTSYG00000007511
mus_spicilegus ENSMSIG00000032116
mus_spretus MGP_SPRETEiJ_G0027274
mus_musculus ENSMUSG00000028719
mus_caroli MGP_CAROLIEiJ_G0026302
mus_pahari MGP_PahariEiJ_G0028636
rattus_norvegicus ENSRNOG00000007775
meriones_unguiculatus ENSMUGG00000016643
cricetulus_griseus ENSCGRG00015023311
cricetulus_griseus ENSCGRG00001016283
microtus_ochrogaster ENSMOCG00000019310
peromyscus_maniculatus ENSPEMG00000021852
nannospalax_galili ENSNGAG00000024189
castor_canadensis ENSCCNG00000021968
heterocephalus_glaber ENSHGLG00100009757
heterocephalus_glaber ENSHGLG00000003444
heterocephalus_glaber ENSHGLG00000001416
fukomys_damarensis ENSFDAG00000005640
chinchilla_lanigera ENSCLAG00000007047
chinchilla_lanigera ENSCLAG00000017545
octodon_degus ENSODEG00000007423
octodon_degus ENSODEG00000002101
octodon_degus ENSODEG00000009080
chinchilla_lanigera ENSCLAG00000000705
cavia_porcellus ENSCPOG00000031837
cavia_aperea ENSCAPG00000015757
pan_troglodytes ENSPTRG00000000712
homo_sapiens ENSG00000162368
pongo_abelii ENSPPYG00000001380
nomascus_leucogenys ENSNLEG00000016374
nomascus_leucogenys ENSNLEG00000007498
macaca_fascicularis ENSMFAG00000010713
macaca_mulatta ENSMMUG00000007151
macaca_nemestrina ENSMNEG00000037131
macaca_fascicularis ENSMFAG00000035854
theropithecus_gelada ENSTGEG00000002508
cercocebus_atys ENSCATG00000013741
papio_anubis ENSPANG00000019968
chlorocebus_sabaeus ENSCSAG00000001249
mandrillus_leucophaeus ENSMLEG00000023235
piliocolobus_tephrosceles ENSPTEG00000038170
rhinopithecus_roxellana ENSRROG00000031992
macaca_mulatta ENSMMUG00000017375
pan_paniscus ENSPPAG00000000305
cebus_capucinus ENSCCAG00000013287
callithrix_jacchus ENSCJAG00000021250
saimiri_boliviensis ENSSBOG00000023132
aotus_nancymaae ENSANAG00000033187
otolemur_garnettii ENSOGAG00000026904
oryctolagus_cuniculus ENSOCUG00000012424
ochotona_princeps ENSOPRG00000013948
dipodomys_ordii ENSDORG00000004576
bos_indicus ENSBIXG00005012554
bos_indicus ENSBIXG00000001694
bos_taurus ENSBTAG00000019956
bison_bison ENSBBBG00000009782
capra_hircus ENSCHIG00000009857
ovis_aries ENSOARG00000003581
tursiops_truncatus ENSTTRG00000000830
sorex_araneus ENSSARG00000009745
mustela_putorius ENSMPUG00000012394
neovison_vison ENSNVIG00000002204
ursus_americanus ENSUAMG00000028070
canis_lupus ENSCAFG00020014509
canis_lupus ENSCAFG00000004030
vulpes_vulpes ENSVVUG00000006426
panthera_pardus ENSPPRG00000012334
panthera_pardus ENSPPRG00000011257
felis_catus ENSFCAG00000025426
myotis_lucifugus ENSMLUG00000027749
pteropus_vampyrus ENSPVAG00000005354
equus_caballus ENSECAG00000000428
equus_asinus ENSEASG00005010695
panthera_tigris ENSPTIG00000011122
ursus_maritimus ENSUMAG00000023298
erinaceus_europaeus ENSEEUG00000008181
urocitellus_parryii ENSUPAG00010016469
ictidomys_tridecemlineatus ENSSTOG00000007706
marmota_marmota ENSMMMG00000017986
spermophilus_dauricus ENSSDAG00000011684
fukomys_damarensis ENSFDAG00000011139
colobus_angolensis ENSCANG00000029486
mandrillus_leucophaeus ENSMLEG00000039966
pan_paniscus ENSPPAG00000027235
gorilla_gorilla ENSGGOG00000039974
rhinopithecus_bieti ENSRBIG00000032439
cricetulus_griseus ENSCGRG00000002298
sus_scrofa ENSSSCG00000003885
dasypus_novemcinctus ENSDNOG00000037718
dasypus_novemcinctus ENSDNOG00000033710
procavia_capensis ENSPCAG00000013988
echinops_telfairi ENSETEG00000008349
vombatus_ursinus ENSVURG00010017630
notamacropus_eugenii ENSMEUG00000010051
sarcophilus_harrisii ENSSHAG00000009766
monodelphis_domestica ENSMODG00000001470
notechis_scutatus ENSNSUG00000016179
xenopus_tropicalis ENSXETG00000014328
latimeria_chalumnae ENSLACG00000010172
esox_lucius ENSELUG00000023128
hucho_hucho ENSHHUG00000022364
takifugu_rubripes ENSTRUG00000002075
tetraodon_nigroviridis ENSTNIG00000007833
mola_mola ENSMMOG00000018111
labrus_bergylta ENSLBEG00000008087
maylandia_zebra ENSMZEG00005005505
maylandia_zebra ENSMZEG00005005486
astatotilapia_calliptera ENSACLG00000009890
haplochromis_burtoni ENSHBUG00000006511
pundamilia_nyererei ENSPNYG00000000332
neolamprologus_brichardi ENSNBRG00000003999
amphilophus_citrinellus ENSACIG00000022026
fundulus_heteroclitus ENSFHEG00000017086
clupea_harengus ENSCHAG00000007817
denticeps_clupeoides ENSDCDG00000004485
electrophorus_electricus ENSEEEG00000010315
eptatretus_burgeri ENSEBUG00000007383
ciona_intestinalis ENSCING00000004142
callorhinchus_milii ENSCMIG00000003453
drosophila_melanogaster FBgn0022709
saccharomyces_cerevisiae YKL024C
