paramormyrops_kingsleyae ENSPKIG00000017212
scleropages_formosus ENSSFOG00015008191
esox_lucius ENSELUG00000022873
gadus_morhua ENSGMOG00000014733
takifugu_rubripes ENSTRUG00000006942
tetraodon_nigroviridis ENSTNIG00000010583
gasterosteus_aculeatus ENSGACG00000018708
poecilia_latipinna ENSPLAG00000010532
poecilia_formosa ENSPFOG00000004084
poecilia_mexicana ENSPMEG00000006538
poecilia_reticulata ENSPREG00000000299
xiphophorus_maculatus ENSXMAG00000006978
xiphophorus_couchianus ENSXCOG00000014636
gambusia_affinis ENSGAFG00000016801
fundulus_heteroclitus ENSFHEG00000012970
cyprinodon_variegatus ENSCVAG00000021941
kryptolebias_marmoratus ENSKMAG00000020235
oryzias_latipes ENSORLG00000015257
oryzias_latipes ENSORLG00020017249
oryzias_latipes_asm223469v1 ENSORLG00015018016
oryzias_melastigma ENSOMEG00000006841
mola_mola ENSMMOG00000021598
labrus_bergylta ENSLBEG00000025289
mastacembelus_armatus ENSMAMG00000014402
monopterus_albus ENSMALG00000001798
anabas_testudineus ENSATEG00000008882
seriola_dumerili ENSSDUG00000009904
seriola_lalandi_dorsalis ENSSLDG00000012369
scophthalmus_maximus ENSSMAG00000001418
amphiprion_ocellaris ENSAOCG00000018358
amphiprion_percula ENSAPEG00000005853
acanthochromis_polyacanthus ENSAPOG00000011454
stegastes_partitus ENSSPAG00000005013
maylandia_zebra ENSMZEG00005003053
astatotilapia_calliptera ENSACLG00000025583
pundamilia_nyererei ENSPNYG00000002153
haplochromis_burtoni ENSHBUG00000016692
neolamprologus_brichardi ENSNBRG00000003207
oreochromis_niloticus ENSONIG00000016298
amphilophus_citrinellus ENSACIG00000016312
cynoglossus_semilaevis ENSCSEG00000012062
periophthalmus_magnuspinnatus ENSPMGG00000002942
hippocampus_comes ENSHCOG00000001739
astyanax_mexicanus ENSAMXG00000004461
pygocentrus_nattereri ENSPNAG00000007202
ictalurus_punctatus ENSIPUG00000010781
danio_rerio ENSDARG00000019000
lepisosteus_oculatus ENSLOCG00000012326
apteryx_haastii ENSAHAG00000014076
apteryx_owenii ENSAOWG00000017834
apteryx_rowi ENSARWG00000017851
dromaius_novaehollandiae ENSDNVG00000015493
nothoprocta_perdicaria ENSNPEG00000012145
calidris_pygmaea ENSCPGG00000012676
calidris_pugnax ENSCPUG00000003199
melopsittacus_undulatus ENSMUNG00000008504
junco_hyemalis ENSJHYG00000008006
zonotrichia_albicollis ENSZALG00000004259
serinus_canaria ENSSCAG00000015774
taeniopygia_guttata ENSTGUG00000010610
lonchura_striata_domestica ENSLSDG00000009820
cyanistes_caeruleus ENSCCEG00000011295
parus_major ENSPMJG00000005175
ficedula_albicollis ENSFALG00000002292
lepidothrix_coronata ENSLCOG00000016430
manacus_vitellinus ENSMVIG00005003888
anser_brachyrhynchus ENSABRG00000006425
anas_platyrhynchos_platyrhynchos ENSAPLG00000003586
meleagris_gallopavo ENSMGAG00000010780
coturnix_japonica ENSCJPG00005020030
gallus_gallus ENSGALG00000008585
numida_meleagris ENSNMEG00000013504
crocodylus_porosus ENSCPRG00005011337
chelonoidis_abingdonii ENSCABG00000001406
gopherus_agassizii ENSGAGG00000014133
chrysemys_picta_bellii ENSCPBG00000012840
pelodiscus_sinensis ENSPSIG00000010608
salvator_merianae ENSSMRG00000009131
notechis_scutatus ENSNSUG00000003813
pogona_vitticeps ENSPVIG00000010090
anolis_carolinensis ENSACAG00000015557
sphenodon_punctatus ENSSPUG00000004507
loxodonta_africana ENSLAFG00000014862
procavia_capensis ENSPCAG00000015720
echinops_telfairi ENSETEG00000002245
ursus_maritimus ENSUMAG00000023728
ursus_americanus ENSUAMG00000026334
ailuropoda_melanoleuca ENSAMEG00000015675
mustela_putorius_furo ENSMPUG00000002074
neovison_vison ENSNVIG00000007934
canis_lupus_dingo ENSCAFG00020011924
canis_lupus_familiaris ENSCAFG00000010762
vulpes_vulpes ENSVVUG00000007846
panthera_tigris_altaica ENSPTIG00000011130
