rhinopithecus_roxellana ENSRROG00000029356
rhinopithecus_bieti ENSRBIG00000044336
aotus_nancymaae ENSANAG00000024359
callithrix_jacchus ENSCJAG00000042873
propithecus_coquereli ENSPCOG00000028588
piliocolobus_tephrosceles ENSPTEG00000027899
pongo_abelii ENSPPYG00000018900
mus_spicilegus ENSMSIG00000005719
peromyscus_maniculatus_bairdii ENSPEMG00000026626
vulpes_vulpes ENSVVUG00000001355
dasypus_novemcinctus ENSDNOG00000047338
monodelphis_domestica ENSMODG00000011434
salvator_merianae ENSSMRG00000001704
