astyanax_mexicanus ENSAMXG00000043334
pygocentrus_nattereri ENSPNAG00000008623
ictalurus_punctatus ENSIPUG00000024326
danio_rerio ENSDARG00000031302
takifugu_rubripes ENSTRUG00000005394
tetraodon_nigroviridis ENSTNIG00000009884
mola_mola ENSMMOG00000007491
gasterosteus_aculeatus ENSGACG00000003966
poecilia_mexicana ENSPMEG00000006495
poecilia_formosa ENSPFOG00000018990
poecilia_reticulata ENSPREG00000010031
xiphophorus_maculatus ENSXMAG00000007313
cyprinodon_variegatus ENSCVAG00000016930
fundulus_heteroclitus ENSFHEG00000018796
kryptolebias_marmoratus ENSKMAG00000017926
oryzias_latipes ENSORLG00020020098
oryzias_latipes ENSORLG00000022419
oryzias_latipes_asm223469v1 ENSORLG00015008153
oryzias_melastigma ENSOMEG00000001198
astatotilapia_calliptera ENSACLG00000014878
maylandia_zebra ENSMZEG00005018180
oreochromis_niloticus ENSONIG00000002934
neolamprologus_brichardi ENSNBRG00000012380
amphilophus_citrinellus ENSACIG00000011192
amphiprion_percula ENSAPEG00000007307
amphiprion_ocellaris ENSAOCG00000009935
acanthochromis_polyacanthus ENSAPOG00000001953
seriola_dumerili ENSSDUG00000017573
seriola_lalandi_dorsalis ENSSLDG00000019406
scophthalmus_maximus ENSSMAG00000015928
hippocampus_comes ENSHCOG00000007112
cynoglossus_semilaevis ENSCSEG00000000875
esox_lucius ENSELUG00000011620
scleropages_formosus ENSSFOG00015003315
paramormyrops_kingsleyae ENSPKIG00000001603
xiphophorus_maculatus ENSXMAG00000000144
xiphophorus_couchianus ENSXCOG00000012763
gambusia_affinis ENSGAFG00000012594
poecilia_formosa ENSPFOG00000004432
poecilia_latipinna ENSPLAG00000007994
poecilia_mexicana ENSPMEG00000004641
poecilia_formosa ENSPFOG00000021952
poecilia_reticulata ENSPREG00000000460
fundulus_heteroclitus ENSFHEG00000001638
cyprinodon_variegatus ENSCVAG00000018803
kryptolebias_marmoratus ENSKMAG00000020892
oryzias_latipes ENSORLG00000012694
oryzias_latipes ENSORLG00020004042
oryzias_latipes_asm223469v1 ENSORLG00015002020
oryzias_melastigma ENSOMEG00000011561
