maylandia_zebra ENSMZEG00005013047
pundamilia_nyererei ENSPNYG00000014949
neolamprologus_brichardi ENSNBRG00000009172
amphilophus_citrinellus ENSACIG00000003010
fundulus_heteroclitus ENSFHEG00000011716
cyprinodon_variegatus ENSCVAG00000000167
gambusia_affinis ENSGAFG00000017496
xiphophorus_maculatus ENSXMAG00000023314
poecilia_mexicana ENSPMEG00000006763
poecilia_latipinna ENSPLAG00000016570
poecilia_formosa ENSPFOG00000023438
poecilia_reticulata ENSPREG00000001559
kryptolebias_marmoratus ENSKMAG00000008854
amphiprion_percula ENSAPEG00000013209
amphiprion_ocellaris ENSAOCG00000013967
acanthochromis_polyacanthus ENSAPOG00000012215
stegastes_partitus ENSSPAG00000013670
anabas_testudineus ENSATEG00000002141
labrus_bergylta ENSLBEG00000024168
seriola_lalandi_dorsalis ENSSLDG00000018478
seriola_dumerili ENSSDUG00000019197
hippocampus_comes ENSHCOG00000004490
scleropages_formosus ENSSFOG00015014268
paramormyrops_kingsleyae ENSPKIG00000001329
paramormyrops_kingsleyae ENSPKIG00000002050
scleropages_formosus ENSSFOG00015011008
