mus_spretus MGP_SPRETEiJ_G0022612
cricetulus_griseus ENSCGRG00001000427
nannospalax_galili ENSNGAG00000015126
jaculus_jaculus ENSJJAG00000014868
cavia_porcellus ENSCPOG00000008967
cavia_aperea ENSCAPG00000006860
fukomys_damarensis ENSFDAG00000009965
dipodomys_ordii ENSDORG00000011144
ictidomys_tridecemlineatus ENSSTOG00000020834
tupaia_belangeri ENSTBEG00000012030
piliocolobus_tephrosceles ENSPTEG00000007206
rhinopithecus_roxellana ENSRROG00000039784
mandrillus_leucophaeus ENSMLEG00000041017
colobus_angolensis ENSCANG00000030099
pongo_abelii ENSPPYG00000016610
ailuropoda_melanoleuca ENSAMEG00000012995
tursiops_truncatus ENSTTRG00000014051
pteropus_vampyrus ENSPVAG00000007619
erinaceus_europaeus ENSEEUG00000015666
procavia_capensis ENSPCAG00000014611
notamacropus_eugenii ENSMEUG00000014719
ornithorhynchus_anatinus ENSOANG00000022570
ficedula_albicollis ENSFALG00000000494
taeniopygia_guttata ENSTGUG00000001474
coturnix_japonica ENSCJPG00005016660
anolis_carolinensis ENSACAG00000006038
