apteryx_haastii ENSAHAG00000015632
apteryx_rowi ENSARWG00000008234
apteryx_owenii ENSAOWG00000015103
dromaius_novaehollandiae ENSDNVG00000001814
gallus_gallus ENSGALG00000005020
coturnix_japonica ENSCJPG00005012875
meleagris_gallopavo ENSMGAG00000005131
numida_meleagris ENSNMEG00000013446
anser_brachyrhynchus ENSABRG00000009510
parus_major ENSPMJG00000005079
cyanistes_caeruleus ENSCCEG00000024393
taeniopygia_guttata ENSTGUG00000003984
lonchura_striata_domestica ENSLSDG00000009124
zonotrichia_albicollis ENSZALG00000011950
junco_hyemalis ENSJHYG00000003804
serinus_canaria ENSSCAG00000010990
ficedula_albicollis ENSFALG00000000024
manacus_vitellinus ENSMVIG00005001292
lepidothrix_coronata ENSLCOG00000012199
calidris_pygmaea ENSCPGG00000011973
calidris_pugnax ENSCPUG00000018168
melopsittacus_undulatus ENSMUNG00000011699
notechis_scutatus ENSNSUG00000020122
gopherus_agassizii ENSGAGG00000021277
chelonoidis_abingdonii ENSCABG00000017719
chrysemys_picta_bellii ENSCPBG00000026344
pelodiscus_sinensis ENSPSIG00000014482
crocodylus_porosus ENSCPRG00005019166
anolis_carolinensis ENSACAG00000013142
pogona_vitticeps ENSPVIG00000022281
salvator_merianae ENSSMRG00000019585
sphenodon_punctatus ENSSPUG00000017987
xenopus_tropicalis ENSXETG00000027857
latimeria_chalumnae ENSLACG00000003572
seriola_lalandi_dorsalis ENSSLDG00000011655
seriola_lalandi_dorsalis ENSSLDG00000010123
seriola_dumerili ENSSDUG00000000389
scophthalmus_maximus ENSSMAG00000013004
labrus_bergylta ENSLBEG00000007066
hippocampus_comes ENSHCOG00000003467
mola_mola ENSMMOG00000017206
takifugu_rubripes ENSTRUG00000007342
cynoglossus_semilaevis ENSCSEG00000021427
xiphophorus_maculatus ENSXMAG00000017656
xiphophorus_couchianus ENSXCOG00000011189
gambusia_affinis ENSGAFG00000015710
poecilia_mexicana ENSPMEG00000012824
poecilia_reticulata ENSPREG00000008306
poecilia_formosa ENSPFOG00000015899
poecilia_formosa ENSPFOG00000024214
poecilia_mexicana ENSPMEG00000014861
poecilia_latipinna ENSPLAG00000020066
cyprinodon_variegatus ENSCVAG00000012859
fundulus_heteroclitus ENSFHEG00000002970
kryptolebias_marmoratus ENSKMAG00000013780
oryzias_latipes ENSORLG00020018941
oryzias_latipes ENSORLG00000011428
oryzias_latipes_asm223469v1 ENSORLG00015000408
oryzias_melastigma ENSOMEG00000008041
haplochromis_burtoni ENSHBUG00000021581
pundamilia_nyererei ENSPNYG00000005031
maylandia_zebra ENSMZEG00005025909
oreochromis_niloticus ENSONIG00000017175
neolamprologus_brichardi ENSNBRG00000022074
amphilophus_citrinellus ENSACIG00000003651
amphiprion_ocellaris ENSAOCG00000000375
amphiprion_percula ENSAPEG00000014465
acanthochromis_polyacanthus ENSAPOG00000010597
stegastes_partitus ENSSPAG00000019713
mastacembelus_armatus ENSMAMG00000024105
monopterus_albus ENSMALG00000021924
anabas_testudineus ENSATEG00000015451
periophthalmus_magnuspinnatus ENSPMGG00000017048
gasterosteus_aculeatus ENSGACG00000000062
tetraodon_nigroviridis ENSTNIG00000017939
oryzias_melastigma ENSOMEG00000010793
gadus_morhua ENSGMOG00000017018
esox_lucius ENSELUG00000000698
pygocentrus_nattereri ENSPNAG00000008127
astyanax_mexicanus ENSAMXG00000029468
ictalurus_punctatus ENSIPUG00000011342
danio_rerio ENSDARG00000004282
paramormyrops_kingsleyae ENSPKIG00000017599
scleropages_formosus ENSSFOG00015014380
paramormyrops_kingsleyae ENSPKIG00000024576
scleropages_formosus ENSSFOG00015001099
mola_mola ENSMMOG00000017807
cynoglossus_semilaevis ENSCSEG00000020371
tetraodon_nigroviridis ENSTNIG00000005225
labrus_bergylta ENSLBEG00000006008
xiphophorus_maculatus ENSXMAG00000012443
gambusia_affinis ENSGAFG00000019552
fundulus_heteroclitus ENSFHEG00000006713
kryptolebias_marmoratus ENSKMAG00000014708
oryzias_latipes ENSORLG00000009207
oryzias_latipes ENSORLG00020007852
oryzias_latipes_asm223469v1 ENSORLG00015003548
oryzias_melastigma ENSOMEG00000002130
amphiprion_ocellaris ENSAOCG00000001904
amphiprion_percula ENSAPEG00000021832
acanthochromis_polyacanthus ENSAPOG00000019467
stegastes_partitus ENSSPAG00000021911
maylandia_zebra ENSMZEG00005012007
astatotilapia_calliptera ENSACLG00000014458
haplochromis_burtoni ENSHBUG00000008903
pundamilia_nyererei ENSPNYG00000011089
neolamprologus_brichardi ENSNBRG00000006938
oreochromis_niloticus ENSONIG00000000263
mastacembelus_armatus ENSMAMG00000009469
anabas_testudineus ENSATEG00000009541
gasterosteus_aculeatus ENSGACG00000003330
seriola_lalandi_dorsalis ENSSLDG00000022265
seriola_dumerili ENSSDUG00000018317
scophthalmus_maximus ENSSMAG00000006615
gadus_morhua ENSGMOG00000009106
esox_lucius ENSELUG00000013454
lepisosteus_oculatus ENSLOCG00000013994
eptatretus_burgeri ENSEBUG00000004782
