hucho_hucho ENSHHUG00000007362
paramormyrops_kingsleyae ENSPKIG00000002053
erpetoichthys_calabaricus ENSECRG00000010275
denticeps_clupeoides ENSDCDG00000018262
denticeps_clupeoides ENSDCDG00000020168
denticeps_clupeoides ENSDCDG00000012757
denticeps_clupeoides ENSDCDG00000012966
clupea_harengus ENSCHAG00000001231
astyanax_mexicanus ENSAMXG00005021109
astyanax_mexicanus ENSAMXG00000033247
pygocentrus_nattereri ENSPNAG00000014524
ictalurus_punctatus ENSIPUG00000011312
electrophorus_electricus ENSEEEG00000003068
danio_rerio ENSDARG00000007349
haplochromis_burtoni ENSHBUG00000006972
pundamilia_nyererei ENSPNYG00000004057
maylandia_zebra ENSMZEG00005020750
astatotilapia_calliptera ENSACLG00000004443
neolamprologus_brichardi ENSNBRG00000018325
oreochromis_niloticus ENSONIG00000014201
amphilophus_citrinellus ENSACIG00000015473
fundulus_heteroclitus ENSFHEG00000021514
amphiprion_ocellaris ENSAOCG00000008448
amphiprion_percula ENSAPEG00000008009
acanthochromis_polyacanthus ENSAPOG00000002453
stegastes_partitus ENSSPAG00000005837
parambassis_ranga ENSPRNG00000006410
seriola_dumerili ENSSDUG00000020342
seriola_lalandi ENSSLDG00000025304
lates_calcarifer ENSLCAG00010023595
labrus_bergylta ENSLBEG00000012548
labrus_bergylta ENSLBEG00000010235
larimichthys_crocea ENSLCRG00005010615
cottoperca_gobio ENSCGOG00000024307
mastacembelus_armatus ENSMAMG00000003170
anabas_testudineus ENSATEG00000006852
takifugu_rubripes ENSTRUG00000015699
tetraodon_nigroviridis ENSTNIG00000015640
monopterus_albus ENSMALG00000009399
betta_splendens ENSBSLG00000013231
scophthalmus_maximus ENSSMAG00000013610
gasterosteus_aculeatus ENSGACG00000014514
cynoglossus_semilaevis ENSCSEG00000019352
poecilia_mexicana ENSPMEG00000002184
poecilia_formosa ENSPFOG00000001335
poecilia_latipinna ENSPLAG00000017909
poecilia_reticulata ENSPREG00000014224
xiphophorus_maculatus ENSXMAG00000015591
gambusia_affinis ENSGAFG00000001107
cyprinodon_variegatus ENSCVAG00000016485
kryptolebias_marmoratus ENSKMAG00000009879
oryzias_latipes ENSORLG00020013974
oryzias_latipes ENSORLG00015006126
oryzias_latipes ENSORLG00000020817
oryzias_latipes ENSORLG00015017982
oryzias_melastigma ENSOMEG00000010203
gouania_willdenowi ENSGWIG00000018917
periophthalmus_magnuspinnatus ENSPMGG00000013842
gadus_morhua ENSGMOG00000014361
esox_lucius ENSELUG00000010698
scleropages_formosus ENSSFOG00015019588
lepisosteus_oculatus ENSLOCG00000011472
anolis_carolinensis ENSACAG00000002356
pogona_vitticeps ENSPVIG00000010412
notechis_scutatus ENSNSUG00000018051
salvator_merianae ENSSMRG00000012418
sphenodon_punctatus ENSSPUG00000006971
apteryx_haastii ENSAHAG00000014532
apteryx_owenii ENSAOWG00000009721
apteryx_rowi ENSARWG00000002310
dromaius_novaehollandiae ENSDNVG00000006890
nothoprocta_perdicaria ENSNPEG00000016242
calidris_pygmaea ENSCPGG00000008764
calidris_pugnax ENSCPUG00000012468
melopsittacus_undulatus ENSMUNG00000015934
zonotrichia_albicollis ENSZALG00000016076
cyanistes_caeruleus ENSCCEG00000016272
ficedula_albicollis ENSFALG00000010388
parus_major ENSPMJG00000016192
lonchura_striata ENSLSDG00000013654
taeniopygia_guttata ENSTGUG00000005524
serinus_canaria ENSSCAG00000003198
lepidothrix_coronata ENSLCOG00000002641
manacus_vitellinus ENSMVIG00005010963
coturnix_japonica ENSCJPG00005002189
meleagris_gallopavo ENSMGAG00000005156
gallus_gallus ENSGALG00000010160
numida_meleagris ENSNMEG00000009961
crocodylus_porosus ENSCPRG00005004893
chelonoidis_abingdonii ENSCABG00000022413
gopherus_agassizii ENSGAGG00000017350
chrysemys_picta ENSCPBG00000025458
pelodiscus_sinensis ENSPSIG00000013048
vombatus_ursinus ENSVURG00010007673
phascolarctos_cinereus ENSPCIG00000030080
notamacropus_eugenii ENSMEUG00000011389
sarcophilus_harrisii ENSSHAG00000006920
monodelphis_domestica ENSMODG00000003401
mus_musculus ENSMUSG00000024837
mus_caroli MGP_CAROLIEiJ_G0022838
mus_spicilegus ENSMSIG00000010363
mus_pahari MGP_PahariEiJ_G0014331
rattus_norvegicus ENSRNOG00000016075
meriones_unguiculatus ENSMUGG00000009005
cricetulus_griseus ENSCGRG00001000625
cricetulus_griseus ENSCGRG00015000858
peromyscus_maniculatus ENSPEMG00000019943
castor_canadensis ENSCCNG00000006320
otolemur_garnettii ENSOGAG00000001989
mesocricetus_auratus ENSMAUG00000008975
microtus_ochrogaster ENSMOCG00000017971
saimiri_boliviensis ENSSBOG00000027694
ursus_americanus ENSUAMG00000021889
tursiops_truncatus ENSTTRG00000014171
jaculus_jaculus ENSJJAG00000016690
ochotona_princeps ENSOPRG00000011101
myotis_lucifugus ENSMLUG00000011450
urocitellus_parryii ENSUPAG00010016791
ictidomys_tridecemlineatus ENSSTOG00000010235
marmota_marmota ENSMMMG00000003270
tupaia_belangeri ENSTBEG00000002038
pan_paniscus ENSPPAG00000036830
pan_troglodytes ENSPTRG00000020728
gorilla_gorilla ENSGGOG00000013298
homo_sapiens ENSG00000137090
pongo_abelii ENSPPYG00000019261
nomascus_leucogenys ENSNLEG00000008544
rhinopithecus_bieti ENSRBIG00000040985
rhinopithecus_roxellana ENSRROG00000035111
piliocolobus_tephrosceles ENSPTEG00000000107
colobus_angolensis ENSCANG00000041973
macaca_fascicularis ENSMFAG00000045391
macaca_nemestrina ENSMNEG00000036006
papio_anubis ENSPANG00000025124
theropithecus_gelada ENSTGEG00000022464
cercocebus_atys ENSCATG00000043860
mandrillus_leucophaeus ENSMLEG00000034610
chlorocebus_sabaeus ENSCSAG00000008623
cebus_capucinus ENSCCAG00000024774
callithrix_jacchus ENSCJAG00000010667
aotus_nancymaae ENSANAG00000030765
carlito_syrichta ENSTSYG00000009148
microcebus_murinus ENSMICG00000010417
prolemur_simus ENSPSMG00000025222
propithecus_coquereli ENSPCOG00000004952
equus_asinus ENSEASG00005010297
pteropus_vampyrus ENSPVAG00000017757
mustela_putorius ENSMPUG00000005204
neovison_vison ENSNVIG00000008608
canis_lupus ENSCAFG00000001982
canis_lupus ENSCAFG00020026750
panthera_pardus ENSPPRG00000002380
felis_catus ENSFCAG00000006459
bos_indicus ENSBIXG00005018189
bos_indicus ENSBIXG00000020778
bos_taurus ENSBTAG00000033352
bos_mutus ENSBMUG00000008309
bison_bison ENSBBBG00000016649
capra_hircus ENSCHIG00000024212
sus_scrofa ENSSSCG00000005236
chinchilla_lanigera ENSCLAG00000015238
octodon_degus ENSODEG00000004898
cavia_aperea ENSCAPG00000014126
cavia_porcellus ENSCPOG00000005909
heterocephalus_glaber ENSHGLG00000011630
heterocephalus_glaber ENSHGLG00100004928
fukomys_damarensis ENSFDAG00000005670
nannospalax_galili ENSNGAG00000001295
dipodomys_ordii ENSDORG00000006363
spermophilus_dauricus ENSSDAG00000018498
sorex_araneus ENSSARG00000002004
erinaceus_europaeus ENSEEUG00000003511
vulpes_vulpes ENSVVUG00000004545
ursus_maritimus ENSUMAG00000019350
panthera_tigris ENSPTIG00000005309
procavia_capensis ENSPCAG00000007297
ovis_aries ENSOARG00000013224
ursus_americanus ENSUAMG00000021888
loxodonta_africana ENSLAFG00000010638
choloepus_hoffmanni ENSCHOG00000003336
dasypus_novemcinctus ENSDNOG00000005457
ornithorhynchus_anatinus ENSOANG00000008294
ornithorhynchus_anatinus ENSOANG00000013273
xenopus_tropicalis ENSXETG00000018315
latimeria_chalumnae ENSLACG00000013139
callorhinchus_milii ENSCMIG00000009384
hippocampus_comes ENSHCOG00000015256
mus_spicilegus ENSMSIG00000000992
mus_musculus ENSMUSG00000031323
mus_spretus MGP_SPRETEiJ_G0034468
mus_caroli MGP_CAROLIEiJ_G0033304
mus_pahari MGP_PahariEiJ_G0031843
rattus_norvegicus ENSRNOG00000060738
meriones_unguiculatus ENSMUGG00000000673
cricetulus_griseus ENSCGRG00001018624
cricetulus_griseus ENSCGRG00000013694
cricetulus_griseus ENSCGRG00015016539
mesocricetus_auratus ENSMAUG00000006945
peromyscus_maniculatus ENSPEMG00000009870
nannospalax_galili ENSNGAG00000022060
fukomys_damarensis ENSFDAG00000019171
eptatretus_burgeri ENSEBUG00000007279
