pan_paniscus ENSPPAG00000037364
pan_troglodytes ENSPTRG00000013326
homo_sapiens ENSG00000173335
gorilla_gorilla ENSGGOG00000009518
pongo_abelii ENSPPYG00000010775
nomascus_leucogenys ENSNLEG00000011616
macaca_nemestrina ENSMNEG00000039807
macaca_mulatta ENSMMUG00000039259
macaca_mulatta ENSMMUG00000042222
macaca_fascicularis ENSMFAG00000003410
chlorocebus_sabaeus ENSCSAG00000018262
papio_anubis ENSPANG00000030853
cercocebus_atys ENSCATG00000033110
mandrillus_leucophaeus ENSMLEG00000032381
papio_anubis ENSPANG00000000660
cercocebus_atys ENSCATG00000035179
macaca_fascicularis ENSMFAG00000002225
theropithecus_gelada ENSTGEG00000020267
mandrillus_leucophaeus ENSMLEG00000037193
cebus_capucinus ENSCCAG00000024829
saimiri_boliviensis_boliviensis ENSSBOG00000020759
callithrix_jacchus ENSCJAG00000000687
aotus_nancymaae ENSANAG00000021791
rhinopithecus_roxellana ENSRROG00000031160
chlorocebus_sabaeus ENSCSAG00000011022
carlito_syrichta ENSTSYG00000029266
prolemur_simus ENSPSMG00000011228
microcebus_murinus ENSMICG00000047052
