chlorocebus_sabaeus ENSCSAG00000015731
piliocolobus_tephrosceles ENSPTEG00000038093
saimiri_boliviensis_boliviensis ENSSBOG00000011146
prolemur_simus ENSPSMG00000021808
spermophilus_dauricus ENSSDAG00000013506
ictidomys_tridecemlineatus ENSSTOG00000020680
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016922
mus_spicilegus ENSMSIG00000023067
mus_musculus ENSMUSG00000000381
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016080
mus_pahari MGP_PahariEiJ_G0016811
rattus_norvegicus ENSRNOG00000055684
meriones_unguiculatus ENSMUGG00000016709
cricetulus_griseus_crigri ENSCGRG00000005230
cricetulus_griseus_crigri-picr ENSCGRG00015028157
cricetulus_griseus_chok1gshd ENSCGRG00001019924
mesocricetus_auratus ENSMAUG00000012398
microtus_ochrogaster ENSMOCG00000018434
peromyscus_maniculatus_bairdii ENSPEMG00000018530
nannospalax_galili ENSNGAG00000023253
jaculus_jaculus ENSJJAG00000015024
oryctolagus_cuniculus ENSOCUG00000022314
ovis_aries ENSOARG00000013794
capra_hircus ENSCHIG00000019304
bison_bison_bison ENSBBBG00000004854
bos_taurus ENSBTAG00000046334
sus_scrofa ENSSSCG00000016731
ursus_maritimus ENSUMAG00000009531
ursus_americanus ENSUAMG00000013070
ailuropoda_melanoleuca ENSAMEG00000017866
mustela_putorius_furo ENSMPUG00000018184
neovison_vison ENSNVIG00000022023
canis_lupus_familiaris ENSCAFG00000003142
canis_lupus_dingo ENSCAFG00020019811
vulpes_vulpes ENSVVUG00000015476
panthera_tigris_altaica ENSPTIG00000015475
