sarcophilus_harrisii ENSSHAG00000003679
monodelphis_domestica ENSMODG00000007369
vombatus_ursinus ENSVURG00010015780
phascolarctos_cinereus ENSPCIG00000007553
ornithorhynchus_anatinus ENSOANG00000012757
xenopus_tropicalis ENSXETG00000006888
anser_brachyrhynchus ENSABRG00000010289
anas_platyrhynchos ENSAPLG00000013935
gallus_gallus ENSGALG00000006325
meleagris_gallopavo ENSMGAG00000007685
coturnix_japonica ENSCJPG00005016121
numida_meleagris ENSNMEG00000020254
calidris_pygmaea ENSCPGG00000005788
calidris_pugnax ENSCPUG00000019851
lepidothrix_coronata ENSLCOG00000012164
manacus_vitellinus ENSMVIG00005018146
zonotrichia_albicollis ENSZALG00000016798
junco_hyemalis ENSJHYG00000002604
serinus_canaria ENSSCAG00000004983
taeniopygia_guttata ENSTGUG00000008258
taeniopygia_guttata ENSTGUG00000014725
lonchura_striata ENSLSDG00000009783
ficedula_albicollis ENSFALG00000012626
parus_major ENSPMJG00000012828
cyanistes_caeruleus ENSCCEG00000021933
melopsittacus_undulatus ENSMUNG00000005978
gopherus_agassizii ENSGAGG00000025699
chelonoidis_abingdonii ENSCABG00000004689
chrysemys_picta ENSCPBG00000014510
pelodiscus_sinensis ENSPSIG00000012209
crocodylus_porosus ENSCPRG00005017757
ornithorhynchus_anatinus ENSOANG00000031881
apteryx_haastii ENSAHAG00000009321
apteryx_owenii ENSAOWG00000018566
apteryx_rowi ENSARWG00000004101
dromaius_novaehollandiae ENSDNVG00000002866
nothoprocta_perdicaria ENSNPEG00000005268
ornithorhynchus_anatinus ENSOANG00000002490
pogona_vitticeps ENSPVIG00000020358
anolis_carolinensis ENSACAG00000013682
notechis_scutatus ENSNSUG00000001741
salvator_merianae ENSSMRG00000002514
latimeria_chalumnae ENSLACG00000011379
erpetoichthys_calabaricus ENSECRG00000022204
callorhinchus_milii ENSCMIG00000019547
