paramormyrops_kingsleyae ENSPKIG00000019581
scleropages_formosus ENSSFOG00015008830
poecilia_latipinna ENSPLAG00000001577
poecilia_mexicana ENSPMEG00000002202
poecilia_formosa ENSPFOG00000017646
poecilia_reticulata ENSPREG00000011151
xiphophorus_maculatus ENSXMAG00000006658
xiphophorus_couchianus ENSXCOG00000005353
gambusia_affinis ENSGAFG00000014682
cyprinodon_variegatus ENSCVAG00000006765
scophthalmus_maximus ENSSMAG00000004175
mola_mola ENSMMOG00000007649
oryzias_latipes_asm223469v1 ENSORLG00015005645
oryzias_latipes ENSORLG00000002073
oryzias_melastigma ENSOMEG00000001131
kryptolebias_marmoratus ENSKMAG00000017345
haplochromis_burtoni ENSHBUG00000004621
astatotilapia_calliptera ENSACLG00000001714
maylandia_zebra ENSMZEG00005002979
neolamprologus_brichardi ENSNBRG00000007193
oreochromis_niloticus ENSONIG00000015470
amphilophus_citrinellus ENSACIG00000011991
amphiprion_percula ENSAPEG00000013765
amphiprion_ocellaris ENSAOCG00000015503
acanthochromis_polyacanthus ENSAPOG00000000328
stegastes_partitus ENSSPAG00000017643
seriola_dumerili ENSSDUG00000005448
seriola_lalandi_dorsalis ENSSLDG00000024308
mastacembelus_armatus ENSMAMG00000022583
gasterosteus_aculeatus ENSGACG00000011099
anabas_testudineus ENSATEG00000019085
monopterus_albus ENSMALG00000010382
acanthochromis_polyacanthus ENSAPOG00000014437
labrus_bergylta ENSLBEG00000001502
labrus_bergylta ENSLBEG00000001452
takifugu_rubripes ENSTRUG00000012512
tetraodon_nigroviridis ENSTNIG00000018684
fundulus_heteroclitus ENSFHEG00000006452
hippocampus_comes ENSHCOG00000018929
cynoglossus_semilaevis ENSCSEG00000004341
periophthalmus_magnuspinnatus ENSPMGG00000007822
gadus_morhua ENSGMOG00000012218
esox_lucius ENSELUG00000005195
astyanax_mexicanus ENSAMXG00000036185
pygocentrus_nattereri ENSPNAG00000027046
ictalurus_punctatus ENSIPUG00000014359
danio_rerio ENSDARG00000055445
lepisosteus_oculatus ENSLOCG00000006947
calidris_pygmaea ENSCPGG00000016636
calidris_pugnax ENSCPUG00000011322
melopsittacus_undulatus ENSMUNG00000008335
lepidothrix_coronata ENSLCOG00000005646
manacus_vitellinus ENSMVIG00005018818
anser_brachyrhynchus ENSABRG00000020597
anas_platyrhynchos_platyrhynchos ENSAPLG00000011955
coturnix_japonica ENSCJPG00005015912
gallus_gallus ENSGALG00000002892
meleagris_gallopavo ENSMGAG00000003706
numida_meleagris ENSNMEG00000014985
apteryx_owenii ENSAOWG00000016061
apteryx_haastii ENSAHAG00000008933
apteryx_rowi ENSARWG00000001240
dromaius_novaehollandiae ENSDNVG00000010857
nothoprocta_perdicaria ENSNPEG00000001344
crocodylus_porosus ENSCPRG00005006063
gopherus_agassizii ENSGAGG00000024325
chelonoidis_abingdonii ENSCABG00000008368
chrysemys_picta_bellii ENSCPBG00000015449
pelodiscus_sinensis ENSPSIG00000002807
pogona_vitticeps ENSPVIG00000025617
anolis_carolinensis ENSACAG00000010180
notechis_scutatus ENSNSUG00000013358
salvator_merianae ENSSMRG00000016602
sphenodon_punctatus ENSSPUG00000007827
sarcophilus_harrisii ENSSHAG00000001621
monodelphis_domestica ENSMODG00000029083
ornithorhynchus_anatinus ENSOANG00000011978
xenopus_tropicalis ENSXETG00000020972
latimeria_chalumnae ENSLACG00000007094
