serinus_canaria ENSSCAG00000001060
anas_platyrhynchos_platyrhynchos ENSAPLG00000006540
ursus_maritimus ENSUMAG00000011366
ursus_americanus ENSUAMG00000001920
neovison_vison ENSNVIG00000000865
felis_catus ENSFCAG00000036908
panthera_pardus ENSPPRG00000014923
nannospalax_galili ENSNGAG00000019313
mus_spicilegus ENSMSIG00000022682
microtus_ochrogaster ENSMOCG00000015937
jaculus_jaculus ENSJJAG00000006333
castor_canadensis ENSCCNG00000021505
octodon_degus ENSODEG00000004464
octodon_degus ENSODEG00000014438
octodon_degus ENSODEG00000004454
cavia_aperea ENSCAPG00000013379
heterocephalus_glaber_male ENSHGLG00100014934
dipodomys_ordii ENSDORG00000011662
dipodomys_ordii ENSDORG00000023826
saimiri_boliviensis_boliviensis ENSSBOG00000002716
gorilla_gorilla ENSGGOG00000026687
monodelphis_domestica ENSMODG00000024081
xiphophorus_couchianus ENSXCOG00000012510
