stegastes_partitus ENSSPAG00000021644
oryzias_latipes ENSORLG00020006760
labrus_bergylta ENSLBEG00000020463
esox_lucius ENSELUG00000018941
astyanax_mexicanus ENSAMXG00000030735
scleropages_formosus ENSSFOG00015014997
gopherus_agassizii ENSGAGG00000025838
chelonoidis_abingdonii ENSCABG00000011951
chrysemys_picta_bellii ENSCPBG00000004729
gallus_gallus ENSGALG00000052702
coturnix_japonica ENSCJPG00005012467
anser_brachyrhynchus ENSABRG00000014764
anas_platyrhynchos_platyrhynchos ENSAPLG00000022684
lonchura_striata_domestica ENSLSDG00000010291
junco_hyemalis ENSJHYG00000005346
calidris_pygmaea ENSCPGG00000014643
calidris_pugnax ENSCPUG00000017219
nothoprocta_perdicaria ENSNPEG00000004734
notechis_scutatus ENSNSUG00000019729
pogona_vitticeps ENSPVIG00000016833
sphenodon_punctatus ENSSPUG00000017051
fukomys_damarensis ENSFDAG00000010882
