equus_asinus ENSEASG00005017284
equus_caballus ENSECAG00000032857
capra_hircus ENSCHIG00000016018
vulpes_vulpes ENSVVUG00000002132
canis_lupus ENSCAFG00020012194
neovison_vison ENSNVIG00000000545
ursus_maritimus ENSUMAG00000003614
ursus_americanus ENSUAMG00000008118
octodon_degus ENSODEG00000001512
dipodomys_ordii ENSDORG00000028425
microcebus_murinus ENSMICG00000031022
castor_canadensis ENSCCNG00000007889
ursus_maritimus ENSUMAG00000007282
ursus_americanus ENSUAMG00000011644
macaca_mulatta ENSMMUG00000040794
chelonoidis_abingdonii ENSCABG00000000795
chelonoidis_abingdonii ENSCABG00000001181
