dipodomys_ordii ENSDORG00000003353
castor_canadensis ENSCCNG00000016201
cricetulus_griseus_chok1gshd ENSCGRG00001018418
cricetulus_griseus_crigri ENSCGRG00000019926
cricetulus_griseus_crigri-picr ENSCGRG00015022233
microtus_ochrogaster ENSMOCG00000003038
peromyscus_maniculatus_bairdii ENSPEMG00000013846
mus_spicilegus ENSMSIG00000024772
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020856
mus_musculus ENSMUSG00000054967
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019953
mus_pahari MGP_PahariEiJ_G0019963
rattus_norvegicus ENSRNOG00000050661
rattus_norvegicus ENSRNOG00000050651
meriones_unguiculatus ENSMUGG00000012293
nannospalax_galili ENSNGAG00000024224
jaculus_jaculus ENSJJAG00000012017
urocitellus_parryii ENSUPAG00010000235
ictidomys_tridecemlineatus ENSSTOG00000013450
spermophilus_dauricus ENSSDAG00000012434
marmota_marmota_marmota ENSMMMG00000008507
heterocephalus_glaber_female ENSHGLG00000016936
heterocephalus_glaber_male ENSHGLG00100011157
fukomys_damarensis ENSFDAG00000006421
chinchilla_lanigera ENSCLAG00000008941
octodon_degus ENSODEG00000012138
cavia_porcellus ENSCPOG00000037247
cavia_aperea ENSCAPG00000013626
ochotona_princeps ENSOPRG00000014807
tupaia_belangeri ENSTBEG00000003713
pan_troglodytes ENSPTRG00000044805
pan_paniscus ENSPPAG00000037648
homo_sapiens ENSG00000196150
gorilla_gorilla ENSGGOG00000043160
pongo_abelii ENSPPYG00000018996
nomascus_leucogenys ENSNLEG00000034347
theropithecus_gelada ENSTGEG00000019920
chlorocebus_sabaeus ENSCSAG00000008192
macaca_nemestrina ENSMNEG00000040466
macaca_fascicularis ENSMFAG00000001471
macaca_mulatta ENSMMUG00000011548
papio_anubis ENSPANG00000017990
mandrillus_leucophaeus ENSMLEG00000028107
cercocebus_atys ENSCATG00000034353
piliocolobus_tephrosceles ENSPTEG00000022509
colobus_angolensis_palliatus ENSCANG00000029369
rhinopithecus_bieti ENSRBIG00000010076
callithrix_jacchus ENSCJAG00000021381
saimiri_boliviensis_boliviensis ENSSBOG00000022519
cebus_capucinus ENSCCAG00000029410
aotus_nancymaae ENSANAG00000027862
carlito_syrichta ENSTSYG00000034910
propithecus_coquereli ENSPCOG00000017191
microcebus_murinus ENSMICG00000042144
prolemur_simus ENSPSMG00000019474
cercocebus_atys ENSCATG00000031021
otolemur_garnettii ENSOGAG00000028856
mustela_putorius_furo ENSMPUG00000006008
neovison_vison ENSNVIG00000024187
canis_lupus_familiaris ENSCAFG00000030799
canis_lupus_dingo ENSCAFG00020021041
vulpes_vulpes ENSVVUG00000005483
ursus_americanus ENSUAMG00000007843
ursus_maritimus ENSUMAG00000019346
panthera_pardus ENSPPRG00000007754
panthera_tigris_altaica ENSPTIG00000017757
felis_catus ENSFCAG00000013730
pteropus_vampyrus ENSPVAG00000002855
capra_hircus ENSCHIG00000022921
ovis_aries ENSOARG00000012544
bos_mutus ENSBMUG00000000565
bos_taurus ENSBTAG00000054022
tursiops_truncatus ENSTTRG00000013860
sorex_araneus ENSSARG00000004999
erinaceus_europaeus ENSEEUG00000004809
sus_scrofa ENSSSCG00000036160
ailuropoda_melanoleuca ENSAMEG00000005352
equus_asinus_asinus ENSEASG00005010981
equus_caballus ENSECAG00000000390
loxodonta_africana ENSLAFG00000016670
procavia_capensis ENSPCAG00000000092
echinops_telfairi ENSETEG00000012126
dasypus_novemcinctus ENSDNOG00000037059
