neolamprologus_brichardi ENSNBRG00000022900
pundamilia_nyererei ENSPNYG00000013941
amphilophus_citrinellus ENSACIG00000023190
stegastes_partitus ENSSPAG00000021915
mola_mola ENSMMOG00000008616
takifugu_rubripes ENSTRUG00000020128
hippocampus_comes ENSHCOG00000010483
cynoglossus_semilaevis ENSCSEG00000014481
seriola_dumerili ENSSDUG00000014328
monopterus_albus ENSMALG00000006321
periophthalmus_magnuspinnatus ENSPMGG00000012851
hucho_hucho ENSHHUG00000045470
electrophorus_electricus ENSEEEG00000017899
