castor_canadensis ENSCCNG00000022971
dipodomys_ordii ENSDORG00000025513
microtus_ochrogaster ENSMOCG00000000255
peromyscus_maniculatus_bairdii ENSPEMG00000020558
cricetulus_griseus_chok1gshd ENSCGRG00001009769
cricetulus_griseus_crigri-picr ENSCGRG00015021833
cricetulus_griseus_crigri ENSCGRG00000009495
mesocricetus_auratus ENSMAUG00000019400
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025580
mus_spicilegus ENSMSIG00000022285
mus_musculus ENSMUSG00000067704
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024660
mus_pahari MGP_PahariEiJ_G0026102
rattus_norvegicus ENSRNOG00000045656
nannospalax_galili ENSNGAG00000019004
jaculus_jaculus ENSJJAG00000020079
cavia_porcellus ENSCPOG00000006258
spermophilus_dauricus ENSSDAG00000004947
urocitellus_parryii ENSUPAG00010002717
marmota_marmota_marmota ENSMMMG00000005335
oryctolagus_cuniculus ENSOCUG00000008698
tupaia_belangeri ENSTBEG00000011802
rhinopithecus_roxellana ENSRROG00000044109
rhinopithecus_bieti ENSRBIG00000014744
piliocolobus_tephrosceles ENSPTEG00000024233
colobus_angolensis_palliatus ENSCANG00000027972
papio_anubis ENSPANG00000020820
cercocebus_atys ENSCATG00000036819
theropithecus_gelada ENSTGEG00000019858
macaca_fascicularis ENSMFAG00000001764
macaca_nemestrina ENSMNEG00000029612
chlorocebus_sabaeus ENSCSAG00000014472
mandrillus_leucophaeus ENSMLEG00000041551
pan_troglodytes ENSPTRG00000049690
pan_paniscus ENSPPAG00000041514
homo_sapiens ENSG00000168634
gorilla_gorilla ENSGGOG00000016044
nomascus_leucogenys ENSNLEG00000006763
cebus_capucinus ENSCCAG00000023254
saimiri_boliviensis_boliviensis ENSSBOG00000027591
callithrix_jacchus ENSCJAG00000046754
aotus_nancymaae ENSANAG00000035207
carlito_syrichta ENSTSYG00000032301
propithecus_coquereli ENSPCOG00000009708
prolemur_simus ENSPSMG00000006900
microcebus_murinus ENSMICG00000011200
otolemur_garnettii ENSOGAG00000004981
erinaceus_europaeus ENSEEUG00000007456
sorex_araneus ENSSARG00000010877
bison_bison_bison ENSBBBG00000012587
bos_mutus ENSBMUG00000004582
ovis_aries ENSOARG00000006203
vicugna_pacos ENSVPAG00000002358
neovison_vison ENSNVIG00000010320
ailuropoda_melanoleuca ENSAMEG00000012500
canis_lupus_familiaris ENSCAFG00000009728
panthera_pardus ENSPPRG00000022539
panthera_tigris_altaica ENSPTIG00000009856
felis_catus ENSFCAG00000041034
