procavia_capensis ENSPCAG00000009039
loxodonta_africana ENSLAFG00000006312
echinops_telfairi ENSETEG00000020393
echinops_telfairi ENSETEG00000004264
dasypus_novemcinctus ENSDNOG00000004874
choloepus_hoffmanni ENSCHOG00000001818
homo_sapiens ENSG00000139350
gorilla_gorilla ENSGGOG00000010743
pan_paniscus ENSPPAG00000028158
pan_troglodytes ENSPTRG00000005329
pongo_abelii ENSPPYG00000004856
nomascus_leucogenys ENSNLEG00000005930
macaca_fascicularis ENSMFAG00000002214
macaca_mulatta ENSMMUG00000004093
macaca_nemestrina ENSMNEG00000038563
cercocebus_atys ENSCATG00000040561
papio_anubis ENSPANG00000023046
theropithecus_gelada ENSTGEG00000003472
mandrillus_leucophaeus ENSMLEG00000023576
chlorocebus_sabaeus ENSCSAG00000003548
rhinopithecus_roxellana ENSRROG00000016098
rhinopithecus_bieti ENSRBIG00000006992
colobus_angolensis_palliatus ENSCANG00000021776
piliocolobus_tephrosceles ENSPTEG00000002527
callithrix_jacchus ENSCJAG00000002430
saimiri_boliviensis_boliviensis ENSSBOG00000032018
cebus_capucinus ENSCCAG00000021182
aotus_nancymaae ENSANAG00000023249
carlito_syrichta ENSTSYG00000011605
microcebus_murinus ENSMICG00000015320
propithecus_coquereli ENSPCOG00000022969
prolemur_simus ENSPSMG00000005700
otolemur_garnettii ENSOGAG00000005824
heterocephalus_glaber_female ENSHGLG00000012733
heterocephalus_glaber_male ENSHGLG00100013498
fukomys_damarensis ENSFDAG00000014970
cavia_porcellus ENSCPOG00000009631
cavia_aperea ENSCAPG00000014020
octodon_degus ENSODEG00000009573
chinchilla_lanigera ENSCLAG00000013064
urocitellus_parryii ENSUPAG00010006247
spermophilus_dauricus ENSSDAG00000004698
marmota_marmota_marmota ENSMMMG00000019953
castor_canadensis ENSCCNG00000015770
dipodomys_ordii ENSDORG00000001204
microtus_ochrogaster ENSMOCG00000016729
peromyscus_maniculatus_bairdii ENSPEMG00000022166
cricetulus_griseus_chok1gshd ENSCGRG00001019132
cricetulus_griseus_crigri-picr ENSCGRG00015019553
cricetulus_griseus_crigri ENSCGRG00000002210
mesocricetus_auratus ENSMAUG00000013081
mus_spicilegus ENSMSIG00000005076
mus_musculus ENSMUSG00000019988
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016545
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015727
mus_pahari MGP_PahariEiJ_G0031358
rattus_norvegicus ENSRNOG00000004011
meriones_unguiculatus ENSMUGG00000008252
nannospalax_galili ENSNGAG00000022549
jaculus_jaculus ENSJJAG00000010994
oryctolagus_cuniculus ENSOCUG00000010944
ochotona_princeps ENSOPRG00000000232
ursus_maritimus ENSUMAG00000004163
ursus_americanus ENSUAMG00000011059
ailuropoda_melanoleuca ENSAMEG00000004999
neovison_vison ENSNVIG00000008215
mustela_putorius_furo ENSMPUG00000006970
canis_lupus_dingo ENSCAFG00020023737
canis_lupus_dingo ENSCAFG00020023735
canis_lupus_familiaris ENSCAFG00000006509
vulpes_vulpes ENSVVUG00000018845
panthera_pardus ENSPPRG00000011575
panthera_tigris_altaica ENSPTIG00000021449
felis_catus ENSFCAG00000031627
erinaceus_europaeus ENSEEUG00000002123
erinaceus_europaeus ENSEEUG00000009959
vicugna_pacos ENSVPAG00000010713
sus_scrofa ENSSSCG00000000890
bos_mutus ENSBMUG00000005582
bos_taurus ENSBTAG00000001894
bison_bison_bison ENSBBBG00000006133
capra_hircus ENSCHIG00000024930
ovis_aries ENSOARG00000012759
tursiops_truncatus ENSTTRG00000009350
equus_caballus ENSECAG00000013725
equus_asinus_asinus ENSEASG00005019539
sorex_araneus ENSSARG00000001211
pteropus_vampyrus ENSPVAG00000013058
myotis_lucifugus ENSMLUG00000001626
phascolarctos_cinereus ENSPCIG00000027170
notamacropus_eugenii ENSMEUG00000015060
sarcophilus_harrisii ENSSHAG00000016136
monodelphis_domestica ENSMODG00000007794
ornithorhynchus_anatinus ENSOANG00000006600
calidris_pygmaea ENSCPGG00000004907
calidris_pugnax ENSCPUG00000002552
melopsittacus_undulatus ENSMUNG00000005061
anser_brachyrhynchus ENSABRG00000012646
apteryx_haastii ENSAHAG00000018188
apteryx_owenii ENSAOWG00000007685
apteryx_rowi ENSARWG00000008911
dromaius_novaehollandiae ENSDNVG00000011172
nothoprocta_perdicaria ENSNPEG00000007620
crocodylus_porosus ENSCPRG00005019125
gopherus_agassizii ENSGAGG00000000734
chelonoidis_abingdonii ENSCABG00000004378
chrysemys_picta_bellii ENSCPBG00000002300
pelodiscus_sinensis ENSPSIG00000012665
sphenodon_punctatus ENSSPUG00000018534
