capra_hircus ENSCHIG00000019537
ovis_aries ENSOARG00000007618
bos_taurus ENSBTAG00000049808
bos_mutus ENSBMUG00000022208
tursiops_truncatus ENSTTRG00000015398
equus_caballus ENSECAG00000040065
equus_asinus_asinus ENSEASG00005014070
ailuropoda_melanoleuca ENSAMEG00000005621
ursus_maritimus ENSUMAG00000019003
mustela_putorius_furo ENSMPUG00000001223
canis_lupus_familiaris ENSCAFG00000011047
canis_lupus_dingo ENSCAFG00020001393
vulpes_vulpes ENSVVUG00000008070
felis_catus ENSFCAG00000043443
propithecus_coquereli ENSPCOG00000024169
prolemur_simus ENSPSMG00000025818
microcebus_murinus ENSMICG00000043246
otolemur_garnettii ENSOGAG00000034201
homo_sapiens ENSG00000185291
gorilla_gorilla ENSGGOG00000038835
pongo_abelii ENSPPYG00000020938
pan_troglodytes ENSPTRG00000046054
pongo_abelii ENSPPYG00000020080
rhinopithecus_roxellana ENSRROG00000035080
rhinopithecus_bieti ENSRBIG00000034672
colobus_angolensis_palliatus ENSCANG00000042493
macaca_mulatta ENSMMUG00000046332
macaca_nemestrina ENSMNEG00000040370
chlorocebus_sabaeus ENSCSAG00000018074
cercocebus_atys ENSCATG00000035971
mandrillus_leucophaeus ENSMLEG00000035266
theropithecus_gelada ENSTGEG00000011828
saimiri_boliviensis_boliviensis ENSSBOG00000019496
cebus_capucinus ENSCCAG00000026973
callithrix_jacchus ENSCJAG00000001783
rattus_norvegicus ENSRNOG00000001325
mus_pahari MGP_PahariEiJ_G0029976
meriones_unguiculatus ENSMUGG00000004169
cricetulus_griseus_crigri-picr ENSCGRG00015000259
castor_canadensis ENSCCNG00000006052
oryctolagus_cuniculus ENSOCUG00000022761
procavia_capensis ENSPCAG00000010553
loxodonta_africana ENSLAFG00000027300
