lepisosteus_oculatus ENSLOCG00000012581
seriola_lalandi_dorsalis ENSSLDG00000006784
pogona_vitticeps ENSPVIG00000004587
anolis_carolinensis ENSACAG00000004928
notechis_scutatus ENSNSUG00000006194
sphenodon_punctatus ENSSPUG00000009602
chrysemys_picta_bellii ENSCPBG00000007302
gopherus_agassizii ENSGAGG00000012928
pelodiscus_sinensis ENSPSIG00000006309
pelodiscus_sinensis ENSPSIG00000005911
chelonoidis_abingdonii ENSCABG00000001092
sphenodon_punctatus ENSSPUG00000009608
notamacropus_eugenii ENSMEUG00000009091
phascolarctos_cinereus ENSPCIG00000011653
sarcophilus_harrisii ENSSHAG00000005187
monodelphis_domestica ENSMODG00000001532
ursus_americanus ENSUAMG00000012863
ursus_maritimus ENSUMAG00000014159
ailuropoda_melanoleuca ENSAMEG00000013050
neovison_vison ENSNVIG00000002971
mustela_putorius_furo ENSMPUG00000003562
panthera_tigris_altaica ENSPTIG00000002659
panthera_pardus ENSPPRG00000024760
felis_catus ENSFCAG00000022550
canis_lupus_familiaris ENSCAFG00000015851
canis_lupus_dingo ENSCAFG00020013931
vulpes_vulpes ENSVVUG00000025572
pteropus_vampyrus ENSPVAG00000008955
bos_mutus ENSBMUG00000003608
bos_taurus ENSBTAG00000032858
bison_bison_bison ENSBBBG00000004016
capra_hircus ENSCHIG00000009877
ovis_aries ENSOARG00000010256
tursiops_truncatus ENSTTRG00000016392
sus_scrofa ENSSSCG00000010338
vicugna_pacos ENSVPAG00000004425
equus_asinus_asinus ENSEASG00005019893
equus_caballus ENSECAG00000035666
macaca_nemestrina ENSMNEG00000002410
macaca_fascicularis ENSMFAG00000036906
macaca_mulatta ENSMMUG00000048133
theropithecus_gelada ENSTGEG00000017175
papio_anubis ENSPANG00000022585
cercocebus_atys ENSCATG00000002011
mandrillus_leucophaeus ENSMLEG00000030490
chlorocebus_sabaeus ENSCSAG00000009406
piliocolobus_tephrosceles ENSPTEG00000000364
colobus_angolensis_palliatus ENSCANG00000028887
rhinopithecus_roxellana ENSRROG00000043316
rhinopithecus_bieti ENSRBIG00000025903
pan_troglodytes ENSPTRG00000002683
gorilla_gorilla ENSGGOG00000002717
pan_paniscus ENSPPAG00000009095
homo_sapiens ENSG00000170788
pongo_abelii ENSPPYG00000002289
nomascus_leucogenys ENSNLEG00000010716
cebus_capucinus ENSCCAG00000026278
callithrix_jacchus ENSCJAG00000003641
saimiri_boliviensis_boliviensis ENSSBOG00000019659
aotus_nancymaae ENSANAG00000035683
carlito_syrichta ENSTSYG00000000007
propithecus_coquereli ENSPCOG00000007484
prolemur_simus ENSPSMG00000016025
urocitellus_parryii ENSUPAG00010002305
urocitellus_parryii ENSUPAG00010008883
ictidomys_tridecemlineatus ENSSTOG00000012858
marmota_marmota_marmota ENSMMMG00000010873
cricetulus_griseus_crigri-picr ENSCGRG00015017254
cricetulus_griseus_crigri ENSCGRG00000013884
cricetulus_griseus_chok1gshd ENSCGRG00001000992
mesocricetus_auratus ENSMAUG00000004246
microtus_ochrogaster ENSMOCG00000008679
peromyscus_maniculatus_bairdii ENSPEMG00000013569
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020027
mus_spicilegus ENSMSIG00000025391
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019141
mus_musculus ENSMUSG00000021790
mus_pahari MGP_PahariEiJ_G0030157
rattus_norvegicus ENSRNOG00000011165
meriones_unguiculatus ENSMUGG00000007383
nannospalax_galili ENSNGAG00000016125
jaculus_jaculus ENSJJAG00000017106
dipodomys_ordii ENSDORG00000006656
heterocephalus_glaber_female ENSHGLG00000005866
heterocephalus_glaber_male ENSHGLG00100000125
fukomys_damarensis ENSFDAG00000014748
octodon_degus ENSODEG00000010939
chinchilla_lanigera ENSCLAG00000000126
cavia_porcellus ENSCPOG00000006995
oryctolagus_cuniculus ENSOCUG00000029549
myotis_lucifugus ENSMLUG00000001277
otolemur_garnettii ENSOGAG00000004027
microcebus_murinus ENSMICG00000047425
tupaia_belangeri ENSTBEG00000015714
erinaceus_europaeus ENSEEUG00000011505
sorex_araneus ENSSARG00000007190
loxodonta_africana ENSLAFG00000018605
procavia_capensis ENSPCAG00000003879
echinops_telfairi ENSETEG00000017479
dasypus_novemcinctus ENSDNOG00000016410
ornithorhynchus_anatinus ENSOANG00000004121
