cercocebus_atys ENSCATG00000036856
macaca_fascicularis ENSMFAG00000035424
piliocolobus_tephrosceles ENSPTEG00000039196
carlito_syrichta ENSTSYG00000034760
choloepus_hoffmanni ENSCHOG00000002402
notamacropus_eugenii ENSMEUG00000011774
equus_caballus ENSECAG00000010046
apteryx_rowi ENSARWG00000004773
microcebus_murinus ENSMICG00000033790
papio_anubis ENSPANG00000000819
macaca_nemestrina ENSMNEG00000042255
theropithecus_gelada ENSTGEG00000005482
pan_troglodytes ENSPTRG00000046866
pan_paniscus ENSPPAG00000031857
gorilla_gorilla ENSGGOG00000014675
homo_sapiens ENSG00000106615
nomascus_leucogenys ENSNLEG00000004500
octodon_degus ENSODEG00000009963
cavia_porcellus ENSCPOG00000031743
heterocephalus_glaber ENSHGLG00000006790
jaculus_jaculus ENSJJAG00000001611
capra_hircus ENSCHIG00000017350
sorex_araneus ENSSARG00000006331
pteropus_vampyrus ENSPVAG00000014509
pan_troglodytes ENSPTRG00000047231
chelonoidis_abingdonii ENSCABG00000009384
gopherus_agassizii ENSGAGG00000022981
chelonoidis_abingdonii ENSCABG00000005111
chrysemys_picta ENSCPBG00000018286
pelodiscus_sinensis ENSPSIG00000010115
junco_hyemalis ENSJHYG00000004441
zonotrichia_albicollis ENSZALG00000001457
parus_major ENSPMJG00000004916
lepidothrix_coronata ENSLCOG00000010306
gallus_gallus ENSGALG00000039880
coturnix_japonica ENSCJPG00005000097
numida_meleagris ENSNMEG00000005920
anas_platyrhynchos ENSAPLG00000022733
calidris_pygmaea ENSCPGG00000016567
notechis_scutatus ENSNSUG00000012232
pogona_vitticeps ENSPVIG00000011144
salvator_merianae ENSSMRG00000014422
dipodomys_ordii ENSDORG00000010304
cavia_porcellus ENSCPOG00000032695
heterocephalus_glaber ENSHGLG00100014648
jaculus_jaculus ENSJJAG00000007504
rhinopithecus_roxellana ENSRROG00000041811
rhinopithecus_bieti ENSRBIG00000026235
colobus_angolensis ENSCANG00000040939
pan_paniscus ENSPPAG00000027560
ailuropoda_melanoleuca ENSAMEG00000013453
ursus_americanus ENSUAMG00000002910
mustela_putorius ENSMPUG00000008995
neovison_vison ENSNVIG00000000981
myotis_lucifugus ENSMLUG00000004309
anser_brachyrhynchus ENSABRG00000020029
taeniopygia_guttata ENSTGUG00000014923
gopherus_agassizii ENSGAGG00000000339
sphenodon_punctatus ENSSPUG00000018361
otolemur_garnettii ENSOGAG00000008642
carlito_syrichta ENSTSYG00000001286
marmota_marmota ENSMMMG00000005420
spermophilus_dauricus ENSSDAG00000019752
chinchilla_lanigera ENSCLAG00000001338
tursiops_truncatus ENSTTRG00000017056
vulpes_vulpes ENSVVUG00000007512
melopsittacus_undulatus ENSMUNG00000004199
