vulpes_vulpes ENSVVUG00000008203
canis_lupus_dingo ENSCAFG00020024978
felis_catus ENSFCAG00000041316
prolemur_simus ENSPSMG00000002698
microcebus_murinus ENSMICG00000013067
otolemur_garnettii ENSOGAG00000000936
gorilla_gorilla ENSGGOG00000011579
pan_troglodytes ENSPTRG00000040156
mandrillus_leucophaeus ENSMLEG00000029327
carlito_syrichta ENSTSYG00000013952
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028579
mus_spicilegus ENSMSIG00000008031
mus_pahari MGP_PahariEiJ_G0024163
cricetulus_griseus_chok1gshd ENSCGRG00001017517
zonotrichia_albicollis ENSZALG00000010688
