ovis_aries ENSOARG00000003361
capra_hircus ENSCHIG00000019289
bos_taurus ENSBTAG00000008635
bos_mutus ENSBMUG00000026329
tursiops_truncatus ENSTTRG00000005546
sus_scrofa ENSSSCG00000021557
myotis_lucifugus ENSMLUG00000003453
pteropus_vampyrus ENSPVAG00000017660
neovison_vison ENSNVIG00000001333
mustela_putorius_furo ENSMPUG00000012666
ursus_maritimus ENSUMAG00000010973
ursus_americanus ENSUAMG00000010178
ailuropoda_melanoleuca ENSAMEG00000015358
canis_lupus_dingo ENSCAFG00020017598
canis_lupus_familiaris ENSCAFG00000017122
vulpes_vulpes ENSVVUG00000025992
panthera_tigris_altaica ENSPTIG00000012172
panthera_pardus ENSPPRG00000006806
felis_catus ENSFCAG00000027639
equus_caballus ENSECAG00000021518
equus_asinus_asinus ENSEASG00005014748
sorex_araneus ENSSARG00000006365
sorex_araneus ENSSARG00000003472
erinaceus_europaeus ENSEEUG00000008558
microcebus_murinus ENSMICG00000009999
prolemur_simus ENSPSMG00000020986
otolemur_garnettii ENSOGAG00000015796
carlito_syrichta ENSTSYG00000009908
tupaia_belangeri ENSTBEG00000015711
dipodomys_ordii ENSDORG00000007003
nannospalax_galili ENSNGAG00000011841
marmota_marmota_marmota ENSMMMG00000023639
fukomys_damarensis ENSFDAG00000015814
octodon_degus ENSODEG00000013542
octodon_degus ENSODEG00000014553
chinchilla_lanigera ENSCLAG00000010427
cavia_porcellus ENSCPOG00000003910
cavia_aperea ENSCAPG00000012919
castor_canadensis ENSCCNG00000000323
mus_spicilegus ENSMSIG00000015694
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031571
mus_musculus ENSMUSG00000030711
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030457
mus_pahari MGP_PahariEiJ_G0013667
rattus_norvegicus ENSRNOG00000019342
meriones_unguiculatus ENSMUGG00000011972
cricetulus_griseus_chok1gshd ENSCGRG00001018863
cricetulus_griseus_crigri ENSCGRG00000006234
cricetulus_griseus_crigri-picr ENSCGRG00015025669
mesocricetus_auratus ENSMAUG00000011339
microtus_ochrogaster ENSMOCG00000005225
peromyscus_maniculatus_bairdii ENSPEMG00000010934
peromyscus_maniculatus_bairdii ENSPEMG00000013756
jaculus_jaculus ENSJJAG00000018594
urocitellus_parryii ENSUPAG00010012208
spermophilus_dauricus ENSSDAG00000007875
ictidomys_tridecemlineatus ENSSTOG00000025698
urocitellus_parryii ENSUPAG00010011945
ictidomys_tridecemlineatus ENSSTOG00000020854
ictidomys_tridecemlineatus ENSSTOG00000027156
spermophilus_dauricus ENSSDAG00000007859
marmota_marmota_marmota ENSMMMG00000023645
spermophilus_dauricus ENSSDAG00000022914
ictidomys_tridecemlineatus ENSSTOG00000026583
urocitellus_parryii ENSUPAG00010009779
spermophilus_dauricus ENSSDAG00000007749
marmota_marmota_marmota ENSMMMG00000023642
oryctolagus_cuniculus ENSOCUG00000001536
ochotona_princeps ENSOPRG00000009295
loxodonta_africana ENSLAFG00000017912
procavia_capensis ENSPCAG00000003406
dasypus_novemcinctus ENSDNOG00000006489
choloepus_hoffmanni ENSCHOG00000013841
phascolarctos_cinereus ENSPCIG00000025199
notamacropus_eugenii ENSMEUG00000006240
monodelphis_domestica ENSMODG00000015650
sarcophilus_harrisii ENSSHAG00000011250
ornithorhynchus_anatinus ENSOANG00000009695
