pan_paniscus ENSPPAG00000026183
pan_troglodytes ENSPTRG00000039451
homo_sapiens ENSG00000227059
gorilla_gorilla ENSGGOG00000024900
nomascus_leucogenys ENSNLEG00000012507
piliocolobus_tephrosceles ENSPTEG00000030662
colobus_angolensis ENSCANG00000014345
rhinopithecus_roxellana ENSRROG00000031771
rhinopithecus_bieti ENSRBIG00000039731
macaca_fascicularis ENSMFAG00000042576
macaca_mulatta ENSMMUG00000001259
macaca_nemestrina ENSMNEG00000031323
mandrillus_leucophaeus ENSMLEG00000033695
cercocebus_atys ENSCATG00000042537
papio_anubis ENSPANG00000016069
theropithecus_gelada ENSTGEG00000001686
chlorocebus_sabaeus ENSCSAG00000001805
saimiri_boliviensis ENSSBOG00000026459
cebus_capucinus ENSCCAG00000033850
callithrix_jacchus ENSCJAG00000002388
aotus_nancymaae ENSANAG00000003158
carlito_syrichta ENSTSYG00000032699
microcebus_murinus ENSMICG00000034864
prolemur_simus ENSPSMG00000016351
propithecus_coquereli ENSPCOG00000020106
otolemur_garnettii ENSOGAG00000026442
oryctolagus_cuniculus ENSOCUG00000024082
neovison_vison ENSNVIG00000002062
mustela_putorius ENSMPUG00000002725
ailuropoda_melanoleuca ENSAMEG00000013361
vulpes_vulpes ENSVVUG00000007841
canis_lupus ENSCAFG00000005892
panthera_pardus ENSPPRG00000006299
panthera_tigris ENSPTIG00000015023
felis_catus ENSFCAG00000030622
equus_caballus ENSECAG00000013669
ursus_americanus ENSUAMG00000007486
equus_asinus ENSEASG00005016765
bos_indicus ENSBIXG00005014852
bos_indicus ENSBIXG00000015965
bos_taurus ENSBTAG00000026626
bos_mutus ENSBMUG00000021767
bison_bison ENSBBBG00000017449
ovis_aries ENSOARG00000008922
sus_scrofa ENSSSCG00000035929
sus_scrofa ENSSSCG00000050121
myotis_lucifugus ENSMLUG00000022300
dasypus_novemcinctus ENSDNOG00000037821
loxodonta_africana ENSLAFG00000029353
loxodonta_africana ENSLAFG00000028773
loxodonta_africana ENSLAFG00000032642
phascolarctos_cinereus ENSPCIG00000005319
ornithorhynchus_anatinus ENSOANG00000006862
taeniopygia_guttata ENSTGUG00000009899
zonotrichia_albicollis ENSZALG00000009673
serinus_canaria ENSSCAG00000003742
junco_hyemalis ENSJHYG00000009172
ficedula_albicollis ENSFALG00000007397
apteryx_owenii ENSAOWG00000011655
dromaius_novaehollandiae ENSDNVG00000009508
gopherus_agassizii ENSGAGG00000007226
pelodiscus_sinensis ENSPSIG00000013281
crocodylus_porosus ENSCPRG00005002304
latimeria_chalumnae ENSLACG00000017378
