heterocephalus_glaber_male ENSHGLG00100004857
heterocephalus_glaber_female ENSHGLG00000014993
cavia_porcellus ENSCPOG00000011788
cavia_aperea ENSCAPG00000009401
chinchilla_lanigera ENSCLAG00000000796
urocitellus_parryii ENSUPAG00010009406
ictidomys_tridecemlineatus ENSSTOG00000028830
marmota_marmota_marmota ENSMMMG00000002999
spermophilus_dauricus ENSSDAG00000010571
castor_canadensis ENSCCNG00000010031
dipodomys_ordii ENSDORG00000015825
peromyscus_maniculatus_bairdii ENSPEMG00000021439
microtus_ochrogaster ENSMOCG00000016230
mus_spicilegus ENSMSIG00000031625
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030158
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029105
mus_musculus ENSMUSG00000035545
mus_pahari MGP_PahariEiJ_G0020973
rattus_norvegicus ENSRNOG00000018642
meriones_unguiculatus ENSMUGG00000026061
cricetulus_griseus_crigri-picr ENSCGRG00015000143
cricetulus_griseus_chok1gshd ENSCGRG00001023984
cricetulus_griseus_crigri ENSCGRG00000004826
mesocricetus_auratus ENSMAUG00000012241
nannospalax_galili ENSNGAG00000008519
oryctolagus_cuniculus ENSOCUG00000025334
ochotona_princeps ENSOPRG00000005942
tupaia_belangeri ENSTBEG00000016878
pan_troglodytes ENSPTRG00000011459
pan_troglodytes ENSPTRG00000052654
pan_paniscus ENSPPAG00000031965
gorilla_gorilla ENSGGOG00000005134
nomascus_leucogenys ENSNLEG00000010487
homo_sapiens ENSG00000167615
pongo_abelii ENSPPYG00000010382
papio_anubis ENSPANG00000003867
theropithecus_gelada ENSTGEG00000009760
macaca_fascicularis ENSMFAG00000031963
macaca_mulatta ENSMMUG00000021629
macaca_nemestrina ENSMNEG00000033898
mandrillus_leucophaeus ENSMLEG00000040629
cercocebus_atys ENSCATG00000035135
colobus_angolensis_palliatus ENSCANG00000032408
piliocolobus_tephrosceles ENSPTEG00000039586
rhinopithecus_roxellana ENSRROG00000028135
rhinopithecus_bieti ENSRBIG00000030272
chlorocebus_sabaeus ENSCSAG00000001873
saimiri_boliviensis_boliviensis ENSSBOG00000025068
cebus_capucinus ENSCCAG00000021178
aotus_nancymaae ENSANAG00000027208
aotus_nancymaae ENSANAG00000027042
callithrix_jacchus ENSCJAG00000001225
otolemur_garnettii ENSOGAG00000016672
tursiops_truncatus ENSTTRG00000006597
pteropus_vampyrus ENSPVAG00000015332
equus_asinus_asinus ENSEASG00005021526
equus_caballus ENSECAG00000018343
ursus_americanus ENSUAMG00000009568
ursus_maritimus ENSUMAG00000024692
ailuropoda_melanoleuca ENSAMEG00000005627
mustela_putorius_furo ENSMPUG00000010680
neovison_vison ENSNVIG00000015800
canis_lupus_familiaris ENSCAFG00000002649
canis_lupus_dingo ENSCAFG00020017077
vulpes_vulpes ENSVVUG00000007734
panthera_pardus ENSPPRG00000012226
panthera_tigris_altaica ENSPTIG00000011604
felis_catus ENSFCAG00000002889
microcebus_murinus ENSMICG00000010006
prolemur_simus ENSPSMG00000006005
propithecus_coquereli ENSPCOG00000017059
carlito_syrichta ENSTSYG00000031867
fukomys_damarensis ENSFDAG00000006152
