notamacropus_eugenii ENSMEUG00000003065
phascolarctos_cinereus ENSPCIG00000007497
monodelphis_domestica ENSMODG00000019838
sarcophilus_harrisii ENSSHAG00000014176
pteropus_vampyrus ENSPVAG00000004733
myotis_lucifugus ENSMLUG00000000555
vicugna_pacos ENSVPAG00000011759
sus_scrofa ENSSSCG00000035489
capra_hircus ENSCHIG00000010847
capra_hircus ENSCHIG00000000115
ovis_aries ENSOARG00000019097
bos_taurus ENSBTAG00000021611
bos_mutus ENSBMUG00000009417
bison_bison_bison ENSBBBG00000011500
tursiops_truncatus ENSTTRG00000014068
equus_caballus ENSECAG00000022013
equus_asinus_asinus ENSEASG00005013541
canis_lupus_dingo ENSCAFG00020006414
canis_lupus_familiaris ENSCAFG00000006799
vulpes_vulpes ENSVVUG00000006953
mustela_putorius_furo ENSMPUG00000011792
neovison_vison ENSNVIG00000010445
ursus_maritimus ENSUMAG00000017436
ursus_americanus ENSUAMG00000021428
ailuropoda_melanoleuca ENSAMEG00000013857
panthera_tigris_altaica ENSPTIG00000016603
panthera_pardus ENSPPRG00000011787
felis_catus ENSFCAG00000039567
sorex_araneus ENSSARG00000010996
erinaceus_europaeus ENSEEUG00000014747
chinchilla_lanigera ENSCLAG00000016504
octodon_degus ENSODEG00000016540
cavia_porcellus ENSCPOG00000012798
cavia_aperea ENSCAPG00000005594
heterocephalus_glaber_female ENSHGLG00000007037
heterocephalus_glaber_male ENSHGLG00100004396
fukomys_damarensis ENSFDAG00000011477
urocitellus_parryii ENSUPAG00010001086
spermophilus_dauricus ENSSDAG00000014866
ictidomys_tridecemlineatus ENSSTOG00000029068
marmota_marmota_marmota ENSMMMG00000011311
castor_canadensis ENSCCNG00000028947
dipodomys_ordii ENSDORG00000010963
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024910
mus_musculus ENSMUSG00000027165
mus_spicilegus ENSMSIG00000004799
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024000
mus_pahari MGP_PahariEiJ_G0025436
rattus_norvegicus ENSRNOG00000037567
meriones_unguiculatus ENSMUGG00000003563
cricetulus_griseus_crigri ENSCGRG00000012470
cricetulus_griseus_chok1gshd ENSCGRG00001020974
cricetulus_griseus_crigri-picr ENSCGRG00015012064
mesocricetus_auratus ENSMAUG00000010224
microtus_ochrogaster ENSMOCG00000016114
peromyscus_maniculatus_bairdii ENSPEMG00000007125
nannospalax_galili ENSNGAG00000018262
oryctolagus_cuniculus ENSOCUG00000006998
ochotona_princeps ENSOPRG00000017325
propithecus_coquereli ENSPCOG00000014571
microcebus_murinus ENSMICG00000008620
prolemur_simus ENSPSMG00000013425
otolemur_garnettii ENSOGAG00000011890
pan_paniscus ENSPPAG00000024881
pan_troglodytes ENSPTRG00000003514
homo_sapiens ENSG00000166352
gorilla_gorilla ENSGGOG00000004773
pongo_abelii ENSPPYG00000003347
nomascus_leucogenys ENSNLEG00000017953
cercocebus_atys ENSCATG00000030440
mandrillus_leucophaeus ENSMLEG00000034722
papio_anubis ENSPANG00000016654
theropithecus_gelada ENSTGEG00000002032
macaca_mulatta ENSMMUG00000018269
macaca_fascicularis ENSMFAG00000001278
macaca_nemestrina ENSMNEG00000044678
chlorocebus_sabaeus ENSCSAG00000005492
piliocolobus_tephrosceles ENSPTEG00000028601
colobus_angolensis_palliatus ENSCANG00000031302
rhinopithecus_roxellana ENSRROG00000029267
rhinopithecus_bieti ENSRBIG00000029619
saimiri_boliviensis_boliviensis ENSSBOG00000025933
cebus_capucinus ENSCCAG00000029617
callithrix_jacchus ENSCJAG00000011091
aotus_nancymaae ENSANAG00000034158
carlito_syrichta ENSTSYG00000011833
tupaia_belangeri ENSTBEG00000004277
choloepus_hoffmanni ENSCHOG00000001398
dasypus_novemcinctus ENSDNOG00000039872
loxodonta_africana ENSLAFG00000016474
procavia_capensis ENSPCAG00000001753
ornithorhynchus_anatinus ENSOANG00000011773
lonchura_striata_domestica ENSLSDG00000015735
taeniopygia_guttata ENSTGUG00000010152
serinus_canaria ENSSCAG00000003620
junco_hyemalis ENSJHYG00000011077
zonotrichia_albicollis ENSZALG00000013596
cyanistes_caeruleus ENSCCEG00000019563
parus_major ENSPMJG00000010028
ficedula_albicollis ENSFALG00000012432
manacus_vitellinus ENSMVIG00005007580
lepidothrix_coronata ENSLCOG00000013044
calidris_pygmaea ENSCPGG00000003712
calidris_pugnax ENSCPUG00000019320
melopsittacus_undulatus ENSMUNG00000004796
anser_brachyrhynchus ENSABRG00000017742
anas_platyrhynchos_platyrhynchos ENSAPLG00000013519
gallus_gallus ENSGALG00000007941
coturnix_japonica ENSCJPG00005010802
meleagris_gallopavo ENSMGAG00000010409
numida_meleagris ENSNMEG00000009304
apteryx_haastii ENSAHAG00000011745
apteryx_owenii ENSAOWG00000001519
apteryx_rowi ENSARWG00000002589
dromaius_novaehollandiae ENSDNVG00000002359
nothoprocta_perdicaria ENSNPEG00000011400
crocodylus_porosus ENSCPRG00005011211
gopherus_agassizii ENSGAGG00000007562
chelonoidis_abingdonii ENSCABG00000014608
chrysemys_picta_bellii ENSCPBG00000012548
pelodiscus_sinensis ENSPSIG00000011179
sphenodon_punctatus ENSSPUG00000019089
xenopus_tropicalis ENSXETG00000032018
latimeria_chalumnae ENSLACG00000004777
lepisosteus_oculatus ENSLOCG00000001297
