coturnix_japonica ENSCJPG00005003670
anas_platyrhynchos_platyrhynchos ENSAPLG00000020076
anolis_carolinensis ENSACAG00000028546
dasypus_novemcinctus ENSDNOG00000003234
echinops_telfairi ENSETEG00000011496
castor_canadensis ENSCCNG00000020937
dipodomys_ordii ENSDORG00000002890
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021220
mus_spicilegus ENSMSIG00000010218
mus_musculus ENSMUSG00000046834
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020327
mus_pahari MGP_PahariEiJ_G0020326
rattus_norvegicus ENSRNOG00000028996
meriones_unguiculatus ENSMUGG00000024892
cricetulus_griseus_chok1gshd ENSCGRG00001010640
cricetulus_griseus_crigri-picr ENSCGRG00015028629
cricetulus_griseus_crigri ENSCGRG00000013838
mesocricetus_auratus ENSMAUG00000015522
microtus_ochrogaster ENSMOCG00000000806
peromyscus_maniculatus_bairdii ENSPEMG00000013639
nannospalax_galili ENSNGAG00000017443
jaculus_jaculus ENSJJAG00000002714
heterocephalus_glaber_female ENSHGLG00000001162
heterocephalus_glaber_male ENSHGLG00100007947
fukomys_damarensis ENSFDAG00000017759
chinchilla_lanigera ENSCLAG00000016014
octodon_degus ENSODEG00000013558
cavia_porcellus ENSCPOG00000007718
cavia_aperea ENSCAPG00000017702
marmota_marmota_marmota ENSMMMG00000001821
spermophilus_dauricus ENSSDAG00000022340
ictidomys_tridecemlineatus ENSSTOG00000006507
urocitellus_parryii ENSUPAG00010000159
ochotona_princeps ENSOPRG00000008848
oryctolagus_cuniculus ENSOCUG00000029663
gorilla_gorilla ENSGGOG00000003467
homo_sapiens ENSG00000167768
pan_troglodytes ENSPTRG00000046630
pan_paniscus ENSPPAG00000036581
pongo_abelii ENSPPYG00000004555
nomascus_leucogenys ENSNLEG00000036241
macaca_fascicularis ENSMFAG00000001078
macaca_mulatta ENSMMUG00000016962
theropithecus_gelada ENSTGEG00000006706
macaca_nemestrina ENSMNEG00000038066
papio_anubis ENSPANG00000014168
cercocebus_atys ENSCATG00000035227
mandrillus_leucophaeus ENSMLEG00000013888
chlorocebus_sabaeus ENSCSAG00000005641
piliocolobus_tephrosceles ENSPTEG00000038069
colobus_angolensis_palliatus ENSCANG00000036564
rhinopithecus_bieti ENSRBIG00000033204
rhinopithecus_roxellana ENSRROG00000042911
callithrix_jacchus ENSCJAG00000041896
saimiri_boliviensis_boliviensis ENSSBOG00000027005
cebus_capucinus ENSCCAG00000034969
aotus_nancymaae ENSANAG00000024328
carlito_syrichta ENSTSYG00000028879
propithecus_coquereli ENSPCOG00000014885
microcebus_murinus ENSMICG00000002220
otolemur_garnettii ENSOGAG00000006750
tupaia_belangeri ENSTBEG00000008819
pteropus_vampyrus ENSPVAG00000006597
myotis_lucifugus ENSMLUG00000005404
equus_asinus_asinus ENSEASG00005009209
equus_caballus ENSECAG00000022233
ursus_americanus ENSUAMG00000023016
ursus_maritimus ENSUMAG00000009316
ailuropoda_melanoleuca ENSAMEG00000011637
mustela_putorius_furo ENSMPUG00000006757
neovison_vison ENSNVIG00000023175
canis_lupus_dingo ENSCAFG00020021733
canis_lupus_familiaris ENSCAFG00000031641
vulpes_vulpes ENSVVUG00000027978
panthera_tigris_altaica ENSPTIG00000021438
panthera_pardus ENSPPRG00000013286
felis_catus ENSFCAG00000042595
capra_hircus ENSCHIG00000026933
ovis_aries ENSOARG00000016900
bos_mutus ENSBMUG00000009061
bos_taurus ENSBTAG00000046089
bison_bison_bison ENSBBBG00000000686
sus_scrofa ENSSSCG00000000251
notamacropus_eugenii ENSMEUG00000008383
equus_asinus_asinus ENSEASG00005009181
equus_caballus ENSECAG00000035443
monodelphis_domestica ENSMODG00000016424
ornithorhynchus_anatinus ENSOANG00000012595
